"API Keys";"Ключи API"
"Api Keys";"Api Ключи"
"Api Keys successfully saved";"Api Ключи успешно сохранены"
"Api Users";"Пользователей API"
"Authenticate";"Проверка"
"Backoffice options";"Backoffice настройки"
"Clear cache";"Очистить кэш"
"Clear logs";"Очистить журналы"
"Create a new user";"Создать нового пользователя"
"Created At";"Создан в"
"Exists";"Существует"
"Forgot password";"Забыли пароль"
"Grant user";"Лучшие пользователи"
"List of your users";"Список пользователей"
"Rebuild manifest";"Восстановить манифест"
"Revoke user";"Отзовы пользователей"
"Select API access";"Выберите доступ к API"
"Update";"Обновление"
"You don't have any users yet";"У вас нет пользователей"
