"%s Text";"%s Текст"
"* If apple doesn't detect any ads configurate, your application will be refused";"* Если Apple не обнаруживает каких-либо рекламных объявлений, Ваша заявка будет отклонена"
"* You have to justify why you need this background audio playing to Apple.";"* Вы должны обосновать, почему вам нужен этот фоновый звук в Apple."
"* You have to justify why you need this background geolocation to Apple.";"* Вы должны обосновать, почему вам нужен этот фон геолокация в Apple."
"1. Download the app previewer:";"1. Загрузите app previewer:"
"1. Insert the following code between the %s tag of your page:";"1. Вставьте следующий код между тэгом %s"
"2. Insert the following code at the end of the %s tag of your page:";"2. Вставляем этот код перед закрывающим тегом %s"
"2. Open the app and login";"2. Откройте приложение и войдите"
"<a href=\"%s\" target=\"_blank\">Click here for more information about AdMob</a>";"<a href=\"%s\" target=\"_blank\">Подробнее об AdMob</a>"
"<b>Around you</b> option for the Overview & HTML5 will be displayed & work only when using HTTPS, however it works in Android & iOS apps without HTTPS.";"<b>вокруг вас < /b> опция для обзора & HTML5 будет отображаться и работать только при использовании HTTPS, но работает в приложениях Android и iOS без HTTPS."
"<b>File type:</b> %s";"<b>Тип файла:</b> %s"
"<b>Note: </b>Icon must be white with transparency, the crop window will colorize it otherwise";"<b>Примечание: значок <b>должен быть на прозрачном фоне"
"<b>Note</b>: the cron scheduler minimum interval is 10 seconds, reducing the cron interval can increase your server load, be careful.";"<b>Примечание</b>: крон планировщик минимальный интервал 10 секунд, уменьшая интервал хрон может увеличить нагрузку на ваш сервер, будьте осторожны."
"<b>Push image & Color</b> are dynamic and doesn't require the app to be re-published.";"<b>Push изображение и цвет</b>,  являются динамическими и не требует переиздания приложение"
"<span>Click on</span><button class=\"add\" type=\"button\"><i class=\"icon-plus\"></i></button> <span>to add an item.</span>";"<span>Нажмите на плюс</span><button class=\"add\" type=\"button\"><i class=\"icon-plus\"></i></button> <span>и добавится пункт.</span>"
"<span>Click on</span><button class=\"default_button add\" type=\"button\"><i class=\"icon-plus\"></i></button> <span>to add an item.</span>";"<span>Жми на</span><button class=\"default_button add\" type=\"button\"><i class=\"icon-plus\"></i></button> <span>чтобы добавить элемент.</span>"
"API Keys";"Ключи API"
"APIs";"API"
"Access Token";"Маркер доступа"
"Acl";"Управления доступом"
"Activated";"Включить"
"AdMob ID";"AdMob ID"
"AdMob Type";"AdMob тип"
"Add a new icon";"Добавить новую иконку"
"Add a thumbnail";"Добавить эскиз"
"Add an image";"Добавить изображение"
"Add pages";"Добавьте страницы"
"Add pictures";"Добавить фото"
"Add place";"Добавить место"
"Add sections";"Добавить разделы"
"Add sections:";"Добавить разделы:"
"Additional options";"Дополнительные опции"
"Admin";"Админ"
"Admin Account";"Учетная запись Администратора"
"Advanced";"Другое"
"Advanced Application Options";"Дополнительные Параметры"
"Advanced Customization CSS / SCSS";"Расширенная настройка CSS / SCSS"
"Advertising";"Реклама"
"All";"Все"
"All done!";"Все сделали!"
"Allow user to request app publication";"Разрешить пользователю запрашивать публикацию приложения"
"Allowed";"Разрешено"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"Произошла ошибка при копировании иконки приложения. Пожалуйста, проверьте значок, попробуйте отправить его еще раз и повторите попытку."
"An error occurred during the generation of your QRCode. Please try again later.";"Произошла ошибка при генерации вашего QR кода. Пожалуйста, повторите попытку позже."
