"%1$s on %2$s with %3$s!";"%1$s на %2$s с %3$s!"
"%s on %s with %s!";"%s на %s с %s!"
"(optional)";"(необязательно)"
"1 Day Before Appointment";"1 День до брони"
"1 Hour Before Appointment";"За 1 Час до брони"
"1 Week Before Appointment";"1 Неделю до брони"
"1 day before";"за 1 день"
"1 hr before";"за 1 час"
"1 week before";"за 1 неделю"
"12 Hour";"12 час"
"12 Hours Before Appointment";"12 часов до брони"
"2 Hours Before Appointment";"За 2 до брони"
"2 hr before";"за 2 часа"
"24 Hour";"24 часа"
"30 min before";"за 30 мин"
"6 Hours Before Appointment";"6 часов до брони"
"A default notification is set to be sent 1hr before the appointment. Please adjust it below as per your requirements.";"Уведомление по умолчанию должны быть отправлены за 1 час до назначения. Пожалуйста, измените его ниже в соответствии с вашими требованиями."
"A default notification is set to be sent 1hr before the appointment. Please adjust it below the appointment. Please adjust it below as per your requirements.";"Уведомление по умолчанию должны быть отправлены за 1 час до назначения. Пожалуйста, измените его под назначение. Пожалуйста, измените его ниже в соответствии с вашими требованиями."
"Action";"Действие"
"Active";"Активный"
"Add";"Добавить"
"Add Break";"Добавить перерыв"
"Add Date Break";"Добавить время перерыва"
"Add New Category";"Добавить новую категорию"
"Add New Service";"Добавить новую услугу"
"Add new customer";"Добавить нового клиента"
"Address";"Адрес"
"Afternoon";"Днем"
"All";"Все"
"All Categories";"Все категории"
"All Providers";"Все специалисты"
"All Services";"Все услуги"
"All provider";"Все мастера"
"All provider *";"Все мастера *"
"Always";"Всегда"
"An error occurred during process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, попробуйте снова позже."
"An error occurred while saving. Please try again later.";"Произошла ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"An error occurred, unable to find the option.";"Произошла ошибка, не удается найти вариант."
"Appointment";"Бронирование"
"Appointment Lists";"Списки записей"
"Appointment Widget Code";"Виджет"
"Appointment reminder";"Напоминание о встрече"
"Appointment successfully deleted.";"Место успешно удалено."
"Appointment taken by someone else!";"Бронирование уже сделанно кем-то другим!"
"Appointments";"Записи"
"Appointments Notifications";"Уведомления о бронировании"
"Apr";"Апрель"
"April";"Апрель"
"Are you sure you want to cancel this appointment?";"Вы уверены, что хотите отменить это бронирование?"
"Assign locations";"Добавить места"
"Assign services";"Назначение сервисов"
"Aug";"Август"
"August";"Август"
"BOOK APPOINTMENT";"Книга записей"
"Below please find your booking details";"Ниже Вы найдете детали бронирования"
"Book An Appointment";"Записаться на прием"
"Book Appointment";"Книга записей"
"Book an appointment";"Записаться"
"Book appointment";"Книга записей"
"Booked";"Заказать"
"Booked On";"Заказать"
"Booking Icon";"Иконка Бронирование"
"Booking Notes";"Информация По Бронированию"
"Booking Notes:";"Информация по бронированию:"
"Booking icon";"Иконка бронирование"
"Buffer Time (min)";"Резервное время (мин)"
"Buffer Time(Min)";"Резервное Время(Мин)"
"CREATE A NEW CATEGORY";"СОЗДАТЬ НОВУЮ КАТЕГОРИЮ"
"CREATE A NEW LOCATION";"СОЗДАТЬ НОВОЕ МЕСТО"
"CREATE NEW CUSTOMER";"СОЗДАНИЕ НОВОГО КЛИЕНТА"
"Calendar";"Календарь"
"Calendar URL";"Календарь URL"
"Cancel";"Отменить"
"Cancellation Criteria";"Критерии отмены"
"Cancellation Policy";"Отмена политики"
"Cancelled";"Отменен"
"Cancelled by Customer";"Отменен клиентом"
"Cancelled by Provider";"Отменен специалистом"
"Categories";"Категории"
"Category";"Категория"
