"Activated";"Активированный"
"Add New";"Добавить новый"
"Add a field";"Добавить поле"
"Add a section";"Добавить раздел"
"Add an option";"Добавить опцию"
"Awesome Forms";"Формы"
"CREATE A NEW FIELD";"СОЗДАТЬ НОВОЕ ПОЛЕ"
"Checkbox";"Флажок"
"Choose a field type";"Выбрать тип поля"
"Choose a field type:";"Выбрать тип поля:"
"Civility";"Представился"
"Create a new field";"Создать новое поле"
"Created At";"Создан в"
"Created at";"Создан в"
"Creator";"Создать"
"Date/Hour";"Дата/Час"
"Download CSV";"Скачать CSV"
"Drop down";"вниз"
"Email";"Email"
"Field name";"Имя поля"
"Field name:";"Имя поля:"
"Form data will be sent to this email. Until you fill out this field, your form won't be displayed on client side";"Данные формы будут отправлены на этот адрес электронной почты. Пока вы не заполните это поле, то Ваша форма не будет отображаться на клиентской стороне"
"Form data will be sent to this email. Until you fill out this field, your form won't be displayed on client side.";"Данные формы будут отправлены на этот адрес электронной почты. Пока вы не заполните это поле, то Ваша форма не будет отображаться на клиентской стороне."
"Frontend Admin email:";"Админ email:"
"Geolocation";"Геолокация"
"Hello,";"Здравствуйте,"
"INFORMATION";"Информация"
"Login As";"Войти как"
"MANAGE FIELDS";"Управление полями"
"Manage Data";"Управление данными"
"Manage Fields";"Управление полями"
"Manage Profiles";"Управление профилями"
"Manage fields";"Управление полями"
"Manage options";"Управление параметрами"
"Multiline text";"Многострочный текст"
"No user for now";"Нет пользователей сейчас"
"Number";"Количество"
"OK";"Ок"
"Option";"Опции"
"Page name";"Название страницы"
"Radio";"Радио"
"Recipient email";"email получателя"
"Switch View";"Переключить вид"
"Text";"Текст"
"This field is required";"Это поле является обязательным"
"Toggel Previewer";"Предпросмотрщик"
"Update History";"История обновлений"
"User";"Пользователь"
"You have to choose a field type.";"Вы должны выбрать тип поля."
"Your App user's new profile";"Новый профиль пользователя"
"Your App user\'s new profile";"Приложение пользователя \ новый профиль"
"Your new user profile has been completed";"Новый профиль пользователя был создан"
"Your new user profile has been completed.";"Новый профиль пользователя был завершен."
