"%d Unread Message";"%d Непрочитанное сообщение"
"%d Unread Messages";"%d Непрочитанные сообщения"
"60000 maximum allowed.";"60000 максимально допустимое."
"<b>Actual preview version is Nwicode 5.0</b>.";"<b>Актуальная версия превью Nwicode 5.0</b>."
"<b>Disclaimer:</b> You are using the <b>preview</b> update channel, this channel is intended for <b>tests & previews</b> of new features, if you are not sure stay with <b>stable channel</b>.";"<b> Отказ от ответственности: </b> Вы используете канал обновления <b> preview </b>, этот канал предназначен для <b> тестов и предварительных просмотров </b> новых функций, если вы не уверены, что останетесь на <b> стабильном канале </b>."
"<b>Note for Bug report:</b> give us a maximum of description of how you reached the bug, and possibly screenshots.";"</b>Примечание для сообщения об ошибке:</b> дать нам максимум описание того, как вы достигли ошибку, и, возможно, скриншоты."
"<b>Note</b>: sources & push will be sent immediately after their creation, scheduled push will not work & media optimization is disabled.";"<b>Примечание</b> включите: исходники и push-сообщения будут отправлены сразу после их создания, запланированное push-уведомление не будет работать, а оптимизация мультимедиа отключена"
"A certificate already exists for the domain %s, if you want to re-generate it, use 'Force re-generate' to proceed.";"Сертификат для домена уже существует %s, если вы хотите заново создать его, используйте  повторно создать', чтобы продолжить."
"APK Queue empty";"Очереди APK пустые"
"APK Queue status";"Статус очередей АПК"
"APNS Feedback port 2196 is:";"В apns-порт Обратная связь 2196 является:"
"APNS Feedback:";"APNS Обратная связь:"
"APNS Port 2195 is:";"Apns в Порт 2195 является:"
"Account";"Аккаунт"
"Account Role";"Роль доступа"
"Actions";"Действия"
"Activate VAT number check with VIES";"Активировать проверить номер НДС с ВИЭС"
"Activate user";"Активировать пользователя"
"Active ?";"Активный ?"
"Add a custom text to the footer of your invoices";"Добавить пользовательский текст в футер вашего счета"
"Admin panel type";"Тип панели администратора"
"Advanced";"Дополнительно"
"Alert: The APK build for the Application: %s (%s) is stuck for more than one hour.";"Предупреждение: APK сборки для приложения: на %s (%s) и застрял более чем на один час."
"Alert: The Source build for the Application: %s (%s) is stuck for more than one hour.";"Предупреждение: Исходник для приложения: на %s (%s) и застрял более чем на один час."
"All the files are required.";"Требуется все файлы."
"An entry already exists for this hostname, remove it first if you need to change your certificates.";"Запись уже существует для данного узла, то сначала удалите его, если вам нужно изменить ваши сертификаты."
"An error occured";"Ошибка"
"An error occured while saving certificate to %s.";"Произошла ошибка при сохранении сертификата на %s."
"An error occurred during the process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, попробуйте снова позже."
"An unknown error occured while issueing your certificate.";"Неизвестная ошибка при выдаче сертификата."
"Android SDK:";"Android SDK:"
"App name";"Название приложения"
"Application settings";"Режим платформы"
"Application successfully queued for generation.";"Приложение успешно поставлено в очередь на генерацию"
"Applications/Previewer manifest for automatic updates.";"Манифест для автоматического обновления \"Applications/Previewer\"."
"Are you sure ?";"Ты уверен ?"
"Authenticate";"Проверки подлинности"
"Average build time in seconds:";"Среднее время сборки кода:"
"Average sources/apk build time:";"Средние время для APK сборки:"
"Backoffice options";"Backoffice опции"
"Bearer Token Auth is valid.";"Маркер на предъявителя авт действителен."
"Beta";"Бета"
"Build status";"Статус сборки"
"Build time (in seconds)";"Время сборки (в секундах)"
"By clicking on link below, you will open your editor in tour editing mode. Please note that your user account must be created on editor side.";"Нажав на ссылку внизу, вы будете открывать редактор в режим редактирования тур. Обратите внимание, что ваша учетная запись Пользователя должна создаваться на стороне редактора."
"CA certificate";"Сертификат CA"
"CA path:";"Путь сертификации:"
"CRON Scheduler interval";"Хрон интервал планировщик"
"Cache (var/cache, system cache)";"Кэш (var/cache, системный кэш)"
"Cache cleared";"Кэш очищен"
"Can generate APK";"Может генерировать АПК"
"Certificate";"Сертификат"
"Certificate is valid and SSL is reachable, valid until: %s.<br />Issuer: %s%s";"Сертификат является действительным и SSL действует до: %s.<br />Issuer: %s%s"
"Certificate path:";"Путь к сертификату:"
"Certificate successfully generated.";"Сертификат успешно сгенерирован."
"Certificate successfully generated. Please wait while %s is reloading configuration ...";"Сертификат успешно сгенерирован. Пожалуйста, подождите %s -это перезагрузка конфигурации ..."
"Certificate successfully re-generated.";"Сертификат успешно сгенерирован."
"Change the password";"Изменить пароль"
"Check if this cron command is installed under the web user";"Проверьте, если эта команда крон устанавлена из под веб-пользователя"
"Check if this cron command is installed under the web user & if you have set a timezone in Settings > General";"Настройте это команду cron под web user, если до этого уже установлена правильная временная зона в Настройки  > Основное"
"Clear";"Очистить"
"Clear cache";"Очистить кэш"
"Clear logs";"Очистить журналы"
"Cleared cron errors.";"Очистить ошибки cron."
"Click here to send your CA certificate";"Нажмите здесь, чтобы отправить Ваш сертификат центра сертификации"
"Click here to send your Private certificate";"Нажмите здесь, чтобы отправить свой собственный сертификат"
"Click here to send your certificate";"Нажмите здесь, чтобы отправить Ваш сертификат"
"Click to mark as not read";"Нажмите, чтобы отметить, как непрочитанное"
"Click to mark as read";"Нажмите, чтобы отметить, как прочитанное"
"Closed";"Закрыто"
"Complete build log";"Полный лог сборки"
"Configuration";"Конфигурация"
"Configuration successfully saved";"Конфигурация успешно сохранена"
"Core modules";"Родные модули"
"Create a user";"Создайте пользователя"
"Created At";"Создан В"
"Creation date";"Дата создания"
"Cron";"Хрон"
"Cron alerts";"Хрон оповещения"
"Cron interval";"Интервал хрон"
"Cron scheduler";"Cron планировщик"
"Cron scheduler help";"Планировщик задач помощь"
"Custom SMTP Configuration";"Пользовательские настройки SMTP"
"Day of month";"День месяца"
"Day of week";"День недели"
"Deactivate user";"Деактивировать пользователя"
"Default (no)";"По умолчанию (нет)"
"Default privacy policy";"Политика конфиденциальности по умолчанию"
"Development";"Разработчик"
"DirectAdmin";"DirectAdmin"
"DirectAdmin (beta)";"DirectAdmin (бета)"
"Disable cron jobs";"Вырубить cron jobs"
"Disabled";"Отключен"
"Disk usage & Cache:";"Использование диска и кэша:"
"Dismiss & install later";"Скрыть и установить позже"
"Display";"Дисплей"
"Doesn't meet the requirements";"Не соответствует требованиям"
