"%s - All";"%s - Все"
"Add a category";"Добавить категорию"
"Add a format";"Добавить формат"
"Add a new product";"Добавить новый продукт"
"All";"Все"
"An error occurred while loading your product.";"Произошла ошибка при загрузке вашего товара."
"An error occurred while saving the category. Please try again later.";"Произошла ошибка при сохранении категории. Пожалуйста, повторите попытку позже."
"An error occurred while saving the product. Please try again later.";"Произошла ошибка при сохранении товара. Пожалуйста, повторите попытку позже."
"An error occurred while saving the set meal. Please try again later.";"Произошла ошибка при сохранении набора съедобных продуктов. Пожалуйста, повторите попытку позже"
"An error occurred while saving. One of your categories could not be identified.";"Произошла ошибка при сохранении. Одна из ваших категорий не может быть идентифицирована."
"An error occurred while saving. One of your products could not be identified.";"Произошла ошибка при сохранении. Один из ваших товаров, не может быть определен."
"Are you sure you want to delete this category and all its subcategories?";"Вы уверены, что хотите удалить эту категорию и все его подкатегории?"
"Are you sure you want to delete this category?";"Вы уверены, что хотите удалить эту категорию?"
"Are you sure you want to delete this product?";"Вы уверены, что хотите удалить этот продукт?"
"Categories & Products";"Категории и Продукты"
"Category";"Категория"
"Choose a category";"Выберите категорию"
"Choose a subcategory";"Выберите подкатегорию"
"Click on a category to display sub-categories";"Нажмите на категорию, чтобы отобразить подкатегории"
"Create a new product";"Создать новый товар"
"Does this product have many formats?";"Этот товар имеет много форматов?"
"Edit the";"Редактировать"
"Edit the product";"Изменить товар"
"Enable product formats?";"Включить форматы продукта?"
"Format";"Формат"
"Manage Catalog & Products";"Управление каталогом"
"New category";"Новые категории"
"New product";"Новый продукт"
"Picture";"Фото"
"Price";"Цена"
"Prices";"Цены"
"Product";"Товар"
"Product formats";"Форматы товаров"
"Product name";"Наименование товара"
"Rules";"Правила"
"Set meal successfully deleted.";"Набор продуктов успешно удалён"
"Set meal successfully saved.";"Набор продуктов успешно сохранён"
"Sub-category";"Подкатегория"
"st";"-й"
"sub-category";"подкатегория"
