" this window will be closed automatically!";" это окно закроется автоматически!"
"%s - Message report! - %s";"%s - сообщение! - %s"
"<b>%s</b> reported the following message";"<b>%s</b> оставил следующее сообщение"
"Accept as friend";"Принять друга"
"Add";"Добавить"
"Add a chatroom";"Добавить Чат"
"Add friend";"В друзья"
"Add friends by tapping on the Add button on the top left of this panel!";"Добавить друзей нажимая на кнопку ""Добавить"" в верхней левой части этой панели!"
"Admin e-mails";"Почта модератора"
"All messages";"Все сообщения"
"An unknown error occurred.";"Произошла неизвестная ошибка."
"Are you sure you want to delete this chatroom?";"Вы серьезно хотите удалить Чат?"
"Bio";"Биография"
"Block";"Блокировать"
"Blocked users";"Заблокированые"
"Cancel";"Сброс"
"Cancel friend request";"Отклонить дружбу"
"Change nickname";"Сменить Ник"
"Channels";"Каналы"
"Chatrooms";"Чаты"
"Close";"Закрыть"
"Coma separated list of e-mails for moderation.";"Разделяйте запятыми список адресов электронной почты для модерации."
"Delete";"Удалить"
"Description";"Описание"
"Discard message!";"Отменить сообщение!"
"Done";"Готово"
"Enter the exact name of the private chatroom:";"Введите точное название приватного чата:"
"Enter your friend's nickname or email address";"Введите никнеймы или email"
"Filter ...";"Фильтр ..."
"Friend requests";"Запросы в друзья"
"Friends";"Друзья"
"Hey";"Здравствуйте"
"Hey there,";"Здравствуйте,"
"Import from Library";"Импорт из библиотеки"
"It's you!";"Это Вы!"
"Join private chatroom";"Пригласить в приват"
"Keep message & clear reports!";"Сохранить сообщение и очистить отчеты!"
"Leave room";"Покинуть чат"
"Manage friends";"Управление друзьями"
"Message";"Сообщение"
"Message is now removed from the channel!";"Сообщение сейчас удалено с канала!"
"Message reports are cleared!";"Сообщения будут удалены!"
"Moderation";"Модерация"
"Name";"Имя"
"Nickname";"Никнейм"
"No description";"Нет описание"
"No reports.";"Нет сообщений."
"None";"Нет"
"Notifications";"Уведомления"
"OK";"ОК"
"Only mentions";"Только упоминания"
"Please choose a nickname";"Пожалуйста укажите Ник"
"Please tell us why you want to report this message?";"Напишите нам, какие возникли проблемы?"
"Private chatroom names must only use alphanumerical characters, spaces, '-', '_' and '.', and must include at least 1 letter.";"В названии приватного чата должны использоваться только буквенно-цифровые символы, '-', '_' и '.', и содержать как минимум 1 букву."
"Profile";"Профиль"
"Remove from friends";"Не буду дружить"
"Report this message";"Отправить сообщение админу"
"Reports";"Отчеты"
"Request as friend";"Давай дружить"
"Required field";"Обязательное поле"
"Review post reports";"Просмотр сообщения"
"Room description:";"Описание Чата:"
"Save";"Сохранить"
"Send";"Отправить"
"Someone reported a message in your chat.";"Кто-то написал сообщение в чате."
"Sorry";"Упсс!"
"Take a picture";"Сделать фото"
"Thanks for your report, and Admin will check it!";"Спасибо за ваш пост, администратор будет проверять его!"
"This message doesn't exists!";"Это сообщение не существует!"
"This message doesn't exists, or is already moderated!";"Это сообщение не существует или уже модерируется!"
"This nickname is already taken";"Этот Никнейм уже есть"
"This nickname is too long";"Этот ник слишком длинный"
"Unblock";"Разблокировать"
"View user profile";"Просмотр профиля пользователя"
"We have trouble connecting you to the chat server. Please try again later.";"Проблемы с подключением к серверу чата. Зайдите позже."
"We haven't found this person!";"Мы не нашли этого человека!"
"With the reason";"С причиной"
"You are receiving this e-mail because you are one of the registered <b>moderators</b> for the Chat %s on the Application %s";"Вы получили это письмо, потому что вы являетесь одним из зарегистрированных и <b>модератором</b>  для чат %s на приложение %s"
"Your chatrooms";"Ваш Чат"
"Your nickname can only use letters, numbers, and underscore. No spaces.";"Ваш никнейм должен использовать только латинские буквы, цифры и подчеркивания."
"Your pending requests";"Вы отправили запрос"
"below you can take immediate actions on the reported message!";"ниже Вы можете предпринять немедленные действия по сообщению!"
