"%s Member";"%s участников"
"%s points to become a %s";"%s очков, чтобы стать %s"
"(portrait)";"(портрет)"
"- Select your loyalty program";"- Выберите вашу программу лояльности "
"Background (landscape)";"Фон (пейзаж)"
"Background (portrait)";"Фон (портрет)"
"Cancel";"Отменить"
"Close ";"Закрыть "
"Club Card";"Клубная Карта"
"Club Card Levels";"Уровень Клубной Карты "
"Color";"Цвет"
"Connect to which loyalty card ?";"Подключение к лояльности карта ?"
"Cover Image";"Обложка"
"Gold";"Золото"
"Icon";"Значок"
"LEVEL COLOR";"ЦВЕТ УРОВНЯ "
"Loyalty Card";"Карта Лояльности "
"Manage";"Управление"
"Member";"Участник"
"Name";"Название"
"Note";"Примечание"
"Options";"Варианты"
"Points";"Очки"
"Premium";"Премиум"
"Privilege";"Привилегия"
"Progressive Loyalty Card";"Прогрессивная Карта Лояльности "
"Regular";"Регулярные"
"Silver";"Серебро"
"Terms & Conditions";"Условия"
"Upload";"Загрузить"
"You must add at least one Loyalty program to your Application!";"Вы должны добавить по крайней мере одну программу лояльности для вашего приложения!"
"points to become a";"очков, чтобы стать"
