".mp4 or .3gp format";"mp4 или 3gp формат"
"Add ";"Добавить"
"Add attachement";"Добавить вложения"
"Add cover";"Добавить обложку"
"Add sections:";"Добавить разделы:"
"Add to address book";"Добавить в адресную книгу"
"Add<br /><span class=\"bold\">Attachment</span>";"Добавить<br /><span class=\"bold\">Файл</span>"
"Add<br /><span class=\"bold\">Pictures</span>";"Добавить<br /><span class=\"bold\">Фото</span>"
"Address:";"Адрес:"
"Alignment:";"Выравнивание:"
"An error occured.";"Произошла ошибка."
"An error occurred while saving your page.";"Произошла ошибка при сохранении вашей страницы."
"Are you sure you want to delete this page?";"Вы уверены, что хотите удалить эту страницу?"
"At least one section is required to save.";"По крайней мере один раздел, необходимый для сохранения."
"Attachement";"Вложения"
"Attachment";"Вложение"
"Attachment:";"Файлы:"
"Custom icon";"Иконка"
"Custom page";"Своя страница"
"Description";"Описание"
"Display address";"Показать адрес"
"Display image in page";"Отображения изображения на странице"
"Display location button";"Показать кнопку расположения"
"Display title and subtitle in page";"Заголовок и подзаголовок на странице"
"Email:";"Электронная почта:"
"Hide navbar";"Скрыть панель навигации"
"Label";"Название"
"Large";"Большой"
"Latitude:";"Широта:"
"Link:";"Ссылка:"
"Loading picture:";"Загрузка изображения:"
"Longitude:";"Долгота:"
"Make a search or enter the Youtube Url:";"Сделайте поиск или введите ссылку с Youtube:"
"Medium";"Средний"
"My Youtube video:";"Youtube видео:"
"My video";"Мое видео"
"No videos matching your selection";"Видео не соответствует выбору"
"Page successfully deleted";"Страница успешно удалена"
"Page successfully saved";"Страница успешно сохранена"
"Phone:";"Телефон:"
"Podcast URL:";"Ссылка на Подкаст:"
"Select a button type:";"Выберите тип кнопки:"
"Select a video type:";"Выберите тип видео:"
"Size";"Размер"
"Slider";"Слайдер"
"Small";"Небольшой"
"Text";"Текст"
"The block N°%s, %s was not saved, the block was either empty or invalid.";"Блок N°%s, %s не был сохранен, блок был либо пустым или недействительным."
"Use external app";"Использовать внешние приложения"
"Video URL:";"Ссылка на видео:"
"Your Podcast:";"Ваш Podcast:"
