"'Near me' radius (in km):";"'Около меня' в  радиусе  (км):"
"Add a comment";"Комментировать"
"An error occurred while deleting this answer. Please try again later.";"Произошла ошибка во время удаления этого ответа. Пожалуйста, повторите попытку позже."
"COMMENTS";"КОММЕНТАРИИ"
"Create a news";"Создать новость"
"Create a news:";"Создать новость:"
"Delete this info";"Удалить эту информацию"
"Flag";"Пометка"
"Flag as inappropriate";"Пожаловаться"
"Hide this info";"Скрыть эту информацию"
"Information successfully deleted";"Информация успешно удалена"
"Information successfully hidden";"Информация успешно скрыта"
"Information successfully saved";"Информация успешно сохранена"
"Information successfully shown";"Информация успешно показана"
"Insert a";"Вставьте"
"It will be visible only after validation by our team.";"Будет видно только после модерации"
"My customers answers";"Мои ответы клиентам"
"My customers' comments";"Комментарии моих клиентов"
"Near me";"Около меня"
"Near me settings";"Настройки - Рядом со мной "
"New post";"Новый пост"
"No comment for now";"Нет комментариев"
"No comments for now";"Нет пока комментов"
"Post";"Пост"
"Publishing date";"Дата публикации"
"Radius";"Радиус"
"Radius must be a valid numeric value.";"Радиус должен иметь допустимое числовое значение."
"Radius must be provided.";"Радиус должен быть указан."
"Read More";"Подробнее"
"Recent";"Недавно"
"Show this info";"Показать эту информацию"
"There is no comment for this news";"Нет комментариев к новости"
"Was flagged as inappropriate";"Был помечен за нарушение"
"You can't like more than once the same news";"Лайк не более одного раза"
"You have to enter a text message.";"Вы должны ввести текст сообщения."
"You need to be connected to create a post";"Вы должны авторизоваться, чтобы создать запись"
"Your flag has successfully been notified";"Ваша жалоба была успешно добавлена"
"Your like has been successfully added";"Ваш лайк был успешно добавлен"
"Your message has been successfully saved.";"Ваше сообщение было успешно сохранено"
"Your post was successfully added";"Ваше сообщение было успешно добавлено"
