"An error occurred while saving your contact informations.";"Произошла ошибка при сохранении ваших данных."
"An error occurred while sending your request. Please try again later.";"Произошла ошибка при отправке вашего запроса. Пожалуйста, повторите попытку позже."
"And his phone number:";"И его номер телефона:"
"Are you sure you want to remove the picture?";"Вы уверены, что хотите удалить фотографию?"
"City";"Город"
"Contact information";"Контактная информация"
"Here is his email:";"Вот его адрес электронной почты:"
"Here is his message:";"Вот его сообщение:"
"Please enter properly the following fields: <br />";"Пожалуйста, введите правильно для настройки следующих полей: <br />"
"Twitter";"Twitter"
"Website";"Сайт"
"You have received a message from a contact:";"Вы получили сообщение от пользователя:"
"Your email";"Ваш email"
"Your message has been sent";"Ваше сообщение было отправлено"
"Your request";"Ваш запрос"
"Zip code";"Почтовый индекс"
