" of the ";" из "
" setting.";" установка."
"%s %s";"%s %s"
"%s Image%s";"%s фото%s"
"1 An error occurred while saving. Please try again later.";"1 произошла ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"1An error occurred while saving. Please try again later.";"произошла ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"2 An error occurred while saving. Please try again later.";"Ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"20,00 %";"20,00 %"
"2An error occurred while saving. Please try again later.";"ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"2Checkout subscription is inactive, tray again later.";"Подписка 2Checkout не активна, попробуй позже."
"3 An error occurred while saving. Please try again later.";"ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"3An error occurred while saving. Please try again later.";"произошла ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"403 Forbidden";"403 запрещено"
"<b>%s</b> is not supported with the current currency <b>%s</b>!";"<b>%s</b> не поддерживается в текущей валюте <b>%s</b>!"
"<b>Danger zone</b>: below you can definitively delete your account.";"<b>в опасной зоне</b>: ниже вы можете окончательно удалить свой аккаунт."
"<b>Warning:</b> translation API is experimental for the current language and may fail.";"<b>внимание:</b>  перевод API является экспериментальным для текущего языка и может произойти сбой."
"A new user just registered!";"Новый пользователь только что зарегистрировался!"
"A user just made a new subscription on the Platform <b>%s</b>, for the Application <b>%s</b>.";"Пользователь сделал новую подписку на платформе <b>%s</b>, приложения <b>%s</b>."
"A user registered on your Platform %s";"Пользователь, зарегистрированный на вашей платформе %s"
"APK Generation";"Генерация АПК"
"APK build failed!";"APK создать не удалось!"
"APK build succeed!";"Полная сборка удалась!"
"APK generation for App: %s";"Генерация APK для приложения: %s"
"Account Created";"Создание учетной записи"
"Activate the user";"Активировать пользователей"
"Activating or Deactivating a parent subscription will apply to it's childs.";"Включение и отключение родительской подписки, будет распространяться на его приложения."
"Activation";"Активация"
"Activation of your Subscription!";"Активация вашей подписки!"
"Active subscriptions with remaining slots.";"Активные подписки."
"Add a region";"Добавить регион"
"Adding %s to SAN.";"Добавить %s в ."
"Admin Cancellation";"Отмена администратором"
"AdminId is required to save the Application.";"AdminId требуется для сохранения приложения."
"Album:";"Альбом:"
"All sessions are now migrated to Redis.";"Все сеансы теперь мигрировали в Redis."
"An administrator of the Platform <b>%s</b>, activated your subscription for the Application <b>%s</b>";"Администратор платформы <b>%s</b> позволяет активировать подписку для приложения <b>%s</b>"
"An administrator of the Platform <b>%s</b>, cancelled your subscription for the Application <b>%s</b>";"Администратор платформы <b>%s</b>,  отменил подписку для приложения <b>%s</b>"
"An administrator of the Platform <b>%s</b>, deactivated your subscription for the Application <b>%s</b>";"Администратор платформы <b>%s</b> позволяет деактивировать подписки для приложения <b>%s</b>"
"An error occured while adding the block.";"Произошла ошибка при добавлении блока."
"An error occurred when generating the apk";"Произошла ошибка при создании АПК"
