" \"Remove this page from this folder?\"";"\"Удалить страницу из этой папки?\""
"#100: Unable to fetch the update. Please, try again later.";"#100: не удается сделать обновление. Пожалуйста, повторите попытку позже."
"#101: An error occurred while saving";"#101: ошибка при сохранении"
"#101: Unable to fetch the update. Please, try again later.";"#101: не удается сделать обновление. Пожалуйста, повторите попытку позже."
"#102: An error occurred while saving";"#102: ошибка при сохранении"
"#102: Unable to fetch the update. Please, try again later.";"#102: не удается сделать обновление. Пожалуйста, повторите попытку позже."
"#103: An error occurred while saving. Please try again later.";"#103: ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"#104: An error occurred while saving. Please try again later.";"#104: ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"#105: An error occurred while saving";"#105: ошибка при сохранении"
"#106: An error occurred while saving";"#106: ошибка при сохранении"
"#107: An error occurred while saving";"#107: произошла ошибка при сохранении"
"#108: An error occurred while saving";"#108: ошибка при сохранении"
"#109: An error occurred while saving";"#109: ошибка при сохранении"
"#110: An error occurred while saving";"#110: ошибка при сохранении"
"#111: An error occurred while saving";"#111: ошибка при сохранении"
"#112: An error occurred while saving";"#112: ошибка при сохранении"
"#114: An error occurred while saving";"#114: ошибка при сохранении"
"#115: An error occurred while saving";"#115: ошибка при сохранении"
"#116: An error occurred while saving";"#116: ошибка при сохранении"
"#117: An error occurred while saving";"#117: ошибка при сохранении"
"#118: An error occurred while saving";"#118: ошибка при сохранении"
"#119: An error occurred while saving";"#119: ошибка при сохранении"
"#120: An error occurred while saving";"#120: ошибка при сохранении"
"#121: An error occurred while saving";"#121: произошла ошибка при сохранении"
"#122: An error occurred while saving";"#122: ошибка при сохранении"
"#123: An error occurred while saving";"#123: ошибка при сохранении"
"#156: Missing params!";"#156: отсутствуют параметры!"
"#19-001 The folder %s is not writable. Please fix this issue and try again.";"#19-001 в папке %s недоступен для записи. Пожалуйста, исправьте эту проблему и попробуйте снова."
"#19-002 Unable to extract the archive. Please make sure that the 'zip' extension is installed.";"#19-002 не удалось распаковать архив. Пожалуйста, убедитесь, что установлено расширение 'молния' это."
"#19-003: This update is designed for the %s, you can't install it in your %s.";"#19-003: это обновление предназначено для %s, вы не можете установить его в ваш %s."
"#19-004: You already have installed this update.";"#19-004: вы уже установили это обновление."
"#19-005: Please update your system to the %s version before installing this update.";"#19-005: пожалуйста, обновите вашу систему до %s версии перед установкой этого обновления."
"#19-007: Please update your system to the %s version before installing this update.";"#19-007: пожалуйста, обновите вашу систему до %s версии перед установкой этого обновления."
"#19-008: You already have installed this template.";"#19-008: вы уже установили этот шаблон."
"#19-009: Please update your system to the %s version before installing this update.";"#19-009: пожалуйста, обновите вашу систему до %s версии перед установкой этого обновления."
"#19-010: The package you have uploaded is invalid.";"#19-010: пакет, который вы выложили, является недействительным."
"#19-011: The package you have uploaded is invalid.";"#19-011: пакет, который вы выложили, является недействительным."
"#19-013: The folder %s is not writable.";"#19-013: в папке %s недоступен для записи."
"#19-014: Your system doesn't meet the requirements for this module, version >=%s is required.";"#19-014: ваша система не удовлетворяет требованиям для данного модуля, версия >=%S не требуется."
"#19-016: You already have installed this %s or a newer version.";"#19-016: вы уже установили этот %s или более новой версии."
"#354-01: An error occurred while saving your colors.";"#354-01: ошибка при сохранении своего цвета."
"#354-02: An error occurred while saving your colors.";"#354-02: ошибка при сохранении своего цвета."
"#354-03: SCSS Compilation error, you must input valid SCSS.";"#354-03: ошибка компиляции SCSS, вы должны ввести действительный SCSS."
"#498-01: An error occured while exporting your application.";"#498-01: ошибка при экспорте приложения."
"#500-01: This application does not exist";"#500-01: это приложение не существует"
"#500-02: This application does not exist";"#500-02: это приложение не существует"
"#567-03: Missing value_id or place_id.";"#567-03: отсутствует value_id или place_id."
"#567-04: An error occured.";"#567-04: произошла ошибка."
"#567-07: Missing value_id or place_id.";"#567-07: отсутствует value_id или place_id."
"#567-09: Missing value_id or company_id.";"#567-09: отсутствует value_id или company_id."
"#734-01: Missing yandex API key";"#734-01: отсутствует ключ API Яндекс "
"#734-03: Invalid yandex API key OR Free limit request exceeded.";"#734-03: неверный ключ API Яндекс или бесплатный лимит запросов превышен."
"%s - Access to your personal data.";"%s - доступ к вашим персональным данным."
"%s - v%s";"%s - v%s"
"(Offline)";"(Offline)"
"-";"-"
"<a href=\"%s\" target=\"_blank\">Click here for more information about AdMob</a>";"<a href=\"%s\" target=\"_blank\">Нажмите здесь для получения дополнительной информации о компании AdMob</а>"
"<a href=\"%s\">Click here</a> to go back to your applications list";"<a href=\"%s\" target=\"_blank\">Нажмите здесь</a>, чтобы вернуться к списку приложений"
"<b>File type:</b> %s<br /><b>Recommended size:</b> %s";"<b>тип файла:</b> %s<br /><b>размер:</b> %s"
"<b>Geolocation</b> option for the Overview & HTML5 will be displayed & work only when using HTTPS, however it works in Android & iOS apps without HTTPS.";"Параметр <b> Геолокация </b> для обзора и HTML5 будет отображаться и работать только при использовании HTTPS, однако он работает в приложениях для Android и iOS без HTTPS."
"<button class=\"add btn color-blue\" type=\"button\"><i class=\"fa fa-plus-circle\"></i><span> Click to add an item</span></button>";"<button class=\"add btn color-blue\" type=\"button\"><i class=\"fa fa-plus-circle\"></i><span> Нажмите, чтобы добавить пункт</span></button>"
"<img src=\"%s\" width=\"160\" title=\"%s\" />";"<img src=\"%s\" width=\"160\" title=\"%s\" />"
"A e-mail has been sent to %s, please check your inbox.";"Электронное письмо было отправлено на %s, пожалуйста, проверьте свой почтовый ящик."
"A place can belong to multiple categories.";"Место может принадлежать нескольким категориям."
"ACTIVATE";"Активировать"
"Above 50 active whitelabels, Nwicode's automated Let's Encrypt SSL certificate generation is not supported.";"Более 50 активных whitelabels не поддерживается автоматической генерацией SSL-сертификата Let's Encrypt в Nwicode."
"Accepted Terms of Service";"Принял условия предоставления услуг"
"Account Settings";"Настройки учетной записи"
"Action '{$action}' executed for module '{$module}'.";"Действие '{$action}' выполнено для модуля '{$module}'."
"Add an <br /><span class=\"bold\">image</span>";"Добавить  <br /><span class=\"bold\">изображение</span>"
"Add<br /><span class=\"bold\">Attachment</span>";"Добавить<br /><span class=\"bold\">вложения</span>"
"Add<br /><span class=\"bold\">Pictures</span>";"Добавить<br /><span class=\"bold\">фотографии</span>"
"Addresses blocks can now have a website & a phone number.";"Адреса блоки, теперь можете добавить свой сайт и номер телефона."
"Ads type";"Тип объявления "
"After the upgrade you will be required to upload new homepage & splashscreen, actual homepages & splashscreens can still be downloaded.";"Для обновления вам необходимо загрузить новую страницу и заставку, старые изображения и splashscreens еще можно скачать."
"All places";"Все места"
"Allow line return?";"Начать обратку?"
"Alphabetically";"По алфавиту"
"An error occurred while processing the payment.";"Произошла ошибка при обработке платежа."
"Android 4.4+";"Андроид 4.4+"
