"%s / Month";"%s / Месяц"
"%s / Year";"%s / Год"
"%s An unknown error occurred, please try again later.";"%s  произошла неизвестная ошибка, пожалуйста, повторите попытку позже."
"%s Image";"%s изображ."
"%s Images";"%s фото"
"%s ago";"%s назад"
"%s, No params sent.";"%s, нет параметра отправки."
"(DEMO)";"(ДЭМО)"
"10 seconds";"10 секунд"
"15 seconds";"15 секунд"
"20 seconds";"20 секунд"
"2Checkout";"2Checkout"
"30 seconds";"30 секунд"
"404, page not found";"404, страница не найдена"
"A step requires at least a title and a text.";"Шаг требует, как минимум, заголовок и текст."
"API";"API-интерфейс"
"APIs";"APIs"
"APK Generator Service";"Обслуживание генератора АПК "
"APK Generator advanced settings";"Расширенные настройки генератора APK"
"APK Generator for builds from the Editor (Local or Service)";"Генератор APK для сборки из редактора (локальный или служебный)"
"Access Management";"Дать доступ"
"Account";"Аккаунт"
"Accounts";"Аккаунты"
"Acl";"Управления доступом"
"Actions";"Действия"
"Activate";"Активировать"
"Activity";"Деятельность"
"AdMob Banner ID";"Идентификатор баннера AdMob"
"AdMob Interstitial ID";"AdMob интерстициальный ID"
"Add";"Добавить"
"Add Image";"Добавить фото"
"Add a";"Добавить"
"Add a page";"Добавить её.."
"Add a picture";"Добавить фото"
"Add content";"Добавить содержимое"
"Add extension";"Добавить расширение"
"Add feature";"Добавление"
"Add image";"Добавить фото"
"Add new upload extensions.";"Добавьте новые расширения для загрузки."
"Address";"Адрес"
"Address (more)";"Адреса (больше)"
"Addresses";"Адреса"
"Admin";"Админ"
"Admin panel type";"Тип панели администратора"
"Admob Banner ID";"В admob ID баннера"
"Admob Interstitial ID";"Admob интерстициальный ID"
"Advanced options";"Дополнительные опции"
"After validating, you will be redirected to the 2Checkout checkout page.";"После проверки, вы будете перенаправлены на 2контроль странице оформления заказа."
"After validating, you will be redirected to the PayPal checkout page.";"После проверки, вы будете перенаправлены на страницу PayPal для оплаты."
"Alert: The SSL Certificate %s automatic renewal failed.";"Предупреждение: SSL-сертификата %автоматическое продление ы не удалось."
"Alignment";"Выравнивание"
"All data";"Все данные"
"All items";"Все детали"
"All user list";"Список всех пользователей"
"Allow users to export features";"Разрешить пользователям экспортировать функции"
"Allow users to import features";"Разрешить пользователям импортировать функции"
"Allowed upload extensions.";"Разрешенные расширения для загрузки."
"An error occurred during process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, повторите попытку позже."
"An error occurred during process.<br />Please try again later.";"Произошла ошибка во время процесса.<br />пожалуйста, попробуйте снова позже."
"An error occurred during the process. Please try again later.";"Произошла ошибка во время процесса. Пожалуйста, повторите попытку позже."
"An error occurred while editing your invoice : can't find order";"Ошибка при редактировании счета-фактуры : не могу найти заказ"
"An error occurred while loading places.";"Произошла ошибка при загрузке места."
"An error occurred while loading. Please try again later.";"Произошла ошибка при загрузке. Пожалуйста, повторите попытку позже."
"An error occurred while loading. Please, try again later.";"Произошла ошибка при загрузке. Пожалуйста, повторите попытку позже."
"An error occurred while processing your payment.";"Произошла ошибка во время обработки вашего платежа."
"An error occurred while saving";"Произошла ошибка при сохранении"
"An error occurred while saving your account. Please try again later.";"Произошла ошибка при сохранении вашего аккаунта. Пожалуйста, повторите попытку позже."
"An error occurred while saving your picture. Please try again later.";"Произошла ошибка при сохранении изображения. Пожалуйста, повторите попытку позже."
"An error occurred while saving your picture. Please try againg later.";"Произошла ошибка при сохранении вашего аккаунта. Пожалуйста, повторите попытку позже."
"An error occurred while saving. Please try again later.";"Произошла ошибка при сохранении. Пожалуйста, повторите попытку позже."
"An error occurred while saving. Please, try again later.";"Произошла ошибка при сохранении. Пожалуйста, повторите попытку позже."
"An error occurred while uploading your file. Please, try again later.";"Произошла ошибка при загрузке файла. Пожалуйста, повторите попытку позже."
"An unexpected error occurred while calculating the route.";"Произошла непредвиденная ошибка при расчете маршрута."
"An unknown error occurred while creating the push notification.";"Произошла неизвестная ошибка при создании push-уведомлений."
"An unknown error occurred while issue-ing your certificate.";"Произошла неизвестная ошибка при вопрос-ную ваш сертификат."
"An unknown error occurred while loading the page.";"Произошла неизвестная ошибка во время загрузки страницы."
"Android APK";"Андроид apk "
"Android SDK is not installed";"SDK для Android не устанавливается"
"Android Source";"Источник Android "
"Android Spinner";"Android грузилка"
"Android base Package Name can't be empty.";"Название пакета для Android не может быть пустым."
