"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</strong> должно быть числовое значение<br />"
"<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />";"<strong>%s</strong> должен быть действительным даты (e.g. dd/mm/yyyy)<br />"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</strong> должен быть действительный адрес электронной почты<br />"
"<strong>%s</strong> must be filled<br />";"<strong>%s</strong> должно быть заполнено<br />"
"Activated";"Активированный"
"Add a field";"Добавить поле"
"Add a section";"Добавить раздел"
"Add an option";"Добавить опцию"
"CREATE A NEW FIELD";"СОЗДАТЬ НОВОЕ ПОЛЕ"
"Checkbox";"Флажок"
"Choose a field type";"Выбрать тип поля"
"Choose a field type:";"Выбрать тип поля:"
"Civility";"Гражданство"
"Create a new field";"Создать новое поле"
"Created at";"Создан В"
"Date/Hour";"Дата/Час"
"Download CSV";"Скачать CSV"
"Drop down";"Вниз"
"Email";"Электронной почты"
"Field name";"Имя поля"
"Field name:";"Имя поля:"
"Form data will be sent to this email. Until you fill out this field, your form won't be displayed on client side";"Данные формы будут отправлены на этот адрес электронной почты. Пока вы не заполните это поле, то Ваша форма не будет отображаться на клиентской стороне"
"Form data will be sent to this email. Until you fill out this field, your form won't be displayed on client side.";"Данные формы будут отправлены на этот адрес электронной почты. Пока вы не заполните это поле, Ваша форма не будет отображаться на клиентской стороне."
"Geolocation";"Геолокация"
"Hello,";"Здравствуйте,"
"INFORMATION";"Информация"
"Login As";"Войти Как"
"MANAGE FIELDS";"УПРАВЛЕНИЕ ПОЛЯМИ"
"Manage Profile Fields";"Управление Профилем Поля"
"Manage Profiles";"Управление Профилями"
"Manage fields";"Управление полями"
"Manage options";"Управление параметрами"
"Manage options:";"Управление параметрами:"
"Multiline text";"Многострочный текст"
"No user for now";"Нет пользователей сейчас"
"Number";"Количество"
"OK";"Ок"
"Option";"Вариант"
"Page name";"Название страницы"
"Radio";"Радио"
"Recipient email";"Email почты получателя"
"Recipient email:";"Адрес получателя:"
"Switch View";"Переключить Вид"
"Text";"Текст"
"The data has been saved successfully";"Данные успешно сохранены"
"This field is required";"Это поле является обязательным"
"Toggel Previewer";"Предпросмотрщик"
"User";"Пользователь"
"You have to choose a field type.";"Вы должны выбрать тип поля."
"Your App user's new profile";"Новый профиль пользователя"
"Your App user\'s new profile";"Пользователи новый профиль"
"Your new user profile has been completed";"Новый профиль пользователя был создан"
"Your new user profile has been completed.";"Новый профиль пользователя был создан."
