"Add a page";"Добавить страницу"
"Add feature";"Добавление"
"Allow line return in Title & Subtitles";"Позвольте вернуть строку в Название и подзаголовок"
"By checking this, a search field will appear in your folder feature";"По проверке этого, появится окно поиска в папке"
"Cancel";"Отменить"
"Click on";"Нажмите на"
"Click on a feature to add it to the folder";"Нажмите на функцию, чтобы добавить в папку"
"Click on a page to add it to the folder";"Нажмите на странице, чтобы добавить его в папку"
"Click on a page to add it to the folder <span id=\"folder_name\" class=\"folder_name\">\"%s\"</span>";"Нажмите на странице, чтобы добавить его в папку <span id=\"folder_name\" class=\"folder_name\">\"%s\"</span>"
"Click on a page to add it to the folder <span id='folder_name' class='folder_name'>%s</span>";"Нажмите на странице, чтобы добавить его в папку  <span id='folder_name' class='folder_name'>%s</span>"
"Close mobile display";"Закрыть моб. дисплей"
"Delete this folder and all its subfolders?";"Удалить эту папку и все вложенные папки?"
"Edit folder";"Изменить папку "
"Enable search in folders";"Включить поиск в папках"
"Folder title is required";"Нужно дать название папки"
"Folders";"Папки"
"Inherit global layout";"Наследование глобальный макет"
"Mobile display";"Моб. дисплей"
"New folder";"Новая папка"
"No results for your request.";"Нет результатов для вашего запроса."
"Override layout";"Переопределение макетов "
"Search results";"Результаты поиска"
"Show cover";"Показать обложку"
"Show search field";"Показать поле поиска"
"Show title";"Показать Заголовок"
"Subtitle";"Подзаголовок"
"Thumbnail";"Эскиз"
"Use card design";"Использовать дизайн карты "
"You cannot add this feature";"Вы не можете добавить эту функцию"
"You must first complete the current category creation process";"Вы должны сначала завершить текущий процесс по созданию категории"
"You will lose all unsaved changes, continue?";"Вы можете потерять все не сохраненные изменения!"
"to add a folder.";"добавить папку."
