"%s Update";"%s Обновление"
"Action";"Действие"
"Actions";"Действия"
"All of your modules are up to date";"Все ваши модули находятся в актуальном состоянии"
"An update is available. Click here to download it.";"Обновление доступно. Нажмите здесь, чтобы загрузить его."
"Check for updates";"Проверить наличие обновлений"
"Click here to see the release notes";"Нажмите здесь, чтобы просмотреть заметки о выпуске"
"Click here to send your module";"Нажмите здесь, чтобы отправить Ваш модуль"
"Details";"Детали"
"Drop your module here";"Перетащить модуль сюда"
"Host";"Хост"
"Install";"Установите"
"Installing";"Установка"
"Installing module <em><span id=\"label_module\"></span></em>";"Установка модуля <em><span id=\"label_module\"></span></em>"
"Installing your module";"Установка вашего модуля"
"Module successfully installed";"Модуль успешно установлен"
"Module to upload";"Модуль для загрузки"
"Modules Installation";"Установка дополнительных модулей"
"Modules successfully installed!";"Модули успешно установлены!"
"Name";"Имя"
"No directory provided";"Нет указанного каталога"
"No module to install";"Нет модулей для установки"
"No modules uploaded yet";"Ни один из модулей не загружен"
"Or set the correct permissions to the following files and folders and try again:";"Или установите правильные разрешения на следующие файлы и папки и попробуйте снова:"
"Package";"Пакет"
"Package Details";"Подробности пакета"
"Path to your system";"Путь к вашей системе"
"Please update the module to the %s version before installing this update.";"Пожалуйста, обновите модуль до версии %s , перед установкой этого обновления."
"Please update your system to the %s version before installing this update.";"Пожалуйста, обновите систему до версии %s , перед установкой этого обновления."
"Please wait, we're installing your module";"Пожалуйста, подождите, мы устанавливаем модуль"
"Please, enter a name";"Пожалуйста, введите имя"
"Please, fill out all fields";"Пожалуйста, заполните все поля"
"Port";"Порт"
"Processing the installation";"Обработка установки"
"Progress";"Прогресс"
"Retry";"Повторите"
"Select a module to upload";"Выберите модуль для загрузки"
"Size";"Размер"
"Some files and folder are not writable. You can either provide your FTP access to install this update:";"Некоторые файлы и папки не могут быть перезаписаны. Вы можете либо предоставить вам доступ по FTP, чтобы установить это обновление:"
"Some files don't have the right permissions and can't be updated";"Некоторые файлы не имеют права доступа и не могут быть обновлены"
"Status";"Статус"
"The database connection failed. Please, check the entered information.";"Подключение к базе данных не удалось. Пожалуйста, проверьте введенную информацию."
"The entered password confirmation does not match the entered password.";"Ваше подтверждение пароля не соответствует введенному паролю."
"The file %s does not exist";"Файл %s не существует"
"The file %s is not writable.";" Файл %s не доступен для записи."
"The folder %s is not writable.";"Папка %s не доступна для записи."
"The folder %s is not writable. Please fix this issue and try again.";"Папка %s не доступна для записи. Пожалуйста, исправьте этот вопрос и попробуйте еще раз."
"The following files and folders are not writable:";"Следующие файлы и папки не могут быть перезаписаны:"
"The following files and folders are not writable: <br /> - %s";"Следующие файлы и папки не могут быть перезаписаны: <br /> - %s"
"The following folders are not writable: <br /> - %s";"Следующие папки не доступны для записи: <br /> -%s"
"The installation of the module <span id=\"installation_failed_module_name\"></span> has failed: <span id=\"installation_failed_because\"></span>";"Установка модуля <span id=\"installation_failed_module_name\"></span> не удалась: <span id=\"installation_failed_because\"></span>"
"The package you have uploaded is invalid.";"Пакет, который вы загрузили является недопустимым."
"There is no CMS license key set.";"Нет лицензионного ключа CMS."
"This process may take few minutes, please do not refresh the page";"Этот процесс может занять несколько минут, пожалуйста, не обновляйте страницу"
"This update is designed for the %s, you can't install it in your %s.";"Это обновление предназначено для %s, вы не можете установить его в вашем %s."
"Unable to check for updates now. Please, try again later.";"Невозможно проверить наличие обновлений. Пожалуйста, повторите попытку позже."
"Unable to connect to your FTP. Please check the connection information.";"Не удается подключиться к вашему FTP. Пожалуйста, проверьте информацию о соединении."
"Unable to detect your site. Please make sure the entered path is correct.";"Невозможно определить ваш сайт. Пожалуйста, убедитесь, что ввели правильный путь."
"Unable to extract the archive.";"Невозможно извлечь архив."
"Unable to fetch the update. Please, try again later.";"Невозможно получить обновление. Пожалуйста, повторите попытку позже."
"Unable to open the archive.";"Не удается открыть архив."
"Unable to open the file. Please, make sure that you sent a valid archive.";"Не удается открыть файл. Пожалуйста, убедитесь, что вы отправили правильный архив."
"Upload a module";"Загрузить модуль"
"Upload your modules";"Загрузить свой модуль"
"Username";"Имя пользователя"
"Version";"Версия"
"We are checking for updates. Please, do not refresh the page.";"Мы проверяем наличие обновлений. Пожалуйста, не обновляйте страницу."
"You already have installed this template.";"Вы уже установили этот шаблон."
"You already have installed this update.";"Вы уже установили это обновление."
"You can either fix this issue by setting the correct permissions to them and try again or enter your FTP access below:";"Вы можете решить эту проблему, установив необходимые разрешения для них и попробовать снова или введите ваш доступ FTP ниже:"
"Your system is up to date.";"Ваша система находится в актуальном состоянии."
