"A new contact form has been sent for the following offer:";"Новые данные были отправлены на следующее предложение:"
"Add a position";"Доб. вакансию"
"Add category";"Доб.категорию"
"Add company";"Доб.компанию"
"Add place";"Доб.место"
"Address";"Адрес"
"Administrators";"Администраторы"
"All fields are required !";"Все поля обязательны !"
"Alternate name for 'Company'";"Альтернаивное название ""Компания"""
"Alternate name for 'Place'";"Альтернаивное название ""Место"""
"Categories";"Категории"
"Category";"Категория"
"Category disabled";"нет категории"
"Category enabled";"Категория включена"
"City";"Город"
"Clear";"Понятно"
"Close";"Закрыть"
"Companies";"Компании"
"Company";"Компания"
"Company disabled";"Компании отключены"
"Company enabled";"Компании включены"
"Company saved.";"Сохранено"
"Contact";"Контакты"
"Contact e-mail";"Контактный e-mail"
"Contact form";"Контактная форма"
"Contract type";"Тип контракта"
"Create a new Category";"Создать новую Категорию"
"Create a new company";"Создать Новую Компанию"
"Create a new place";"Добавить Новое Место"
"Create a new position";"Создать новую позицию"
"Create position";"Создание позиции"
"Description";"Описание"
"Disable category";"Отключить категории"
"Disable company";"Отключить компании"
"Display Search";"Показать Поиск"
"Display contact";"Показать контакт"
"Display income";"Показать З/П"
"Display place icon";"Показать иконку на карте"
"Distance";"Расстояние"
"Email & Contact form";"Email & Контактная Форма"
"Email successfully sent.";"Письмо успешно отправлено."
"Employee count";"Число сотрудников"
"Enable category";"Включение категории"
"Enable company";"Включить компанию"
"For more options use the editor";"Дополнительные опции использовать редактор"
"Form error";"Ошибка Формы"
"Form has the following errors";"Форма содержит следующие ошибки"
"Full name";"Полное название"
"General";"Основное"
"Header";"Заголовок"
"Hidden";"Скрыть"
"Icon";"Иконка"
"Import a header";"Импортировать Заголовок"
"Import a header image";"Импортировать картинку в Заголовок"
"Import a logo";"Импорт логотип"
"Import an icon";"Импорт иконки"
"Import an icon image";"Импортировать иконку"
"Income from:";"ЗП от:"
"Input your keywords ...";"Введите ключевые слова ..."
"Is active";"активно"
"Job";"Работа"
"Keywords";"Теги"
"Keywords, coma separated";"Ключевые слова, разделенные запятыми"
"Locality";"Район"
"Logo";"Логотип"
"Manage";"Управление"
"Manage company";"Управлять компанией"
"Manage place";"Управлять местом"
"Message";"Сообщение"
"Missing category_id";"Отсутствует category_id"
"My companies";"Мои компании"
"Name";"Имя"
"New contact for: ";"Новый контак для:"
"New contact for: %s";"Новый контакт для: %s"
"None";"Нету"
"OK";"Ок"
"Place";"Место"
"Place enabled";"Место включено"
"Place saved.";"Место сохранено"
"Place successfully deleted.";"Место успешно удалено"
"Places";"Места"
"Positions";"Вакансии"
"Publish";"Опубликовать"
"Required fields are missing !";"Обязательные поля отсутствуют !"
"Save";"Сохранить"
"Search";"Поиск"
"Search...";"Поиск..."
"Select a city ...";"Выберите город ..."
"Submit";"Представить"
"Success.";"Принято."
"Thank you";"Благодарим!"
"The category you are trying to edit doesn't exists.";"Категорию которую вы пытаетесь изменить, не существует."
"The company you are trying to edit doesn't exists.";"Компании вы пытаетесь изменить, не существует."
"The place is successfully created.";"Место успешно создано."
"The place you are trying to edit doesn't exists.";"Место, которое вы пытаетесь изменить, не существует."
"This place is inactive.";"Место дезактивировано"
"Use global configuration";"Исп. глобальные настройки"
"Views";"Вид"
"Website";"Веб сайт"
"You are about to remove this Category ! Are you sure ?";"Вы собираетесь удалить эту категорию ! Вы уверены ?"
"You are about to remove this Category !\n Are you sure ?";"Хочешь удалить эту категорию, уверен?"
"You are about to remove this Company and all the associated Places !\n Are you sure ?";"Если ты удалишь эту компанию, то удалятся все ассоциации в ""Места"". Уверен?"
"You are about to remove this Company and all the associated Positions ! Are you sure ?";"Вы собираетесь удалить эту компанию и все связанные с ним посты ! Вы уверены ?"
"You are about to remove this Place ! Are you sure ?";"Вы собираетесь Удалить это место ! Вы уверены ?"
"You are about to remove this Place !\n Are you sure ?";"Хочешь удалить это место? Уверен?"
"You are not allowed to create a place for this company";"Вы не позволили создавать места для этой компании"
"administrators";"администраторы"
"banner";"Баннер"
"contract_type";"contract_type"
"description";"описание"
"display_contact";"display_contact"
"employee_count";"employee_count"
"header";"Заголовок"
"icon";"иконка"
"income_from";"income_from"
"income_to";"income_to"
"keywords";"Ключевые слова"
"location";"Расположение"
"logo";"Логотип"
"name";"имя"
"to:";"до:"
"website";"сайт"
