"lb11_Change Password";"Пароль"
"lb11_Connection";"Войти"
"lb11_Create account";"Регистрация"
"lb11_Display menu's images";"изображения меню"
"lb11_Email";"Email"
"lb11_Firstname";"Имя"
"lb11_Forgot your password?";"Напомнить пароль?"
"lb11_Forgot your password? Enter your email address, it will be emailed to you";"Забыли пароль? Введите свой адрес электронной почты, он будет отправлен к вам"
"lb11_I accept the privacy policy";"Принять"
"lb11_Lastname";"Фамилия"
"lb11_Login image color (Hexadecimal format)";"Login цвет изображения"
"lb11_Nickname";"Ник"
"lb11_Old Password";"Старый пароль"
"lb11_Or sign in with Facebook";"Войти через Facebook"
"lb11_Password";"Пароль"
"lb11_Save";"Сохранить"
"lb11_Send me my password";"Напомнить мне мой пароль"
"lb11_Show me in ranking";"Показывать меня в рейтинге"
"lb11_Sign in";"Войти в"
"lb11_Sign up";"Регистрация"
"lb11_Welcome";"Привет"
"lb11_Your points";"Мои баллы"
