"lb12_Change Password";"сменить пароль"
"lb12_Connection";"Вход"
"lb12_Create account";"Создать учетную запись"
"lb12_Email";"Email"
"lb12_Firstname";"Имя"
"lb12_Forgot your password?";"Забыли пароль?"
"lb12_Forgot your password? Enter your email address, it will be emailed to you";"Изменить пароль? Введите свой адрес электронной почты, он будет отправлен к вам"
"lb12_I accept the privacy policy";"Я принимаю политику конфиденциальности"
"lb12_Lastname";"Фамилия"
"lb12_Nickname";"Никнейм"
"lb12_Old Password";"пароль"
"lb12_Or sign in with Facebook";"войти в систему с Facebook"
"lb12_Password";"Пароль"
"lb12_Save";"Сохранить"
"lb12_Send me my password";"Напомнить мне мой пароль"
"lb12_Show me in ranking";"Показывать меня в рейтинге"
"lb12_Sign in";"Войти в"
"lb12_Sign up";"Войти"
"lb12_Welcome";"Привет,"
"lb12_Your points";"Мои баллы"
