"lb13_Change Password";"Сбросить пароль"
"lb13_Connection";"Войти"
"lb13_Create account";"Регистрация"
"lb13_Email";"Email"
"lb13_Firstname";"Имя"
"lb13_Forgot your password?";"Забыли пароль?"
"lb13_Forgot your password? Enter your email address, it will be emailed to you";"Забыли пароль? Введите свой адрес электронной почты, он будет отправлен к вам"
"lb13_I accept the privacy policy";"Согласен"
"lb13_Lastname";"Фамилия"
"lb13_Nickname";"Ник"
"lb13_Old Password";"Старый пароль"
"lb13_Or sign in with Facebook";"Войти с Facebook"
"lb13_Password";"Пароль"
"lb13_Save";"Сохранить"
"lb13_Send me my password";"Напомнить мне мой пароль"
"lb13_Show me in ranking";"Показывать меня в рейтинге"
"lb13_Sign in";"Войти в"
"lb13_Sign up";"Выйти"
"lb13_Welcome";"Добро пожаловать"
"lb13_Your points";"У Вас очков"
