"lb14_Add";"Добавить"
"lb14_Background color";"цвет"
"lb14_Banner Header text";"Баннер текст заголовка"
"lb14_Banner options";"Опции баннера"
"lb14_Bottom";"Снизу"
"lb14_Center";"Центр"
"lb14_Delete";"Удалить"
"lb14_Display ads Banner ?";"Отображать рекламные баннеры?"
"lb14_Display features icons ?";"ставить иконки на экране ?"
"lb14_Header text alignment";"выравнивание текста"
"lb14_Header text color";"цвет текста"
"lb14_Import";"Импорт"
"lb14_Label";"Название"
"lb14_Layout Text Direction";"направление текста"
"lb14_Left";"Слево"
"lb14_Left to Right";"слево направо"
"lb14_Menu Header text";"Меню, текст заголовка"
"lb14_Menu items alignment";"Меню элементы выравнивания"
"lb14_Menu options";"Варианты меню"
"lb14_Menu sections";"Меню в разделах"
"lb14_Middle";"Средний"
"lb14_No";"Нет"
"lb14_Position";"Позиция"
"lb14_Re-open banner on users end ?";"открыть баннер на сайте?"
"lb14_Right";"Вправо"
"lb14_Right to Left";"справо налево"
"lb14_Save";"Сохранить"
"lb14_Sections alignment";"Секция выравнивание"
"lb14_Sections background color";"Цвет фона"
"lb14_Sections style";"стиль"
"lb14_Sections text color";"цвет текста"
"lb14_See more background";"более фон"
"lb14_See more button text";"больше текста кнопки"
"lb14_See more feature to open (index number in menu)";"другие функции, чтобы открыть (Порядковый номер в меню)"
"lb14_See more text color";"более цвет текста"
"lb14_Skip background";"фон"
"lb14_Skip button text";"кнопка текст"
"lb14_Skip text color";"цвет текста"
"lb14_Top";"Топ"
"lb14_Yes";"Да"
"lb14_background image";"изображения"
"lb14_dots";"точки"
"lb14_dots2";"точки2"
"lb14_halfcircle";"полукруг"
"lb14_roundedcorners";"закругленные углы"
"lb14_roundedges";"закругление"
"lb14_roundedsplit";"округленное разделение"
"lb14_roundedsplit2";"округленное разделение 2"
"lb14_simple";"простой"
"lb14_slit";"разрез"
"lb14_slit2";"разрез 2"
"lb14_transparent";"прозрачный"
"lb14_treelines";"линии деревьев"
"lb14_triangles";"треугольник"
