" is now yours!";"это теперь Ваше!"
"1 loyalty point =";"1 балл ="
"1 point";"1 балл"
"1 validated point =";"1 использ. баллы ="
"1 validated point = ";"1 использ. баллы ="
"An error occurred while retrieving QRCode. Please try again later";"Произошла ошибка при получении QR-кода. Пожалуйста, попробуйте снова позже"
"An error occurred while saving the password. Please try again later";"Произошла ошибка при сохранении пароля. Пожалуйста, повторите попытку позже"
"An error occurred while saving the password. Please try again later.";"Произошла ошибка при сохранении пароля. Пожалуйста, повторите попытку позже."
"An error occurred while saving your loyalty card.";"Произошла ошибка при сохранении вашей карты лояльности."
"An error occurred while saving your loyalty card. Please fill all fields in.";"Произошла ошибка при сохранении вашей карты лояльности. Пожалуйста, заполните все поля."
"An error occurred while validating point. Please try again later.";"Произошла ошибка при активации фишки. Пожалуйста, повторите попытку позже."
"An error occurred with your QRCode.";"Произошла ошибка с вашим QR-кода."
"Card name";"Название карты"
"Congratulations";"Поздравляю"
"Current card";"Текущая карта"
"Delete this password?";"Удалить этот пароль?"
"Employee's name";"Имя сотрудника"
"Employee's name:";"Имя сотрудника:"
"Employee's password";"Пароль сотрудника"
"Employee's password:";"Пароль сотрудника:"
"Enter password";"Введите пароль"
"Enter the password";"Ввести пароль"
"My new loyalty card";"Моя новая карта лояльности"
"My passwords";"Мои пароли"
"No card available";"Нет доступной карты"
"No cards available";"Нет доступных карт"
"Number of points";"Количество баллов"
"Please enter a name";"Пожалуйста, введите имя"
"Please enter the password";"Пожалуйста, введите пароль"
"Please show your phone to the store person so that he enters his password";"Пожалуйста, покажите продавцу ваш телефон в магазине, для ввода пароля"
"Point active";"Активные баллы"
"Point inactive";"Пункт не активен"
"Point%s successfully validated";"Успешно использовано фишек"
"Previous cards";"Предыдущие карты"
"Reward";"Награда"
"Rewards";"Награды"
"Scan QRCode";"Сканировать Qrcode"
"This card is uniq:";"Эта карта уникальна:"
"Unlock by QRCode";"Разблокировка с помощью QR-кода"
"Unreadable QRCode, sorry.";"QR-код нечитаем, к сожалению."
"Use only once?";"Использовать только один раз?"
"We are sorry but this card is temporarily blocked";"Мы сожалеем, но эта карта временно заблокирована"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Неверный пароль. Будьте осторожны! %d остальные попытки%s могут блокировать карту. Попросите в магазине продавца проверить ваши метки"
"Wrong password.<br />Be careful !<br />%d remaining attempt%s before locking your card.<br />Ask the store person for validating your point";"Неверный пароль.<br />будьте осторожны !<br />%d оставшиеся попытки%s до блокировки вашей карты.<br />вы спросите в магазине человека для проверки вашей точки"
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Неверный пароль. <br /> Будьте осторожны! %d остальные попытки%s могут блокировать карту. <br />Попросите в магазине продавца проверить ваши метки"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Вы превысили количество попыток активировать фишку. Ваша карта будет заблокирована на 24 часа"
"You just finished your card";"Вы только что использовали свою карту"
"You must be logged in to validate points";"Вы должны войти в систему для активации фишек"
"Your loyalty card has been saved successfully";"Ваша карта лояльности была успешно сохранена"
"Your password must be 4 digits";"Ваш пароль должен состоять из 4 цифр"
"is now yours!";"это теперь Ваше!"
"point";"балл"
"point to validate";"балл для активации."
"points to validate";"Баллы для использ."
"validated points =";"использ. баллы ="
"validated points = ";"использ. баллы ="
