"API Key";"Ключ API"
"Alert";"Предупреждение"
"Clear";"Очистить"
"Email Address";"E-mail"
"First Name";"Имя"
"Last Name";"Фамилия"
"List";"Список"
"Mailchimp Settings";"Настройки Рассылки Mailchimp"
"Mailchimp::findAction An unknown error occurred, please try again later.";"В mailchimp::findAction неизвестная ошибка, повторите попытку позже."
"Mailchimp::subscribeAction An unknown error occurred, please try again later.";"В mailchimp::subscribeAction неизвестная ошибка, повторите попытку позже."
"Missing API Key.";"Отсутствует API-ключ."
"Please check the email address you entered";"Пожалуйста, проверьте адрес электронной почты"
"Save";"Сохранить"
"Subscribe";"Подписаться"
"Subscription added, Check your email for confirmation";"Подписка добавлена, проверьте вашу электронную почту для подтверждения"
"Success";"Успешно"
"Success.";"Успешно"
"The value_id is required.";"Введите value_id"
"Welcome message";"Приветственное сообщение"
"You are already subscribed in this list";"Вы уже подписаны на этот список"
"You have no list, please create one in your MailChimp account, or Check your API Key.";"У вас нет списка, пожалуйста, в свой аккаунт mailchimp, или проверить ваш ключ API."
"You have successfully subscribed, Check your email for confirmation";"Вы успешно подписались, проверьте вашу электронную почту для подтверждения"
