"%s - Customer Service";"%s - Центр обслуживания клиентов"
"(filtered from _MAX_ total entries)";"(отфильтрованный от _MAX_ общая запись)"
"1 points =";"1 очко ="
"2 columns";"в 2 столбца"
"20.00%";"18.00%"
"24 open";"Круглосуточно"
"3 columns";"в 3 столбца"
"4 columns";"в 4 столбца"
": activate to sort column ascending";": активировать столбец для сортировки по возростанию"
": activate to sort column descending";": активировать столбец для сортировки по убыванию"
"Add Discount";"Добавить Скидку"
"Add a format";"Добавить формат"
"Add a picture";"Добавить фото"
"Add card";"Добавить карту"
"Add gratuity (Optional)";"Оставить чаевые"
"Add options";"Добавить опцию"
"Add pictures";"Добавить фотки"
"Add to cart";"В корзину"
"All fields with a * are required.";"Поля с пометкой * обязательны."
"Amount remaining:";"Сумма оставшаяся:"
"Amount you will pay";"Сумма, которую вы оплатите"
"An error occurred during the payment process.";"Произошла ошибка в процессе оплаты."
"An error occurred while cancelling. Please try again later.";"Произошла ошибка во время отмены. Пожалуйста, повторите попытку позже."
"An error occurred while proceeding the payment. Please, try again later.";"Произошла ошибка во время оплаты. Пожалуйста, повторите попытку позже."
"An error occurred while proceeding your order. Please, check the following information:";"Произошла ошибка при исполнении вашего заказа. Пожалуйста, проверьте следующую информацию:"
"An error occurred while proceeding your order:";"Произошла ошибка при оформлении Вашего заказа:"
"Are you sure you want to close without saving";"Вы уверены, что хотите закрыть без сохранения"
"Are you sure you want to delete this category and all its subcategories?";"Вы уверены, что хотите удалить эту категорию и все его подкатегории?"
"Are you sure you want to delete this store?";"Вы уверены, что хотите удалить этот магазин?"
"Are you sure you want to delete this tax?";"Вы уверены, что хотите удалить этот налог?"
"Are you sure you want to remove this product?";"Вы уверены, что хотите удалить этот продукт?"
"At least one option is required:";"Хотя бы один параметр является - обязательным:"
"Background color";"Цвет фона"
"Birthday";"Дата рождения"
"Border color";"Цвет бордюра"
"Calculate the change for the client";"Рассчитать изменения у клиента"
"Cancel order";"Отменить заказ"
"Cancelled";"Отменен"
"Card Number";"Номер Карты"
"Carry Out";"Самовывоз"
"Cart";"Корзина"
"Cash";"Наличными"
"Category";"Категория"
"Category list type";"Режим вывода категорий"
"Category successfully saved.";"Категория успешно сохранена."
"Check";"Безнал (для юр.лиц)"
"Choose a delivery method:";"Выберите способ доставки:"
"Choose a payment method:";"Выберите способ оплаты:"
"Choose a store";"Выберите магазин"
"Choose a store:";"Выбрать магазин:"
"City";"Город"
"Client";"Клиент"
"Client will pay";"Клиент оплатил"
"Code";"Код"
"Code used";"Код, используемый"
"Completed";"Завершен"
"Confirm";"Оформить"
"Confirmation";"Подтверждение"
"Connected Printers";"Подключенные принтеры <br> Подробнее <a href=""https://www.google.com/cloudprint/learn/?hl=ru"" >о виртуальных принтерах</a>"
"Continue shopping";"Продолжить покупки"
"Create a new choice list group";"Создать новый список для выбора группы"
"Create a new discount";"Создать новую скидку"
"Create a new options group";"Создайте новую группу опций"
"Create a new product";"Создать новый товар"
"Create a new tax";"Создать новый налог"
"Create a store";"Создать магазин"
"Credit Card by phone";"Мобильный терминал"
"Credit card (online payment)";"Кредитной картой (онлайн оплата)"
"Credit card (pay upon pickup or delivery)";"Кредитной картой (оплата при доставке или самовывозе)"
"Credit card payment";"Оплата картой"
"Customer";"Заказчик"
"Customer Service";"Отдел продаж"
"Customer can add tip to a command?";"Клиент может оставлять чаевые"
"Date of birth";"Дата рождения"
"Deductable";"Вычитаемые"
"Deduction";"Скидка"
"Delete";"Удалить"
"Delivery";"Доставка"
"Delivery Fees";"Стоимость доставки"
"Delivery Method";"Способ доставки"
"Delivery address";"Адрес доставки"
"Delivery area";"Адрес доставки"
