"Access my personal data";"Доступ к моим персональным данным"
"Add a comment";"Добавить коммент"
"Add image";"Доб.изображение"
"Add to address book";"Добавить в адресную книгу"
"Address";"Адрес"
"Albums";"Альбомы"
"An error occurred while loading the media.";"Произошла ошибка при загрузке медиа."
"An error occurred while loading the radio.";"Произошла ошибка при загрузке радио."
"An error occurred while reading the code.";"Произошла ошибка при чтении кода."
"An unexpected error occurred while calculating the route.";"Произошла непредвиденная ошибка при расчете маршрута."
"Application is Locked";"Приложение заблокировано"
"Buffering";"Буферизации"
"Buy Tickets";"Купить Билеты"
"Buy tickets";"Купить билеты"
"CVC ***";"CVC ***"
"Cancel";"Отменить"
"Cancel delete";"Отмена удаления"
"Cancel edit";"Отменить редактирование"
"Civility";"Пол"
"Clear";"Очистить"
"Click here to log-in";"Нажмите здесь, чтобы войти"
"Close";"Закрыть"
"Comment";"Комментарий"
"Copy";"Копировать"
"Create an account";"Создать аккаунт"
"Date and time";"Дата и время"
"Delete";"Удалить"
"Delivery address";"Адрес доставки"
"Description";"Описание"
"Discount code";"Код скидки"
"Dismiss";"Отменить"
"Done";"Готово"
"Downloading...";"Загрузка..."
"EXP";"EXP"
"Email";"Email"
"Error";"Ошибка"
"First name / Last name";"Имя / Фамилия"
"Firstname";"Имя"
"Flag";"Отметка"
"Forgot your password?";"Забыли пароль?"
"Hi. I just found: $1 in the $2 app.";"Привет. Я только что нашел: $1 в приложении за $2."
"I accept the privacy policy";"Я принимаю политику конфиденциальности"
"I just found this discount $1 in $2 app.";"Я только что нашел эту скидку $1 в приложении $2."
"I'm listening to $1 from $2 on $3 app.";"Я слушаю $1 из $2 в приложении $3."
"I'm listening to $1 on $2 app.";"Я слушаю $1 в приложении $2 ."
"Identity";"Личность"
"Info";"Инфо"
"Informations";"Информация"
"Invoicing address";"Адрес для выставления счета"
"Lastname";"Фамилия"
"Like";"Лайк"
"Loading";"Загрузка"
"Locate";"Определить"
"Location";"Местоположение"
"Log-in";"Войти"
"Log-in with Facebook";"Войти с Facebook"
"Login error";"Ошибка входа"
"Map";"Карта"
"Miss";"Жен."
"Mr";"Мистер"
"Mrs";"Г-жа"
"My account";"Мой аккаунт"
"New Post";"Новый пост"
"Nickname";"Ник"
"No comments for now.";"Пока нет комментариев."
"No form available";"Форма недоступна"
"No images found";"Изображения не найдены"
"No items found";"Ничего не найдено"
"No results for your request.";"Нет результатов по вашему запросу."
"Notes";"Заметки"
"Notification";"Уведомление"
"Number of people";"Кол-во людей"
"OK";"ОК"
"Offline mode";"Автономный режим"
"Ok";"Ок"
"Open link";"Открыть ссылку"
"Or with your account";"Или с вашим аккаунтом"
"Order Details";"Детали Заказа"
"Overview";"Обзор"
"Password";"Пароль"
"People number:";"Кол-во людей:"
"Phone";"Телефон"
"Photos";"Фото"
"Playlists";"Плейлисты"
"Please enter a valid email address";"Пожалуйста, введите действительный адрес электронной почты"
"Please enter your email address.";"Пожалуйста, введите свой адрес электронной почты."
"Please enter your email address. We'll send you your password right now.";"Пожалуйста, введите свой адрес электронной почты. Мы вышлем вам ваш пароль прямо сейчас."
"Please wait...";"Ожидайте..."
"Podcast";"Подкаст"
"Prices";"Цены"
"Privacy";"Конфиденциальность"
"Privacy Policy";"Политика конфиденциальности"
"Pull to refresh...";"Потяните, чтобы обновить ..."
"RSVP";"Просьба ответить"
"Read all";"Читать все"
"Scan result";"Результат скана"
"See details";"Смотрите подробности"
"Send";"Отправить"
"Send contact request";"Отправить запрос на контакт"
"Show me in ranking";"Покажите м меня в рейтинге"
"Success";"Успешно"
"Tap to download in background";"Нажмите для загрузки в фоновом режиме"
"Terms & Conditions";"Условия использования"
"The address you're looking for does not exists.";"Адрес, который вы ищете не существует."
"The sign in flow was canceled";"Вход в поток был отменен"
"There is no route available with these informations.";"С этой информацией нет доступных маршрутов."
"This application is no longer available";"Это приложение больше не доступно"
"This feature is disabled in the overview";"Эта функция отключена в обзоре"
"This feature is disabled in this preview";"Эта функция отключена в этом предварительном просмотре"
"This feature is not available in offline mode!";"Эта функция недоступна в автономном режиме!"
"This field is required";"Это поле обязательно к заполнению"
"This will open the code scan camera on your device.";"Откроется QR-сканер на вашем мобильном"
"Title";"Название"
"Tracks";"Треки"
"Triple tap to close the preview";"Тройной тап, чтобы закрыть предварительный просмотр"
"Use this coupon";"Использовать этот купон"
"Valid Until";"Действительна до"
"View";"Посмотреть"
"We are sorry but this application has been deactivated and may not be re-activated.";"К сожалению, это приложение было деактивировано и не может быть повторно активировано."
"We'll send you your password right now.";"Мы пришлем вам ваш пароль прямо сейчас."
"Website";"Вебсайт"
"Wrong password.<br />Be careful !<br />%d remaining attempt%s before locking your card.<br />Ask the store person for validating your point";"Неверный пароль.<br />будьте осторожны !<br />%d оставшиеся попытки%s до блокировки вашей карты.<br />вы спросите в магазине человека для проверки вашей точки"
"XXXX XXXX XXXX";"ХХХХ ХХХХ ХХХХ"
"You must fill at least one field!";"Вы должны заполнить хотя бы одно поле!"
"Your comment";"Ваш комментарий"
"Your location could not be found because your application doesn't use SSL.";"Ваше местоположение не может быть найдено, потому что ваше приложение не использует SSL."
"followers";"подписчики"
"following";"следующий"
"track";"трек"
"tracks";"треки"
"Login";"Вход"
"Show more";"Показать ещё"
