"Background Color";"Цвет Фона"
"Choose Navigation App";"Выбрать Приложение Навигации"
"Current location not found.Please make sure GPS is enabled.";"Текущее местоположение не нашли. Пожалуйста, убедитесь, что GPS включен."
"Data Source";"Форма"
"Default Icon Url";"URL-иконки (70х40)"
"Font Color";"Цвет Шрифта "
"Google Maps";"Карты Google "
"Hide Label";"Скрывать Метки"
"Maps Navigation";"Навигационные Карты "
"Navigating";"Навигация"
"Nearby Places";"Близлежащие Места"
"No";"Нет"
"Save";"Сохранить"
"Select Awesome Form";"Форма"
"Select Field";"Выберите Поле"
"Settings";"Параметры"
"Show Label";"Показать Метки"
"Waze App";"Приложение Приложение"
"Yes";"Да"
"You are here";"Вы здесь"
"description";"описание"
"http://mysite/icon.png";"http://mysite/icon.png"
"picture";"картинка"
"title";"название"
