"Access restricted to authorized members only";"Доступ ограничен. Только для авторизованных пользователей"
"Allow all the users by default:";"Разрешить всем пользователям по умолчанию:"
"Choose the features to lock:";"Выберите функции для блокировки:"
"Lock the entire application?";"Блокировка всего приложения?"
"Restrict Access";"Ограничить доступ"
"Scan now to unlock";"Сканирование сейчас, чтобы разблокировать"
"Unlock by:";"Разблокировать с помощью:"
"We are sorry but your account does not have enough permissions to access this page";"Сожалеем, но у вашего аккаунта недостаточно прав для доступа к этой странице."
"the email address";"адрес электронной почты"
"the first name";"имя"
"the gender";"пол"
"the last name";"фамилия"
"the password";"пароль"
