"1 Point";"1 балл"
"4-digit pincode";"4-значный пинкод"
"AVERAGE NUMBER OF VISITS";"СРЕДНЕЕ КОЛИЧЕСТВО ПОСЕЩЕНИЙ"
"AVERAGE VALIDATED POINTS PER CUSTOMER";"СРЕДНЯЯ ПОДТВЕРЖДЕНО ОЧКОВ ЗА КЛИЕНТА"
"AVERAGE VALIDATED POINTS PER EMPLOYEE";"СРЕДНЯЯ ПОДТВЕРЖДЕНО ОЧКОВ ЗА РАБОТНИКА"
"Action";"Действие"
"Active Card";"Активная Карта"
"Active Reward";"Активная награда"
"An error occurred while redeem the reward. Please try again later.";"Произошла ошибка при активации награды. Пожалуйста, попробуйте снова позже."
"An error occurred while retrieving QRCode. Please try again later";"Произошла ошибка при получении QR-кода. Пожалуйста, попробуйте снова позже"
"An error occurred while saving the pincode. Please try again later";"Произошла ошибка при сохранении пинкода. Пожалуйста, попробуйте снова позже"
"An error occurred while validating point. Please try again later.";"Произошла ошибка при проверке точки. Пожалуйста, попробуйте снова позже."
"An error occurred with your QRCode.";"Произошла ошибка с вашим QR-кодом."
"Card name";"Имя карты"
"Close";"Закрыть"
"Coupons";"Купоны"
"Cover Image";"Обложка"
"Current card";"Текущая карта"
"Customer Name";"Имя Клиента"
"Customer data";"Данные клиента"
"DESIGN";"Дизайн"
"Date";"Дата"
"Default Active Reward Image";"Активный - изображение вознаграждение"
"Default Inactive Reward Image";"Не активное вознаграждение - изображение"
"Delete this pincode?";"Удалить этот пинкод?"
"E-Mail";"E-mail"
"ESTIMATE TOTAL REVENUE";"ОЦЕНКА ОБЩЕЙ ВЫРУЧКИ"
"Edit Reward";"Редактировать награду"
"Employee";"Сотрудник"
"Employee's name";"Имя сотрудника"
"Employee's pincode";"Пинкод работника"
"Employee\'s name";"Имя работника"
"Expires in ";"Истекает в "
"Expiry in days";"Срока в днях"
"Filter metrics";"Метрика"
"For each";"Для каждого"
"From";"От"
"Import sales from Commerce Module";"Импорт продаж из модуля коммерции "
"Inactive Reward";"Неактивные награды"
"Loading ...";"Загрузка ..."
"Loyalty Cards";"карты лояльности"
"Loyalty Control";"Контроль лояльности"
"Most loyal customers";"Самые лояльные клиенты"
"Name";"Название"
"No";"Нет"
"No data for this metrics for now.";"Нет данных для этой метрики."
"Number of points";"Количество очков"
"Number of points to redeem reward";"Количество очков, чтобы выкупить награды"
"Number of points to validate";"Количество точек для проверки"
"Number of visits";"Количество посещений"
"OK";"Ок"
"Options";"Варианты"
"POINTS";"очки"
"Pincode";"Пинкод"
"Please enter a name";"Пожалуйста, введите имя"
"Please give this to the store attendant to redeem this coupon";"Пожалуйста, передайте это работником магазина, чтобы использовать этот купон"
"Please insert estimate worth of 1 point. This amount will be used in the reporting to estimate sales. For $10.50, please type 10.50";"Пожалуйста, вставьте расчёт стоимости за 1 очко. Эта сумма будет использована в отчетности для оценки продаж. За 10.50 руб, пожалуйста, введите 10.50"
"Please set another pincode, the one you select is already used by another employee";"Пожалуйста, установите другой пинкод, вы выбрали один уже используется другой сотрудник"
"Please setup your pincode first to validate.";"Пожалуйста, установите первый пин-код для проверки."
"Point%s successfully validated";"Очки%s успешно проверены"
"Points";"очки"
"Points Remaining";"Оставшиеся очки"
"Previous cards";"Предыдущие карты"
"REDEEM";"Выкупить"
"REDEEMED";"ВЫКУПАЕТСЯ"
"Reward Description";"Описание о награде"
"Reward Name";"Название Награды"
"Reward disabled";"Награды отключены"
"Reward enabled";"Вознаграждение включено"
"Rewards";"награды"
"Rewards Redeemed";"Награды, полученные"
"Rewards used";"Используемые вознаграждения"
"STAMP";"Штамп"
"Search:";"Поиск:"
"Start date must be lower than end date.";"Дата начала должна быть меньше даты окончания."
"Success.";"Успешно"
"TOTAL ESTIMATED REVENUE";"ОБЩАЯ ОЦЕНОЧНАЯ КОМПАНИЯ"
"TOTAL NUMBER OF VISITS";"ОБЩЕЕ КОЛИЧЕСТВО ПОСЕЩЕНИЙ"
"TOTAL POINTS VALIDATED";"ОБЩЕЕ КОЛИЧЕСТВО ОЧКОВ ПРОВЕРЕН"
"TOTAL REWARDS REDEEMED";"ОБЩАЯ ВОЗНАГРАЖДЕНИЙ, ПОЛУЧЕННЫХ"
"TOTAL VALIDATED POINTS";"ОБЩАЯ ПРОВЕРЕННЫХ ОЧКОВ"
"TOTAL VALIDATED REWARDS";"ОБЩАЯ ПРОВЕРЕННЫЕ НАГРАДЫ"
"Term & Conditions";"Правило и условия"
"The card you are trying to update isn't exists.";"Карта, которую вы пытаетесь обновить, не существует."
"The reward you are trying to edit isn't exists.";"Награда, которую вы пытаетесь изменить, не существует."
"This card is uniq:";"Эта карта уник:"
"Unauthorised user.";"Неавторизованный пользователь."
"Use coupon";"Использовать купон"
"Use only once?";"Использовать только один раз?"
"Validate 1 point only";"Проверьте 1 пункт"
"Validated Points";"Проверенные очки"
"Validated points by Employee";"Проверенные очки работником"
"Validated points by Loyalty card Analytics";"Проверенные очки, карты лояльности аналитика"
"Wrong pincode.";"Неправильный пинкод."
"Wrong pincode. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Неправильный пинкод. Будьте осторожны! %d остальные попытки%s до блокировки вашей карты. Спросите в магазине человека для проверки вашей точки"
"Wrong pincode.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Неправильный пинкод.<br />и будьте осторожны! %d остальные попытки%s до блокировки вашей карты.<br /> вы спросите в магазине человека для проверки вашей точки"
"Yes";"Да"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Вы превысили количество попыток для проверки очков. Ваша карта будет заблокирована на 24 часа"
"You have to chose a start and an end date.";"Вы должны выбрать начальную и конечную дату."
"You haven\'t reached the reward\'s points. Please try after achive the required points.";"Вы не достигли очков награды. Попробуйте собрать необходимые очки."
"You just finished your card";"Вы только что использовали Вашу карту"
"You just redeem your reward";"Вы можете забрать награду"
"You must be logged in to validate points";"Вы должны войти в систему для проверки очков"
"Your loyalty card has been saved successfully";"Ваша карта лояльности успешно сохранена"
"Your pincode must be 4 digits";"Пин-код должен быть 4 цифры"
"Your reward has been saved successfully";"Ваша награда успешно сохранена"
"add cards";"добавить карты"
"add new card";"добавить новую карту"
"add new rewards";"добавить новые награды"
"convert";"преобразования"
"days";"дней"
"days validity";"дней действия"
"employees";"сотрудники"
"log visit successfully";"журнал посещений"
"log visit unsuccessfull";"лог неудачных входов"
"loyalty cards";"карты лояльности"
"manage";"Управление"
"manual validation";"ручная проверка"
"point";"очко"
"points";"Очки"
"rewards";"награды"
"to";"для"
"validation";"Проверка"
