"(You'll be able to remove this promotion later)";"(Вы сможете удалить эту акцию позже)"
"An error occurred while saving your discount. Please fill in all fields";"Произошла ошибка при сохранении вашей скидки. Пожалуйста, заполните все поля"
"Are you sure you want to use this discount?";"Вы уверены, что хотите использовать эту скидку?"
"Closed discounts";"Закрытые скидки"
"Conditions";"Условия"
"Create a new Discount";"Создать новую скидку"
"Create a new discount";"Создать новую скидку"
"Delete this discount?";"Удалить эту скидку?"
"Description";"Описание"
"Design";"Дизайн"
"Details";"Детали"
"Discount";"Скидка"
"Discount successfully deleted";"Скидка успешно удалена"
"Discount successfully saved";"Скидка успешно сохранена"
"Do you want to use this coupon?";"Хотите использовать этот купон?"
"End at";"Конец в"
"Generate QRCode";"Создать QR-код"
"Is unique?";"Является уникальным?"
"Manage content";"Управление контентом"
"No";"Нет"
"On";"На"
"Picture";"Картинка"
"Please select an end date greater than the current date.";"Пожалуйста, выберите дату окончания больше текущей даты."
"QR Coupon";"QR купон"
"Search ...";"Поиск ..."
"This discount is now used";"Эта скидка сейчас используется"
"Thumbnail";"Эскиз"
"Title";"Название"
"Unlimited";"Неограниченный"
"Use only once?";"Use only once?"
"Valid Until";"Действительна до"
"Valid until";"Действительна до"
"Yes";"Да"
"You have already use this code";"Вы уже использовали этот код"
"You have already use this discount";"Вы уже использовали эту скидку"
"You must be logged in to use a discount";"Вы должны войти в систему, чтобы использовать скидку"
"Your QRCode";"Ваш QR-код"
"or illimited";"или незапрещенный"
"or unlimited";"или неограниченное"
"use only once";"использовать только один раз"
"you'll be able to remove this promotion later";"Вы сможете удалить эту акцию позже"
