"60000 maximum allowed.";"60000 максимально допустимое."
"<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>Типы файлов:</b> %s<br /><b>Рекомендуемый размер:</b> %s"
"Admob ID";"Идентификатор сети admob"
"Admob type";"Admob тип"
"Android";"Андроид"
"App limit for displaying real data";"Ограничение приложения для отображения реальных данных"
"Banner";"Баннер"
"Below are variables you can use to be replaced in the extent.";"Ниже перечислены переменные, которые вы можете использовать, чтобы их можно было заменить."
"Buy a license";"Купить лицензию"
"Click here to force analytics computing";"Нажмите здесь, чтобы заставить аналитические вычисления"
"Click here to send your favicon";"Нажмите здесь, чтобы отправить свой значок"
"Click here to send your logo";"Нажмите здесь, чтобы отправить свой логотип"
"Communications";"Общение"
"Current favicon";"Текущий фавикон"
"Current logo";"Текущий логотип"
"Default privacy policy";"Политика конфиденциальности по умолчанию"
"Default privacy policy section for GDPR";"Политика конфиденциальности по умолчанию для GDPR"
"Display a link to your clients to your support platform";"Показать ссылку для ваших клиентов на вашу платформу поддержки"
"Documentation";"Документация"
"Drop your favicon here";"Вставьте свой значок сайта сюда"
"Drop your logo here";"Вставьте ваш логотип сюда"
"Duration of the free trial period of your platform (in days, 0 for no free trial).";"Продолжительность бесплатного ознакомительного периода платформы (в днях, 0 для отмены)."
"Editor's Design";"Дизайн редактора"
"Enter here your terms & conditions";"Введите здесь ваши правила и условия"
"Enter the javascript code provided by your Chat provider in order to display a Chat from the editor.";"Введите код JavaScript, предоставленный вашим провайдером чата, для отображения чата из редактора."
"European <b>General Data Protection Regulation (GDPR)</b>.";"Европейское <b> Общее регулирование защиты данных (GDPR) </b>."
"Favicon";"Фавикон"
"Flat";"Квартира"
"Force all app to use Owner AdMob";"Заставить все приложение использовать владелец AdMob"
"Free trial period";"Бесплатный пробный период"
"Free trial period duration must be a numeric value.";"Продолжительность бесплатного пробного периода должна быть числовым значением."
"Full platform owner contact";"Контакт с полноправным владельцем платформы"
"Interstitial";"Промежуточный"
"Invalid license key";"Недопустимый ключ лицензии"
"Ios";"Ios"
"License has no more activation left";"У лицензии больше нет активации"
"License is valid";"Лицензия действительна "
"Logo";"Логотип"
"None = no sign-up form, validation = admin must validate created account, full = free sign-up";"Нет = нет формы регистрации, проверки = админ должен подтвердить созданный аккаунт, полным = бесплатно"
"Number of typed characters:";"Количество набранных символов:"
"Nwicode";"Nwicode"
"Online Chat";"Онлайн чат"
"Button 1";"Кнопка 1"
"Button 1 name";"Кнопка 1 - имя"
"Button 2";"Кнопка 2"
"Button 2 name";"Кнопка 2 - имя"
"Button 3";"Кнопка 3"
"Button 3 name";"Кнопка 3 - имя"
"Custom HTML";"Свой HTML код"
"Order development";"Заказать разработку"
"Platform or Whitelabel Company name";"Название платформы или Whitelabel"
"Platform or Whitelabel name";"Название платформы или Whitelabel"
"Privacy Settings";"Настройки Конфиденциальности "
"Publication access type";"Тип доступа к публикации"
"Sales";"Продажи"
"Sales Email Address";"E-mail адрес продаж"
"Sender's email address of the emails sent by the site to your clients";"Адрес электронной почты отправителя из письма, отправленные на сайт вашим клиентам"
"Sender's name of the emails sent by the site to your clients";"Имя отправителя из письма, отправленные на сайт вашим клиентам"
"Sign-up mode";"Режим регистрации"
"Sign-up mode for your platform.";"Режим регистрации для вашей платформы."
"Site";"Сайт"
"Support Email Address";"E-mail адрес поддержки"
"The Application name";"Имя приложения "
"The european <b>General Data Protection Regulation (GDPR)</b> is applicable to your country, you must enable it in the privacy settings below.";"Европейское <b> Общее правило защиты данных (GDPR) </b> применимо к вашей стране, вы должны включить его в настройках конфиденциальности ниже."
"The folder /images/default is not writable.";"Папка / images / default недоступна для записи."
"This number will be used to switch between demo mode and real time mode for your analytics on your dashboard";"Этот номер будет использоваться для переключения между демонстрационным режимом и режимом реального времени для аналитики на панели инструментов."
"This privacy policy will be used for every new Application created as a template.";"Эта политика конфиденциальности будет использоваться для каждого нового Приложения, созданного в качестве шаблона."
"This section of the privacy policy is added when the GDPR settings are active.";"В этом разделе Политика конфиденциальности добавляется при настройки GDPR активны."
"This text will appear in the checkout page. 65,000 characters max.";"Этот текст появится на странице оформления заказа. Не более 65 000 символов"
"Users can download application sources code.";"Пользователи могут загружать исходные коды приложений."
"Users can generate APK";"Пользователи могут генерировать АПК"
"Users can not generate APK.";"Пользователи не могут создавать android игры."
"Users give you the required information to publish applications.";"Пользователи дают вам необходимую информацию для публикации приложений."
"We cannot get your license information";"Мы не можем получить информацию о вашей лицензии"
"You can use <b>%s</b> as a dynamic variable for your application name.";"Вы можете использовать <b>%s</b> в качестве динамической переменной для имени приложения."
"Your Applications";"Ваши приложения"
"Your CMS License Key";"Ключ лицензию CMS"
"Your Location";"Ваше местонахождение"
"Your Platform";"Ваша Платформа"
"Your company";"Ваша компания"
