"%MONTH%/%YEAR%";"%МЕСЯЦ%/%ГОД%"
"%s change your driver status";"%s сменил свой статус"
"%s, you finished your ride with %s.";"%s, ваша поездка была закончена с %s."
"%s, you finished your ride with <em>%s</em>.";"%s, ваша поездка была закончена с <em>%s</em>"
"2Checkout Settings";"Параметры (2Checkout)"
"Accept";"Принять"
"Accept this driver";"Принять этого водителя"
"Accepted";"Принято"
"Add a";"Добавить"
"Add a picture";"Добавить фото"
"Add vehicle type";"Добавить тип авто"
"Address";"Адрес"
"Address is required";"Адрес обязателен"
"All";"Все"
"Allow drivers to set final price";"Разрешить водителям, устанавливать окончательную цену"
"Allowed payment methods";"Доступные методы оплаты"
"Already paid";"Уже заплатили"
"An error occured while lauching your request. Please try again later.";"Произошла ошибка при обработке вашего запроса. Пожалуйста, попробуйте снова позже."
"An error occured while saving!";"Ошибка при сохранении!"
"An error occured. Restart app or manage request from history panel.";"Произошла ошибка. Перезапустите приложение или сделайте запрос из панели ""история""."
"An error occurred while deleting the vehicle type. Please try again later.";"Произошла ошибка при удалении типа транспортного средства. Пожалуйста, попробуйте позже."
"An error occurred while managing your driver. Please try again later.";"Произошла ошибка при управления водителем. Пожалуйста, попробуйте позже."
"An error occurred while processing your payment";"Произошла ошибка при обработке Вашего платежа"
"An error occurred while saving";"Произошла ошибка при сохранении"
"An error occurred while saving, please try again later";"Произошла ошибка при, попробуйте еще раз."
"Are you a driver or a passenger ?";"Вы Водитель или Пассажир ?"
"Are you sure to cancel ride?";"Вы хотите сбросить поездку ?"
"Are you sure to delete this driver?";"Вы хотите удалить этого Водителя ?"
"Are you sure to finish ride?";"Хотите завершить поездку ?"
"Are you sure to start this ride?";"Хотите начать поездку ?"
"Are you sure you want to delete this vehicle type?";"Вы хотите удалить это тип автомобиля ?"
"Are you sure?";"Вы уверены ?"
"Authorization Failed";"Ошибка Авторизации"
"Bad request - missing data";"Плохой запрос недостаточно данных"
"Bad request - parameter error";"Плохой запрос - ошибка параметра"
"Base Fare";"Базовая Цена"
"Base fare";"Базовая Цена"
"Base fare is required";"Базовая Цена обязательно"
"Base fare:";"Базовая Цена:"
"Billing method";"Метод платежа"
"Cancel";"Сбросить"
"Cancel ride";"Сбросить поездку"
"Cancelled";"Не активно"
"Card";"Карта"
"Cash";"Наличные"
"Change";"Сменить"
"Checking information";"Проверка информации"
"Choose a driver";"Выбрать водителя"
"Choose me!";"Я готов ехать!"
"Choose your payment method";"Выберите способ оплаты"
"Choose your vehicle type";"Выберите тип автомобиля"
"City";"Город"
"City is required";"Город обязателен"
"Close";"Закрыть"
"Code";"Код"
"Confirm";"Подтвердить"
"Confirmation";"Подтверждение"
"Country";"Страна"
"Country is required";"Укажите страну"
"Created";"Создано"
"Credit Card (via 2Checkout)";"Кредитная карта (через систему 2checkout)"
"Credit Card (via Stripe)";"Кредитная Карта (через Stripe)"
"Credit card";"Кредитная карта"
"Credit card (2Checkout)";"Кредитная карта (2Checkout)"
"Credit card (Stripe)";"Кредитная карта (Stripe)"
"Currently looking for drivers...""
Customer cannot be find""";"В настоящее время ищу водителей...""
Клиент не может найти"""
"Customer Name";"Имя Клиента"
"Customer cannot be find";"Клиент не может быть найден"
"Customers";"Клиенты"
"Date";"Дата"
"Date:";"Дата: "
"Date: ";"Дата:"
"Distance";"Дистанция"
"Distance fare";"За км"
"Distance fare:";"Тариф за км:"
"Distance or duration fare is required";"Дистанция или по времени обязательны"
"Distance units";"Дистанция ед.изм."
"Do you confirm that ride is paid?";"Вы подтверждаете, что поездка оплачена?"
"Do you confirm you want to pay by card?";"Вы подтверждаете, что хотите оплатить картой?"
"Do you really want to remove this credit card?";"Вы действительно хотите удалить эту кредитную карту?"
"Download CSV";"Скачать CSV"
"Driver";"Водитель"
"Driver ID";"Идентификатор водителя"
"Driver ID is not the ride one";"ID водитель не найден"
"Driver Name";"Имя Водителя"
"Driver base fare";"Водитель просит"
"Driver distance fare";"Водитель берет за км"
"Driver email";"Email водителя"
"Driver name";"Имя водителя"
"Driver name:";"Имя водителя:"
"Driver name: ";"Имя водителя:"
"Driver start latitude";"Водитель стартует"
"Driver start longitude";"Водитель старт"
"Driver successfully deleted.";"Водитель успешно удален"
"Driver successfully rejected.";"Водитель отклонен"
"Driver successfully validated.";"Водитель принят"
"Driver time fare";"Повремянный тариф"
"Drivers";"Водители"
"Driving license";"Водительские права"
"Drop off";"Довезти до"
"Drop off address";"Адрес конечного пути"
"Drop off address:";"Адрес назначения: "
"Drop off address: ";"Конечная точка:"
"Dropoff address";"Адрес прибытия"
"Dropoff latitude";"Доехали"
"Dropoff longitude";"Довозим"
"Duration";"Повременная"
"Duration fare";"Тариф по времени"
"Edit vehicle type";"Изменение типа транспортного средства"
"Email";"Email"
"Ended at";"Закончил"
"Error";"Ошибка"
"Error : your currency isn't supported by 2Checkout.";"Ошибка : ваша Валюта не поддерживается компанией 2checkout."
"Error while retrieving 2Checkout configuration from server.";"Ошибка при получении конфигурации 2Checkout с сервера."
"Exp Month";"Месяц"
"Exp Year";"Год"
"Final distance";"Расстояние"
"Final price";"Окончательная цена"
"Final price can't be negative and format should use only dot and numbers. e.g. : 1234.56";"Окончательная цена не может быть отрицательной и формат следует использовать только точки и цифры. например : 1234.56"
"Finish ride";"Закончить поездку"
"Finished";"Завершено"
"From email";"Email"
"From name";"От имени"
"Full ride";"Полная поездка"
"GO!";"GO!"
"General Settings";"Главные настройки"
"Go offline !";"OFF !"
"Go online !";"ON !"
"Go to pinpoint";"Жми, чтоб определить"
"Going";"Поехали"
"Have a nice day.";"Хорошего дня."
"Hello";"Привет"
"History";"История"
"ID";"ID"
"Incorrect price";"Неверная цена"
"Kilometers";"Километры"
"Last step: we need some informations about payments.";"Последний шаг: нам нужна некоторая информацию о платежах."
"Let's go!";"Поехали!"
"License Number";"Номер Прав"
"License number is required";"Номер Прав обязательно"
"Loading";"Загрузка"
"Manage vehicle types";"Управление типами авто"
"Mark as paid";"Отметить как оплаченный"
"Miles";"Мили"
"My account";"Мой профиль"
"Name";"Имя"
"New ride request incoming";"Новый запрос на поездку"
"No card set";"Карта не настроена"
"No card setd";"Нет карт"
"No driver available";"Доступных водителей нет"
"No driver has accepted your request for now. Please wait.";"Подождите пожалуйтса! Пока происходит поиск автомобиля."
"No driver yet!";"Пока водителей нет"
"No passenger yet!";"Пассажиров пока нет!"
"No request for now.";"Нет пока запросов"
"No requests yet!";"Пока нет запросов"
"No vehicle type found.";"Тип Авто не найден"
"None";"Нет"
"OK";"Ок"
"Ok";"Ок"
"Online (via 2Checkout)";"Онлайн (через систему 2checkout)"
"Paid";"Оплачен"
"Passenger";"Пассажир"
"Passenger ID is not the ride one";"ID пассажир нет"
"Passenger Name";"Имя Пассажира"
"Passenger accepted you as a driver.";"Пассажир хочет с Вами поехать."
"Passenger email";"Email пассажира"
"Passenger is on board";"Пассажир на борту"
"Passenger name";"Имя пассажира"
"Passenger refused you as a driver.";"Пассажир не захотел с Вами ехать"
"Passenger's request has been cancelled";"Запрос пассажира был отменен"
"Passengers";"Пассажиры"
"Password";"Пароль"
"Pay";"Оплатить"
"Pay by card";"Оплата по карте"
"Payment Authorization Failed: Credit is not enabled on this type of card, please contact your bank for more information or try another payment method.";"Разрешение на оплату не удалось: кредит не включается в этот Тип карты, пожалуйста, свяжитесь с вашим банком для получения дополнительной информации или попробовать другой способ оплаты."
"Payment Authorization Failed: Invalid transaction type for this credit card, please use a different card and try submitting the payment again, or contact your bank for more information.";"Авторизация платежа ошибка: недопустимый Тип операции для этого кредитную карту, пожалуйста, используйте другую карту и повторите попытку оплаты, или свяжитесь с вашим банком для получения дополнительной информации."
"Payment Authorization Failed: Please update your cards expiration date and try again, or try another payment method.";"Разрешение на оплату не удалось: пожалуйста, обновите дату окончания срока действия карты и попробуйте снова, или попробовать другой способ оплаты."
"Payment Authorization Failed: Please use a different credit card or payment method and try again, or contact your bank for more information.";"Разрешение на оплату не удалось: пожалуйста, используйте другую кредитную карту или способ оплаты и попробуйте еще раз или свяжитесь с вашим банком для получения дополнительной информации."
"Payment Authorization Failed: Please verify your Credit Card details are entered correctly and try again, or try another payment method.";"Разрешение на оплату не удалось: пожалуйста, проверьте данные Вашей кредитной карты введен правильно и попробуйте снова, или попробовать другой способ оплаты."
"Payment Authorization Failed: Please verify your information and try again, or try another payment method.";"Разрешение на оплату не удалось: пожалуйста, проверьте вашу информацию и попробуйте снова, или попробовать другой способ оплаты."
"Payment Settings";"Настройки платежей"
"Payment Status";"Статус Платежа"
"Payment in progress";"Оплата в процессе"
"Payment method";"Метод Оплаты"
"Payment settings";"Настройки платежей"
"Payment status";"Статус оплаты"
"Payment success";"Платеж принят"
"Payments Settings";"Настройки платежей"
"Phone";"Телефон"
"Phone is required";"Укажите телефон"
"Phone number";"Номер телефона"
"Pick up";"Откуда"
"Pickup address";"Откуда забрать"
"Pickup address:";"Адрес: "
"Pickup address: ";"Начальная точка:"
"Pickup latitude";"широта"
"Pickup longitude";"долгота"
"Picture";"Фото"
"Please choose a payment method";"Пожалуйста выбирите способ оплаты"
"Please choose a vehicle type";"Укажите тип транспорта"
"Please enter a credit card number";"Введите номер карты"
"Please enter final price :";"Укажите, пожалуйста, окончательную цену :"
"Please enter final price to finish ride :";"Пожалуйста, укажите окончательную цену, чтобы закончить поездку :"
"Please enter the credit card expiration month";"Введите меяц истечения срока карты"
"Please enter the credit card expiration year";"Пожалуйста введите ГОД от карты"
"Please try again later.";"Попробуйте позже"
"Price";"Цена"
"Prices disclamer";"Все цены"
"Proceed";"Продолжить"
"Processing";"Процесс"
"Refuse";"Отказ"
"Refused";"Отказались"
"Reject this driver";"Отклонить водителя"
"Rejected";"Отклонено"
"Remove card";"Удалить карту"
"Removing card";"Удалить карту"
"Request";"Запрос"
"Request History";"История запросов"
"Request ID";"Идентификатор запроса"
"Request a Ride";"Вызвать"
"Request failed.";"Запрос не прошел."
"Request has been cancelled.";"Запрос был отменен."
"Requesting";"Запрос"
"Requests";"Запросы"
"Ride details";"Детали Поездки"
"Ride details:";"Детали поездки:"
