"All";"Все"
"Arts";"Искусство"
"Choose a template to customize";"Выберите шаблон, чтобы настроить под себя"
"City";"Город"
"Corporate";"Корпоративные"
"Design";"Дизайн"
"Education";"Образование"
"Entertainment";"Развлечения"
"Fashion";"Мода"
"Health & Beauty";"Красота и Здоровье"
"Hotels";"Отели"
"List of your categories";"Список ваших категорий"
"Local Business";"Малый бизнес"
"Music";"Музыка"
"Organizations";"Организация"
"Real Estate";"Недвижимость"
"Sports";"Спорт"
"TEMPLATES";"ШАБЛОНЫ"
"Templates";"Шаблоны"
