"Auto Filter videos using APP ID from title ?";"Автоматический фильтр видео через приложение ID из заголовка ?"
"Background color";"Цвет фона"
"Cast shadow";"Бросить тень"
"Center";"Центр"
"Clipart";"Графические материалы"
"Color";"Цвет"
"Crop";"Урожай"
"Don't trim";"Не обрезать"
"Effect";"Эффект"
"Elevate";"Поднять"
"Font";"Шрифт"
"Foreground";"На переднем плане"
"From fonts.google.com";"От fonts.google.com"
"Image";"Изображения"
"Max Results";"Макс Результаты"
"Name";"Название"
"None";"Нет"
"Padding";"Обивка"
"Please check again.";"Пожалуйста, проверьте еще раз."
"Save";"Сохранить"
"Scaling";"Масштабирование"
"Score";"Оценка"
"Set to transparent to use original colors";"Установить прозрачный использовать оригинальные цвета"
"Settings";"Параметры"
"Shape";"Формы"
"Sorry, no videos available.";"К сожалению, нет видео."
"Text";"Текст"
"Trim";"Отделка"
"Trim whitespace";"Обрезать пробел"
"Youtube Channel";"Канал На YouTube "
"if enabled,dont forget to add APP Key in your videos description at youtube.com side.";"если включен,то не забудьте добавить ключ в Описание видео на стороне youtube.com ."
