"An error occurred while saving.";"Произошла ошибка при сохранении."
"An error occurred while saving. Please try again later.";"Произошла ошибка при сохранении. Пожалуйста, попробуйте снова позже."
"Could not authenticate you.";"Невозможно авторизоваться."
"Enter your twitter handle";"Введите ваше имя пользователя в Twitter"
"Enter your twitter handle/url";"Введите свой твиттер / url"
"Handle";"Ручка"
"Info successfully saved";"Информация успешно сохранена"
"Sorry, that page does not exist.";"К сожалению, эта страница не существует."
"Twitter API secret";"Секрет API Twitter"
"Twitter API settings";"Параметры API Твиттера"
"Twitter API token";"Твиттер API токен"
"Twitter consumer key";"Ключ клиента Twitter"
"Twitter consumer secret";"Клиентский секрет Twitter"
"Verify";"Проверить"
"followers";"подпискчики"
"following";"следующий"
"was verified with success";"Успешно"
