"Astronomy";"Астрономия"
"Atmosphere";"Атмосфера"
"Change location";"Изменить локацию"
"Chill:";"Холод:"
"Click here to view more details on current weather.";"Кликните здесь, чтобы посмотреть более подробную информацию о текущей погоде."
"Country:";"Страна:"
"Direction:";"Направление:"
"Fri";"Пт"
"Humidity:";"Влажность:"
"Mon";"Пн"
"Postal code or city";"Почтовый индекс или город"
"Postal code or city:";"Индекс или город:"
"Pressure:";"Давление:"
"Rising:";"Восход:"
"Sat";"Сб"
"Sorry, but the weather service is not available for the moment. Please try again later.";"Извините, но сервис \"погода\" не доступен в данный момент. Пожалуйста, повторите попытку позже."
"Speed:";"Скорость:"
"Sun";"Вс"
"Sunrise:";"Восход:"
"Sunset:";"Закат:"
"Thu";"Чт"
"Tue";"Вт"
"Units:";"Единицы:"
"Use my location";"Используйте мое местоположение"
"Visibility:";"Видимость:"
"Weather information";"Информация о погоде"
"Wed";"Ср"
"Wind";"Ветер"
