"1 Block";"1 блок"
"2 Blocks";"2 блока"
"3 Blocks";"3 блока"
"Adam Smith";"Адам Смит"
"Add Custom Domain to Your Site";"Добавление Настраиваемого домена для Вашего сайта"
"Alignment";"Выравнивание"
"App description text goes here.We can write important points about your app here.";"Приложение текстовое описание идет здесь. Мы можем написать важные моменты о приложении здесь."
"Attachment";"Вложение"
"Background";"Фон"
"Badges";"Значки"
"Blur";"Размытость"
"Border Radius";"Радиус Границы"
"Bottom";"Снизу"
"Center";"Центр"
"Color";"Цвет"
"Custom Domain";"Пользовательский Домен"
"Dimension";"Измерение"
"Duration";"Продолжительность"
"Easing";"Ослабление"
"Extra";"Дополнительные"
"Font";"Шрифт"
"Font Size";"Размер Шрифта"
"Font color";"Цвет шрифта"
"General";"Общие"
"Height";"Высота"
"Hero section";"Раздел герой"
"Image";"Изображения"
"Important features and description of each feature can be described here";"Важные характеристики и описание каждого объекта могут быть описаны здесь"
"John Black";"Джон Блэк"
"Learn More";"Узнать Больше"
"Learn more block here";"Подробнее блок"
"Left";"Слево"
"Letter Spacing";"Межбуквенный Интервал"
"Line Height";"Линия Высота"
"Line-through";"Линия-через"
"Link";"Ссылка"
"Map";"Карта"
"Max Width";"Максимальная Ширина"
"Min Height";"Минимальная Высота"
"My App Headline goes here";"Мое Приложение"
"None";"Нет"
"Open Website";"Открыть Сайт"
"Perspective";"Перспективы"
"Please create a CNAME of your domain pointing to";"Пожалуйста, создайте запись cname для вашего домена, указывающие на"
"Position";"Положение"
"Property";"Собственность"
"Quote";"Цитата"
"Repeat";"Повторить"
"Right";"Справо"
"Rotate X";"Поворот Х"
"Rotate Y";"Поворот Г"
"Rotate Z";"Поворот Z"
"SEO";"SEO-оптимизация"
"SEO Meta data Settings";"Настройки SEO Мета-данные"
"Scale X";"Масштаб X"
"Scale Y";"Шкала Г"
"Scale Z";"Шкала З"
"Select an element before using Style Manager";"Выберите элемент с помощью диспетчера стилей"
"Shadow type";"Тип тени"
"Size";"Размер"
"Software Engineer";"Инженер-Программист"
"Spread";"Распространение"
"Subtitle five";"подзаголовок 5"
"Subtitle four";"подзаголовок 4"
"Subtitle one";"Подзаголовок 1"
"Subtitle six";"Подзаголовок 6"
"Subtitle three";"Подзаголовок 3"
"Subtitle two";"Подзаголовок 2"
"Text";"Текст"
"Text Align";"Выравнивание Текста"
"Text Decoration";"Оформление Текста"
"Text Shadow";"Текст Тень"
"Text section";"Текст раздела"
"The team";"Команда"
"Title five";"название 5"
"Title four";"Название 4"
"Title one";"Название 1"
"Title six";"Название 6"
"Title three";"Название 3"
"Title two";"Два титула"
"Top";"Топ"
"Transform";"Преобразование"
"Transition";"Переход"
"Typography";"Типографика"
"Video";"Видео"
"Web Designer";"Веб-Дизайнер"
"Weight";"Вес"
"Width";"Ширина"
"X position";"позиция x"
"Y position";"Y позиция"
"underline";"подчеркнуть"
