"%s Text";"%s metin"
"* If apple doesn't detect any ads configurate, your application will be refused";"Eğer Apple herhangi bir reklam yapılandırma tespit etmezse uygulamanız reddedilir."
"* You have to justify why you need this background audio playing to Apple.";"Arka planda ses çalmanın neden gerektiğini Apple'a açıklamalısınız."
"* You have to justify why you need this background geolocation to Apple.";"Arka planda konum belirlemenin neden gerektiğini Apple'a açıklamalısınız."
"1. Download the app previewer:";"1. App ön izleyicisi indir:"
"1. Insert the following code between the %s tag of your page:";"1. Aşağıdaki kodu %s  sayfanızın etiketi arasına yerleştirin:"
"2. Insert the following code at the end of the %s tag of your page:";"2. Aşağıdaki kodu sayfanızın %s etiketinin sonuna ekleyin:"
"2. Open the app and login";"2. App yi açın ve giriş yapın"
"<b>Around you</b> option for the Overview & HTML5 will be displayed & work only when using HTTPS, however it works in Android & iOS apps without HTTPS.";"Genel Bakış ve HTML5 için <b>Çevreniz</b> seçeneği görüntülenir ve yalnızca HTTPS kullanırken çalışır, ancak Android ve iOS uygulamalarında HTTPS olmadan  çalışır."
"<b>File type:</b> %s";"<b>Dosya türü:</b> %s"
"<b>Note: </b>Icon must be white with transparency, the crop window will colorize it otherwise";"<b>Not: </b> Simge transparan beyaz olmalıdır aksi takdirde kırpma penceresi renklendirecektir."
"<b>Note</b>: the cron scheduler minimum interval is 10 seconds, reducing the cron interval can increase your server load, be careful.";"<b>Not</b>: cron zamanlayıcısı minimum aralığı 10 saniyedir, bu da cron aralığını azaltarak sunucu yükünüzü artırabilir, dikkatli olun."
"<b>Push image & Color</b> are dynamic and doesn't require the app to be re-published.";"<b>Resim ve Renk</b> dinamiktir ve uygulamanın yeniden yayınlanmasını gerektirmez."
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Öge eklemek için</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>tıklayın.</span>"
"API Keys";"API Anahtarları"
"APIs";"API'lar"
"Access Token";"Token'e erişim"
"Acl";"Acl"
"Activated";"Aktifleştirildi"
"AdMob ID";"AbMob kimliği"
"AdMob Type";"AdMob türü"
"Add a new icon";"Yeni bir ikon ekleyin"
"Add a thumbnail";"Küçük resim ekle"
"Add an image";"Bir görsel ekleyin"
"Add pages";"Sayfalar ekleyin"
"Add pictures";"Resim ekle"
"Add place";"Yer ekle"
"Add sections:";"Bölüm ekle:"
"Additional options";"Ek seçenekler"
"Admin";"Yönetici"
"Admin Account";"Yönetici hesabı"
"Advanced";"Gelişmiş"
"Advanced Application Options";"Gelişmiş uygulama ayarları"
"Advanced Customization CSS / SCSS";"Gelişmiş Özelleştirme CSS / SCSS"
"Advertising";"Reklam"
"All";"Tümü"
"All done!";"Tümü tamamlandı!"
"Allow user to request app publication";"Kullanıcının uygulama yayınlama talebini kabul et"
"Allowed";"Kabul edilen"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"App ikonu kopyalanırken bir hata oluştu. App ikonunu kontrol edin, tekrar göndermek ve yeniden deneyin."
"An error occurred during the generation of your QRCode. Please try again later.";"QR codu üretimi sırasında hata meydana geldi. Daha sonra tekrar deneyiniz."
"An error occurred while adding the option";"Seçeneği eklenirken bir hata oluştu"
"An error occurred while changing your layout.";"Ekran planını değiştirirken bir hata oluştu."
"An error occurred while deleting the option";"Seçeneği silinirken bir hata oluştu"
"An error occurred while deleting your picture";"Resmi silinirken bir hata oluştu"
"An error occurred while editing file (%s).";"Dosya (% s) düzenleme sırasında bir hata oluştu."
"An error occurred while generating. Please try again later.";"Üretilirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while hidding the iOS Status Bar";"IOS Durum Çubuğunu gizlerken bir hata oluştu"
"An error occurred while loading";"Yükleme sırasında bir hata oluştu"
"An error occurred while saving the application. Please try again later.";"Uygulamayı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving your colors.";"Renkleri kaydedilirken bir hata oluştu."
"An error occurred while saving your page name.";"Sayfa adını kaydedilirken bir hata oluştu."
"An error occurred while saving. Please try again later.";"Kaydederken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while saving. The selected icon is not valid.";"Kaydedilirken bir hata oluştu. Seçilen ikon geçerli değil."
