"%1$s on %2$s with %3$s!";"%S %s %1$2$3$s!"
"(optional)";"(isteğe bağlı)"
"1 Day Before Appointment";"1 Gün Önce Randevu "
"1 Hour Before Appointment";"1 Saat Önce Randevu "
"1 Week Before Appointment";"1 Hafta Önce Randevu "
"1 day before";"1 gün önce"
"1 hr before";"1 önce ik "
"1 week before";"1 hafta önce"
"12 Hour";"12 Saat"
"12 Hours Before Appointment";"12 Saat Önce Randevu "
"2 Hours Before Appointment";"2 Saat Önce Randevu"
"2 hr before";"2 önce ik "
"24 Hour";"24 Saat"
"30 min before";"30 dakika önce"
"6 Hours Before Appointment";"6 Saat Önce Randevu "
"A default notification is set to be sent 1hr before the appointment. Please adjust it below as per your requirements.";"Varsayılan bir bildirim 1saat randevu önce gönderilmesi için ayarlanmış. Lütfen gereksinimlerinize göre aşağıda ayarlayın."
"A default notification is set to be sent 1hr before the appointment. Please adjust it below the appointment. Please adjust it below as per your requirements.";"Varsayılan bir bildirim 1saat randevu önce gönderilmesi için ayarlanmış. Lütfen randevu aşağıya ayarlayın. Lütfen gereksinimlerinize göre aşağıda ayarlayın."
"Action";"Eylem"
"Active";"Aktif"
"Add";"Ekle"
"Add Break";"Sonu Ekleme "
"Add Date Break";"Tarih Sonu Ekleme "
"Add New Category";"Yeni Kategori Ekle "
"Add New Service";"Yeni Hizmet Ekle "
"Add new customer";"Yeni müşteri Ekle "
"Address";"Adres"
"Afternoon";"Öğleden sonra"
"All";"Tüm"
"All Categories";"Tüm Kategoriler"
"All Providers";"Tüm Sağlayıcılar"
"All Services";"Tüm Hizmetler"
"All provider";"Tüm sağlayıcısı"
"All provider *";"Tüm sağlayıcısı *"
"Always";"Her zaman"
"An error occurred during process. Please try again later.";"Bir hata işlemi sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while saving. Please try again later.";"Kaydedilirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred, unable to find the option.";"Bir hata oluştu, bu seçenek bulamadı."
"Appointment";"Randevu"
"Appointment Lists";"Randevu Listeler"
"Appointment Widget Code";"Randevu Widget Kodu"
"Appointment reminder";"Randevu hatırlatma"
"Appointment successfully deleted.";"Randevu başarıyla silindi."
"Appointment taken by someone else!";"Randevu başkası tarafından alınmış!"
"Appointments";"Randevu"
"Appointments Notifications";"Randevu Bildirimleri"
"Apr";"Nisan"
"April";"Nisan"
"Are you sure you want to cancel this appointment?";"Bu randevuyu iptal etmek istediğinizden emin misiniz?"
"Assign locations";"Atama yerleri"
"Assign services";"Atama hizmetleri"
"Aug";"Ağustos"
"August";"Ağustos"
"BOOK APPOINTMENT";"Kitap randevu"
"Below please find your booking details";"Lütfen aşağıdaki rezervasyon bilgileri bul "
"Book An Appointment";"Randevu almalısınız"
"Book Appointment";"Kitap randevu"
"Book an appointment";"Randevu almalısınız"
"Book appointment";"Kitap randevu"
"Booked";"Rezervasyonu"
"Booked On";"Rezervasyon Üzerine"
"Booking Icon";"Rezervasyon simgesi"
"Booking Notes";"Rezervasyon Notlar"
"Booking Notes:";"Rezervasyon Notlar:"
"Booking icon";"Rezervasyon simgesi"
"Buffer Time (min)";"(Dk)tampon Zamanı "
"Buffer Time(Min)";"(Dk)Tampon Zamanı"
"CREATE A NEW CATEGORY";"Yeni bir kategori oluştur "
"CREATE A NEW LOCATION";"Yeni bir konum oluşturmak "
"CREATE NEW CUSTOMER";"YENİ MÜŞTERİ OLUŞTURMAK "
"Calendar";"Takvim"
"Calendar URL";"Takvim URL"
"Cancel";"İptal"
"Cancellation Criteria";"İptal Kriterleri"
"Cancellation Policy";"İptal Politikası"
"Cancelled";"İptal"
"Cancelled by Customer";"Müşteri tarafından iptal edildi "
"Cancelled by Provider";"Sağlayıcı tarafından iptal edildi "
"Categories";"Kategori"
"Category";"Kategori"
"Category successfully deleted.";"Kategori başarıyla silindi."
"Choose Category";"Kategori Seçin "
"Choose Location";"Konum Seçin "
"Choose Provider";"Sağlayıcı Seçin "
"Choose Service";"Hizmet Seçin "
"Choose a Date and Time";"Tarih ve Saati seçin. "
"Client";"Müşteri"
"Comments:";"Yorum:"
"Completed";"Tamamlandı"
"Confirm";"Onaylamak"
"Confirm cancel";"İptal onaylamak "
"Confirm your information";"bilgilerinizi onaylayın "
"Confirmation";"Onay"
"Confirmation & Cancellation Emails";"Onay Ve İptal E-Posta"
"Confirmation Email";"Onay E-Posta"
"Cover Image";"Kapak resim"
"Cover image";"Kapak resim"
"Create a new category";"Yeni bir kategori oluştur "
"Create a new location";"Yeni bir konum oluşturmak "
"Create a new provider";"Yeni bir sağlayıcı oluşturma "
"Create a new service";"Yeni bir hizmet oluşturma "
"Customer";"Müşteri"
"Customer registered successfully";"Müşteri başarıyla kayıtlı "
"Customer successfully deleted.";"Müşteri başarıyla silindi."
"Date";"Tarih"
"Date & Time";"Tarih Ve Saat"
"Date Format";"Tarih Biçimi "
"Date breaks";"Tarih sonları"
"Day breaks";"Gün sonu"
"Days";"Gün"
"Dec";"Aralık"
"December";"Aralık"
"Default location";"Varsayılan konumu"
"Delete";"Sil"
"Design";"Tasarım"
"Do you want to book another appointment ?";"Başka bir randevu ister misiniz ?"
"Done";"Yapılan"
"Duration";"Süresi"
"Edit - ";"Düzenle - "
"Edit the options";"seçenekleri Düzenle "
"Edit timings";"Edit zamanlamaları"
"Email";"E-posta"
"Email Address";"E-Posta Adresi"
"End Time";"Bitiş Saati"
"End Time:";"Bitiş Saati:"
"End time";"Bitiş Saati"
"Enter Your Email";"E-Posta Adresinizi Girin "
"Enter Your Name";"Adınızı Girin "
"Enter Your Number!";"Numaranızı Girin!"
"Evening";"Akşam"
"Feb";"Şubat"
"February";"Şubat"
"First";"İlk"
"First name";"İlk isim"
"Fri";"Cum"
"Friday";"Cuma"
"Hello";"Merhaba"
"Info";"Bilgi"
"Integrations";"Entegrasyonlar"
"Internal Notes:";"İç Notlar:"
"Jan";"Ocak"
"January";"Ocak"
"Jul";"Temmuz"
"July";"Temmuz"
"Jun";"Haziran"
"June";"Haziran"
"Last";"Son"
"Last name";"Soyadı"
"Load Calendar";"Yük Takvim"
"Load calendar";"Yük Takvim"
"Location";"Konum"
"Locations";"Yerleri"
"MANAGE CATEGORIES";"Kategorileri Yönet"
"MANAGE LOCATIONS";"Yönetmek yerleri"
"MANAGE PROVIDERS";"Yönetmek sağlayıcıları"
"MANAGE SERVICES";"Hizmetlerini yönetmek "
"Manage categories";"Kategorileri Yönet"
"Manage locations";"Yönetmek yerleri"
"Manage providers";"Yönetmek sağlayıcıları"
"Manage services";"Hizmetlerini yönetmek "
"Mar";"Mart"
"March";"Mart"
"May";"Mayıs"
"Min";"Dk"
"Miss";"Özledim"
"Mobile";"Mobil"
"Mobile Number";"Cep Telefonu Numarası"
"Mon";"Mon"
"Monday";"Pazartesi"
"Morning";"Sabah"
"Mr";"Bay"
"Mrs";"Bayan"
"NO";"HAYIR"
"Name";"Adı"
"New Calendar Event";"Yeni Takvim Etkinliği"
"Next";"Sonraki"
"No appointments booked!";"Bir randevu ayarladım."
"No data available in table";"Tabloda veri mevcut değil "
"No matching records found";"Eşleşen kayıt bulundu"
"No recods founds!";"Hayır recods kurar."
"No service available";"Şebeke yok."
"Not a valid email!";"Geçerli bir e-posta!"
"Note:";"Not:"
