"%d Unread Message";"%d Okunmamış mesaj"
"%d Unread Messages";"%d Okunmamış mesajlar"
"60000 maximum allowed.";"En fazla 60000'e izin verilir."
"<b>Actual preview version is Nwicode 5.0</b>.";"<b>Gerçek önizleme sürümü Sibirya 5.0</b>."
"<b>Disclaimer:</b> You are using the <b>preview</b> update channel, this channel is intended for <b>tests & previews</b> of new features, if you are not sure stay with <b>stable channel</b>.";"<b> Feragatname: Şu anda güncel kanalın</b> <b> Önizlemesini </b> kullanıyorsunuz, bu kanal yeni özelliklerin <b> test ve önizlemeleri</b> için kullanılmaktadır, emin değilseniz <b> stabil kanalda </b> kalın."
"<b>Note for Bug report:</b> give us a maximum of description of how you reached the bug, and possibly screenshots.";"<b>Hata raporu için not:</b> bize hataya nasıl eriştiğinizi ve muhtemel ekran görüntülerini sağlar."
"<b>Note</b>: sources & push will be sent immediately after their creation, scheduled push will not work & media optimization is disabled.";"<b>Not</b>: Kaynaklar ve push, oluşturulduktan hemen sonra gönderilecek, planlanan push çalışmayacak ve medya optimizasyonu devre dışı bırakılacak."
"A certificate already exists for the domain %s, if you want to re-generate it, use 'Force re-generate' to proceed.";"%s domaini için bir sertifika mevcut, yeniden üretmek istiyorsanız \"Yeniden üretmeye zorla\"yı seçin"
"APK Queue empty";"APK Sırası boş"
"APK Queue status";"APK Sıra Durumu"
"APNS Feedback port 2196 is:";"APNS Feedback girişi 2196:"
"APNS Feedback:";"APNS Geri Bildirimi"
"APNS Port 2195 is:";"APNS Girişi 2195:"
"Account";"Hesap"
"Account Role";"Hesap Rolü"
"Actions";"Eylemler"
"Activate VAT number check with VIES";"VIES ile KDV numarasını kontrol et"
"Activate user";"Aktif kullanıcı"
"Active ?";"Aktif?"
"Add a custom text to the footer of your invoices";"Faturaların sonuna özel bir mesaj ekle"
"Admin panel type";"Admin panel türü"
"Advanced";"Gelişmiş"
"Alert: The APK build for the Application: %s (%s) is stuck for more than one hour.";"Uyarı: Uygulama için APK yapısı:%s (%s), bir saatten uzun bir süre boyunca sıkışmış."
"Alert: The Source build for the Application: %s (%s) is stuck for more than one hour.";"Uyarı: Uygulama için Kaynak oluşturma:%s (%s), bir saatten uzun bir süre boyunca sıkışmış."
"All the files are required.";"Tüm dosyalar gerekli."
"An entry already exists for this hostname, remove it first if you need to change your certificates.";"Bu sunucu adı için bir giriş zaten var, sertifikalarınızı değiştirmeniz gerekiyorsa önce onu kaldırın."
"An error occured";"Bir hata oluştu"
"An error occured while saving certificate to %s.";"Sertifika %s e kaydedilirken bir hata oluştu."
"An error occurred during the process. Please try again later.";"İşlem esnasında hata oluştu. Lütfen daha sonra tekrar deneyin."
"An unknown error occured while issueing your certificate.";"Sertifikanız verilirken bilinmeyen bir hata oluştu."
"Android SDK:";"Android SDK'sı:"
"App name";"Uygulama adı"
"Application settings";"Uygulama ayarlaro"
"Application successfully queued for generation.";"Uygulama, üretim için başarıyla sıraya alındı."
"Applications/Previewer manifest for automatic updates.";"Otomatik güncellemeler için Uygulamalar/Önizleyici göster"
"Are you sure ?";"Emin misiniz?"
"Auth type";"Yetkili türü"
"Authenticate";"Doğrula"
"Average build time in seconds:";"Saniye olarak ortalama yapım süresi:"
"Average sources/apk build time:";"Ortalama kaynaklar / apk yapım süresi:"
"Backoffice options";"Backoffice ayarları"
"Bearer Token Auth (API)";"Taşıyıcı Token Doğrulama (API)"
"Bearer Token Auth is valid.";"Token Taşıyıcı Doğrulama geçerli."
"Beta";"Beta"
"Build status";"Kurgu statüsü"
"Build time (in seconds)";"Zamanı ayarla (saniye cinsinde)"
"By clicking on link below, you will open your editor in tour editing mode. Please note that your user account must be created on editor side.";"Aşağıdaki linke tıklayarak editörünüzü tur düzenleme modunda açacaksınız. Lütfen kullanıcı hesabınızın editör tarafında oluşturulması gerektiğini unutmayın."
"CA";"CA"
"CA certificate";"CA sertifikası"
"CA path:";"CA path:"
"CRON Scheduler interval";"CRON Planlayıcı aralığı"
