"Booking details";"Rezervasyon detayları"
"Booking details:";"Rezervasyon detayları:"
"Booking location:";"Rezervasyon konumu:"
"Booking subject:";"Rezervasyon konusu:"
"Comment:";"Yorum:"
"Date and time";"Tarih ve zaman"
"Date and time:";"Tarih ve zaman:"
"Email address:";"Email adres:"
"Enter the location name and contact email:";"Konumu adını ve iletişim e-posta girin:"
"First name / Last name";"İsim / Soyisim"
"Here are his personal information:";"Kişisel bilgileri:"
"Information";"Bilgi"
"Location";"Konum"
"Name:";"İsim:"
"Nom du lieu :";"Yer Adı:"
"Number of people";"Kişi sayısı"
"People number:";"Kişi No:"
"Phone number:";"Tel No:"
"Please fill out the following fields:";"Lütfen aşağıdaki alanları doldurun:"
"Please fill out the following fields: ";"Aşağıdaki alanları eksiksiz doldurunuz:"
"Please fill out the following fields:<br />";"Aşağıdaki alanları eksiksiz doldurunuz:<br />"
"Please fill out the following fields:<br/>";"Lütfen aşağıdaki alanları doldurun: <br/>"
"Please, choose a store";"Lütfen bir mağza seçin"
"Thank you for your request. We'll answer you as soon as possible.";"İsteğiniz için teşekkür ederiz. En kısa sürede size cevap vereceğiz."
"The booking information";"Rezervasyon bilgisi"
"The booking informations";"Rezervasyon bilgileri"
"The date and time of the booking";"Rezervasyon tarih ve saati"
"The number of people";"Insan sayısı"
"You have received a message for the booking of";"Rezervasyon için bir mesaj aldınız"
"Your name";"Adınız"
"Your phone number or email address";"Telefon numarası veya e-posta adresi"
