"%s - All";"%s – Tümü"
"Add a category";"Bir kategori ekle"
"Add a format";"Bir format ekle"
"Add a new product";"Yeni ürün ekle"
"All";"Tümü"
"An error occurred while loading your product.";"Ürün yüklenirken bir hata oluştu."
"An error occurred while saving the category. Please try again later.";"Kategori yüklenirken bir hata oluştu tekrar deneyin."
"An error occurred while saving the product. Please try again later.";"Ürün kaydedilirken bir hata oluştu yeniden deneyin."
"An error occurred while saving the set meal. Please try again later.";"Yemek kaydedilirken bir hata oluştu yeniden deneyin."
"An error occurred while saving. One of your categories could not be identified.";"Kaydedilirken bir hata oluştu. Kategorilerden biri tespit edilememiştir."
"An error occurred while saving. One of your products could not be identified.";"Kaydedilirken bir hata oluştu. Ürünlerinizin biri tespit edilememiştir."
"Are you sure you want to delete this category and all its subcategories?";"Bu kategoriyi ve tüm alt kategorilerini silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this category?";"Bu kategoriyi silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this product?";"Bu ürünü silmek istediğinize eminmisiniz?"
"Categories & Products";"Kategoriler ve ürünler"
"Category";"Kategori"
"Choose a category";"Bir kategori seçin"
"Choose a subcategory";"Bir alt kategori seçin"
"Click on a category to display sub-categories";"Alt kategorileri görüntülemek için bir kategoriye tıklayın"
"Create a new product";"Yeni bir ürün oluşturun"
"Does this product have many formats?";"Bu ürünün diğer formatları var mı?"
"Edit the";"Düzenle"
"Edit the product";"Ürünü düzenle"
"Enable product formats?";"Ürün formatları etkinleştirilsin mi?"
"Format";"Format"
"Manage Catalog & Products";"Katalogları ve ürünleri yönet"
"New category";"Yeni kategori"
"New product";"Yeni ürün"
"Picture";"Resim"
"Price";"Fiyat"
"Prices";"Fiyatlar"
"Product";"Ürün"
"Product formats";"Ürün formatları"
"Product name";"Ürün ismi"
"Rules";"Kurallar"
"Set meal successfully deleted.";"Set yemek başarıyla silindi"
"Set meal successfully saved.";"Set yemek basarıyla kaydedildi"
"Sub-category";"Alt -Kategori"
"st";"st"
"sub-category";"Alt-kategori"
"hi";"Selam"
