".mp4 or .3gp format";".mp4 or .3gp format"
"Add ";"Ekle"
"Add attachement";"Ekle"
"Add cover";"Kapak ekle"
"Add sections:";"Bölümler ekleyin:"
"Add to address book";"Adres defterine ekle"
"Address:";"Adres:"
"Alignment:";"Hizalama:"
"An error occured.";"Hata oluştu."
"An error occurred while saving your page.";"Sayfanız kaydedilirken bir hata oluştu."
"Are you sure you want to delete this page?";"Bu sayfayı silmek istediğinizden eminmisiniz?"
"At least one section is required to save.";"En az bir alan doldurulmalıdır."
"Attachement";"Ek:"
"Attachment:";"Ek"
"Custom icon";"Özel ikon"
"Custom page";"Özel sayfa"
"Description";"Tanım"
"Display address";"Adresi göster"
"Display image in page";"Sayfada görseli göster"
"Display location button";"Lokasyon gösterme düğmesi"
"Display title and subtitle in page";"Sayfada başlık ve altbaşlığı göster."
"Email:";"e-posta"
"Hide navbar";"Navigasyon çubuğunu kaldır"
"Label";"Etiket"
"Label:";"Etiket:"
"Large";"Geniş"
"Latitude:";"Enlem"
"Link:";"Bağlantı:"
"Loading picture:";"Resim yükle:"
"Longitude:";"Boylam"
"Make a search or enter the Youtube Url:";"Youtube Url girin:"
"Medium";"Orta"
"My Youtube video:";"Youtube videolarım:"
"My video";"Videom"
"No videos matching your selection";"Seçiminizi eşleşen video yok"
"Page successfully deleted";"Sayfa başarıyla silindi"
"Page successfully saved";"Sayfa başarıyla kaydedildi"
"Phone:";"Telefon"
"Podcast URL:";"Podcast URL:"
"Select a button type:";"Bir puton türü seçin:"
"Select a video type:";"Bir video çeşidi seçin:"
"Size";"Boyut"
"Slider";"Kayan Yazı"
"Small";"Küçük"
"Text";"Metin"
"The block N°%s, %s was not saved, the block was either empty or invalid.";"Blok % N°%s, % s kaydedilmedi, boş ya da geçersizdi."
"Use external app";"Harici uygulamayı kullan"
"Video URL:";"Video URL:"
"Your Podcast:";"Podcast ınız:"
