"%s / Month";"%s / Month"
"%s / Year";"%s / Yıl"
"%s An unknown error occurred, please try again later.";"%s Bilinmeyen bir hata oluştu, lütfen daha sonra tekrar deneyin."
"%s Image";"%s görseli"
"%s Images";"%s görselleri"
"%s ago";"%s önce"
"%s, No params sent.";"%s, parametre gönderilmedi."
"(DEMO)";"(DEMO)"
"10 seconds";"10 saniye"
"15 seconds";"15 saniye"
"20 seconds";"20 saniye"
"2Checkout";"2Checkout"
"30 seconds";"30 saniye"
"404, page not found";"404, sayfa bulunamadı"
"A step requires at least a title and a text.";"Bir adım en az bir başlık ve bir metin gerektirir."
"API";"API"
"APIs";"API ler"
"APK Generator Service";"Kuru temizleme Jeneratör Servisi"
"APK Generator advanced settings";"Kuru temizleme Jeneratör gelişmiş ayarlar"
"APK Generator for builds from the Editor (Local or Service)";"İçin Kuru Temizleme Jeneratör (Yerel veya Hizmet)Editör oluşturur "
"Access Management";"Erişim yönetimi"
"Account";"Hesap"
"Accounts";"Hesaplar"
"Acl";"Acl"
"Actions";"Eylemler"
"Activate";"Aktive et"
"Activity";"Etkinliği"
"AdMob Banner ID";"Almasıyla Banner KİMLİĞİ"
"AdMob Interstitial ID";"Almasıyla İnterstisyel KİMLİĞİ"
"Add";"Ekle"
"Add Image";"Görsel ekle"
"Add a";"Ekle"
"Add a page";"Sayfa ekle"
"Add a picture";"Resim ekle"
"Add content";"İçerik ekle"
"Add extension";"Uzantı Ekle "
"Add feature";"Özellik ekle"
"Add image";"Resim ekle"
"Add new upload extensions.";"Yeni upload uzantıları ekleyin."
"Address";"Adres"
"Address (more)";"Adres (daha fazla)"
"Addresses";"Adresleri"
"Admin";"Admin"
"Admin panel type";"Admin panel türü"
"Admob Banner ID";"Admob Banner Kimliği"
"Admob Interstitial ID";"Admob Interstitial Kimliği"
"Advanced options";"Gelişmiş ayarlar"
"After validating, you will be redirected to the 2Checkout checkout page.";"Doğrulama işleminden sonra 2Checkout ödeme sayfasına yönlendirilirsiniz."
"After validating, you will be redirected to the PayPal checkout page.";"Doğrulama işleminden sonra PayPal ödeme sayfasına yönlendirileceksiniz."
"Alert: The SSL Certificate %s automatic renewal failed.";"Uyarı: SSL Sertifika %s otomatik yenileme başarısız oldu."
"Alignment";"Hizalama"
"All data";"Tüm veri"
"All items";"Tüm ögeler"
"All user list";"Tüm kullanıcı listesi"
"Allow users to export features";"Kullanıcı özellikleri vermek için izin ver "
"Allow users to import features";"Kullanıcı özellikleri almak için izin verir "
"Allowed upload extensions.";"İzin yükle uzantıları."
