"2checkout";"2checkout"
"2checkout Account Number (SID)";"2checkout Hesap Numarası (SID)"
"2checkout Client ID";"2chekout Müşteri Kimliği"
"2checkout Secret";"2checkout Gizli"
"Address Mail";"Adres Posta"
"Amount";"Miktar"
"Amount of the donation";"Bağış tutarı"
"An error occurred during process. Please try again later.";"İşlem sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"An error occurred during process. Please try again later. (missing POST param)";"İşlem sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyiniz. (POST param eksik)"
"App Name";"Uygulama adı"
"CVC number :";"CVC numarası:"
"Card Number :";"Kart numarası :"
"Conditions";"Koşullar"
"Congratulation message";"Tebrik mesajı"
"Date of donation";"Bağış tarihi"
"Donate";"Bağışla"
"Enable user to left a message when donating ?";"Bağış yaparken kullanıcının mesaj bıraksın mı?"
"Expiration Date :";"Son kullanma tarihi:"
"Free amount ?";"Serbest miktar*"
"General";"Genel"
"Greetings message";"Selam mesajı"
"Incomplete form or incorrect data entered. Please check your correctly type each field required";"Tamamlanmamış form veya yanlış veri girildi. Lütfen her alanın doğru bir şekilde yazıldığını kontrol edin"
"Incomplete form or incorrect data. Please check you correctly typed each field required.";"Tamamlanmamış form veya yanlış veriler. Lütfen gerekli her alanı doğru yazarak kontrol edin."
"Interval between two amount :";"İki tutar arasındaki aralık:"
"Lastname Firstname";"Soyad ad"
"Mail address to send notification :";"Bildirim göndermek için posta adresi:"
"Make a donation";"Bağış yap"
"Message";"Mesaj"
"Message from donator:";"Bağışçıdan mesaj:"
"Minimum amount required ?";"Minimum miktar gerekli mi?"
"Minimum donation amount :";"Minimum bağış miktarı:"
"New donation received from %s";"Yeni bağış %s’ten alındı"
"No";"Hayır"
"Payment Gateway :";"Ödeme geçidi:"
"Paypal adress mail";"Paypal adres postası"
"Please wait application is loading...";"Lütfen uygulamanın yüklenmesini bekleyin ..."
"Received Donations";"Alınan Bağışlar"
"Save";"Kaydet"
"Send an email notification when receiving a new donation ?";"Yeni bir bağış alırken e-posta bildirimi gönderilsin mi?"
"Stripe";"Şerit"
"Stripe Private Key";"Stripe özel anahtarı"
"Stripe Publishable Key";"Stripe yayınlanabilir anahtarı"
"Tracking of received donations is not available with Paypal as payment gateway";"Alınan bağışların takibi Paypal ile mümkün değil."
"Unknown";"Bilinmiyor"
"User Email";"Kullanıcı e-postası"
"Yes";"Evet"
"You haven't received any donations yet";"Henüz hiç bağış almadınız."
"You received a new donation";"Yeni bağış aldınız"
"You've donated :";"Bağış yaptınız"
"Your message";"Mesajınız"
"Your name :";"Adınız:"
"iOS: donation in browser (safari) ?";"iOS: tarayıcıda bağış (safari)?"
