"Add a Website";"Web sitesi ekle"
"Address:";"Adres:"
"An error occurred while deleting the event";"Etkinlik silinirken bir hata oluştu"
"An error occurred while loading this event";"Etkinlik yüklenirken bir hata oluştu"
"Beginning date:";"Başlangıç tarihi:"
"Beginning time:";"Başlangıç zamanı:"
"Buy Tickets";"Bilet al:"
"Buy tickets";"Bilet al"
"Calendar successfully deleted";"Takvim başarıyla silindi"
"Calendar's URL";"Takvim URL"
"Calendar's title";"Takvim başlığı"
"Change picture";"Resmi değiştir"
"Create a new event";"Yeni bir etkinlik oluştur"
"Custom Calendar";"Özel takvim"
"Custom Page";"Müşteri Sayfası"
"Delete this calendar?";"Takvim silinsin mi?"
"Delete this event?";"Etkinlik silinsin mi?"
"Ending date:";"Bitiş tarihi:"
"Enter your calendar's title";"Takviminizin başlığını girin"
"Entrance:";"Giriş:"
"Entrance: %s";"Giriş: %s"
"Event";"Etkinlik"
"Event successfully deleted";"Etkinlik başarıyla silindi"
"Event successfully saved";"Etkinlik başarıyla kaydedildi"
"Event title:";"Etkinlik başlığı:"
"Illustration";"Örnekleme"
"Illustration:";"İllüstrasyon"
"Location:";"Yer:"
"Max size: 2000x2000px - allowed formats: jpg & png";"Max boyut: 2000x2000px – izin verilen formatlar: jpg & png"
"Modify the event";"Etkinliği düzenleyin"
"RSVP";"RSVP"
"RSVP URL:";"RSVP URL:"
"Subtitle:";"Altbaşlık:"
"Ticket Shop URL:";"Bilet Dükkanı URL:"
"To:";"İçin:"
"Your Facebook page ID";"Facebook sayfa ID si"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"Facebook sayfa ID si <span class=""required-entry"">*</span> :"
"Your Facebook page ID <span class='' required-entry''>*</span> :";"Facebook sayfa ID'niz <span class='' gerekli-alan''>*</span> :"
"Your calendar is empty";"Takviminiz boş"
"iCal";"iCal"
"to";"için"
