"<strong>%s</strong> is not a numerical value<br />";"<strong>%s</strong> rakamsal veri değil<br />"
"<strong>%s</strong> is not valid email address<br />";"<strong>%s</strong> geçerli bir e-posta adresi değil<br />"
"<strong>%s</strong> is required<br />";"<strong>%s</strong> gerekli<br />"
"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</strong> rakamsal değer olmalı<br />"
"<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />";"<strong>%s</strong> Geçerli bir tarih olmalıdır (örk. gg/aa/yyyy)<br />"
"<strong>%s</strong> must be a valid date<br />";"<strong>%s</strong> geçerli bir tarih olmalı<br />"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</strong> geçerli e-posta olmalı<br />"
"<strong>%s</strong> must be filled<br />";"<strong>%s</strong> doldurulmalı<br />"
"Add a field";"Bir alan ekle"
"Add a section";"Bir bölüm ekle"
"Add an option";"Bir seçenek ekle"
"An error occurred while saving. A field can't be identified.";"Kaydedilirken bir hata oluştu. Bir alan tespit edilemedi."
"Are you sure you want to remove this field?";"Bu alanı kaldırmak istediğinizden eminmisiniz?"
"Are you sure you want to remove this section?";"Bu bölümü kaldırmak istediğinizden eminmisiniz?"
"Checkbox";"Onay kutusu"
"Choose a field type:";"Bir alan cinsi seçin:"
"Create a new field";"Yeni bir alan oluşturun"
"Date/Hour";"Tarih/Saat"
"Drop down";"Drop down"
"Edit field %s";"%s Alanını düzenle"
"Field name";"Alan adı"
"Field name:";"Alan adı:"
"Form data will be sent to this email. Until you fill out this field, your form won't be displayed on client side.";"Form verileri bu e-postaya gönderilecek. Bu alanı doldurana kadar, formunuz müşteri tarafında görüntülenmeyecek."
"Geolocation";"Coğrafi Konum"
"Hello,";"Merhaba,"
"Import a picture";"Fotoğraf içe aktar"
"Import from Library";"Kütüphaneden aktar"
"Manage fields";"Alanları yönet"
"Manage options:";"Seçenekleri yönet:"
"Multiline text";"Çok satırlı metin"
"Option";"Seçenek"
"Radio";"Radio"
"Recipient email";"Alıcının e-postası"
"Recipient email:";"Alıcı e-posta:"
"Take a picture";"Fotoğraf çek"
"The form has been sent successfully";"Form başarıyla gönderildi"
"You have to choose a field type.";"Bir alan türü seçmek zorundasınız."
"Your app's form";"Uygulamanızın formu"
"Your form has been filled out, here are the answers:";"Formunuz dolduruldu, cevaplar burda:"
