"Active Users";"Aktif Kullanıcı"
"App Traffic";"App Trafik"
"By sessions";"Oturumlar tarafından "
"By users";"Kullanıcılar tarafından "
"Feature Visits";"Özelliği Ziyaretleri"
"Last Month";"Geçen Ay"
"Last Week";"Geçen Hafta"
"Last Year";"Geçen Yıl"
"Save";"Kaydet"
"Setup Google Analytics Account";"Kur Google Analytics Hesabı"
"This Month";"Bu Ay"
"This Week";"Bu Hafta"
"This Week vs Last Week";"Bu Hafta, Geçen Hafta vs "
"This Year";"Bu Yıl"
"This Year vs Last Year";"Bu Yıl Geçen yıla vs "
"To create new account visit Google Analytics";"Yeni hesap ziyaret Google Analytics oluşturmak için "
"Top Countries";"Lider Ülkeler"
"User Locations";"Kullanım Yerleri"
"Visit Google Analytics";"Google Analytics Ziyaret "
