"%s Update";"%s Güncelleme"
"Action";"Aksiyon"
"Actions";"Eylemler"
"All of your modules are up to date";"Tüm modülleriniz güncel"
"An update is available. Click here to download it.";"Bir güncelleme mevcut. İndirmek için tıklayın."
"Check for updates";"Güncellemeleri kontrol et."
"Click here to see the release notes";"Sürüm notlarını görmek için tıklayın"
"Click here to send your module";"Burayı tıklayarak modülü gönderin"
"Details";"Detaylar"
"Drop your module here";"Modülünüzü buraya sürükleyin"
"Host";"Host"
"Install";"Yükle"
"Installing";"Yükleniyor"
"Installing module <em><span id=""label_module""></span></em>";"Yükleme modülü <em><span id=""label_module""></span></em>"
"Installing your module";"Modülünüz yükleniyor"
"Module successfully installed";"Modül başarıyla yüklendi"
"Module to upload";"Yüklenecek modül"
"Modules Installation";"Modüller yüklemesi"
"Modules successfully installed!";"Modüller başarıyla yüklendi"
"Name";"İsim"
"No directory provided";"Dizin sağlanmamış"
"No module to install";"Yüklemek için modül yok"
"No modules uploaded yet";"Henüz hiç bir modül yüklenmemiş "
"Or set the correct permissions to the following files and folders and try again:";"Ya da aşağıdaki dosyalar ve klasörler için doğru izinlerini ayarlayarak yeniden deneyin:"
"Package";"Paket"
"Package Details";"Paket detayları"
"Path to your system";"Sisteminizin yolu"
"Please update the module to the %s version before installing this update.";"Bu güncelleştirmeyi yüklemeden önce%s sürümüne modülü güncelleyin."
"Please update your system to the %s version before installing this update.";"Bu güncelleştirmeyi yüklemeden önce%s sürümüne sisteminizi güncelleyin."
"Please wait, we're installing your module";"Lütfen bekleyin, modülünüzü yüklüyoruz."
"Please, enter a name";"Lütfen bir isim girin"
"Please, fill out all fields";"Lütfen tüm alanları doldurunuz"
"Port";"Port"
"Processing the installation";"Kurulum işliyor"
"Progress";"İlerleme"
"Retry";"Yenileyin"
"Select a module to upload";"Yüklemek için bir modül seçin"
"Size";"Boyut"
"Some files and folder are not writable. You can either provide your FTP access to install this update:";"Bazı dosya ve klasör yazılabilir değil. Bu güncelleştirmeyi yüklemek için FTP erişimide sağlayabilirsiniz:"
"Some files don't have the right permissions and can't be updated";"Bazı dosyalar doğru izinlere sahip değil ve güncellenemedi"
"Status";"Durum"
"The database connection failed. Please, check the entered information.";"Veritabanı bağlantısı başarısız oldu.Girdiğiniz bilgileri kontrol edin."
"The entered password confirmation does not match the entered password.";"Şifreler eşleşmiyor."
"The file %s does not exist";"Alan %s mevcut değil"
"The file %s is not writable.";"%s dosyası yazılabilir değil."
"The folder %s is not writable. Please fix this issue and try again.";"Klasör%s yazılabilir değil. Bu sorunu giderin ve yeniden deneyin."
"The following files and folders are not writable:";"Aşağıdaki dosyalar ve klasörler yazılabilir değildir:"
"The following files and folders are not writable: <br /> - %s";"Aşağıdaki dosyalar yazılabilir değil: <br /> - %s"
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"Modül yükleme <span id=""installation_failed_module_name""></span> reddedildi: <span id=""installation_failed_because""></span>"
"The package you have uploaded is invalid.";"Yüklediğiniz paket geçersiz."
"There is no CMS license key set.";"CMS lisans anahtar seti yok."
"This process may take few minutes, please do not refresh the page";"Bu süreç birkaç dakika sürebilir bu süreçte sayfayı yenilemeyin."
"This update is designed for the %s, you can't install it in your %s.";"Bu güncelleme%s için tasarlanmış,%s nizin üstüne kuramazsınız."
"Unable to check for updates now. Please, try again later.";"Uygulamalar kontrol edilemedi. Lütfen daha sonra tekrar deneyin."
"Unable to connect to your FTP. Please check the connection information.";"FTP bağlantı kurulamıyor. Bağlantı bilgilerini kontrol edin."
"Unable to detect your site. Please make sure the entered path is correct.";"Sitenizi algılayamadı. Girilen yolun doğru olduğundan emin olun."
"Unable to extract the archive.";"Arşiv dişa aktarılamıyor."
"Unable to fetch the update. Please, try again later.";"Güncelleme getirilemedi. Lütfen daha sonra tekrar deneyin."
"Unable to open the archive.";"Arşiv açılamıyor."
"Unable to open the file. Please, make sure that you sent a valid archive.";"Dosya açılamıyor.Geçerli bir arşiv gönderildiğinden emin olun."
"Upload a module";"Bir modül yükleyin"
"Upload your modules";"Modüllerinizi yükleyin "
"Username";"Kullanıcı adı"
"Version";"Versiyon"
"We are checking for updates. Please, do not refresh the page.";"Güncellemeleri kontrol ediyoruz. Lütfen sayfayı yenilemeyin."
"You already have installed this template.";"Bu şablonu daha önce indirdiniz."
"You already have installed this update.";"Zaten bu güncelleştirmeyi yüklediniz. "
"You can either fix this issue by setting the correct permissions to them and try again or enter your FTP access below:";"Onlara doğru izinleri ayarlayarak bu sorunu giderebilirsiniz ve tekrar deneyin ya da FTP erişimini deneyiniz:"
"Your system is up to date.";"Sisteminiz güncel."
