"lb11_Change Password";"lb11_Parola değiştir"
"lb11_Connection";"lb11_Bağlantı"
"lb11_Create account";"lb11_Hesap oluştur"
"lb11_Display menu's images";"lb11_Display menü renkleri"
"lb11_Email";"lb11_E posta"
"lb11_Firstname";"lb11_İsim"
"lb11_Forgot your password?";"lb11_Parolanızı mı unuttunuz?"
"lb11_Forgot your password? Enter your email address, it will be emailed to you";"lb11_Parolanızı mı unuttunuz? E-posta adresinizi girin, e-postanıza gönderilir."
"lb11_I accept the privacy policy";"lb11_Gizlilik Politikası'nı kabul ediyorum."
"lb11_Lastname";"lb11_Soyisim"
"lb11_Login image color (Hexadecimal format)";"lb11_Login görüntü rengi (Onaltılı format)"
"lb11_Nickname";"lb11_Kullanıcı adı"
"lb11_Old Password";"lb11_Eski parola"
"lb11_Or sign in with Facebook";"lb11_Facebook ile giriş yap"
"lb11_Password";"lb11_Parola"
"lb11_Save";"lb11_Kaydet"
"lb11_Send me my password";"lb11_Parolamı gönder"
"lb11_Show me in ranking";"lb11_Beni sıralamada göster"
"lb11_Sign in";"lb11_Oturum aç"
"lb11_Sign up";"lb11_Kaydol"
"lb11_Welcome";"lb11_Hoş geldiniz"
"lb11_Your points";"lb11_Puanlarınız"
