"lb14_Add";"lb14_Add"
"lb14_Background color";"lb14_Background renk"
"lb14_Banner Header text";"lb14_Banner Başlık metni"
"lb14_Banner options";"lb14_Banner seçenekleri"
"lb14_Bottom";"lb14_Bottom"
"lb14_Center";"lb14_Center"
"lb14_Delete";"lb14_Delete"
"lb14_Display ads Banner ?";"lb14_Display reklam Banner ?"
"lb14_Display features icons ?";"lb14_Display özellikleri simgeler ?"
"lb14_Header text alignment";"lb14_Header metin hizalama"
"lb14_Header text color";"lb14_Header metin rengi"
"lb14_Import";"lb14_İmport"
"lb14_Label";"lb14_Label"
"lb14_Layout Text Direction";"lb14_Layout Metin Yönü"
"lb14_Left";"lb14_Left"
"lb14_Left to Right";"lb14_Left Doğru"
"lb14_Menu Header text";"lb14_Menu Başlık metni"
"lb14_Menu items alignment";"hizalama lb14_Menu öğeleri "
"lb14_Menu options";"lb14_Menu seçenekleri"
"lb14_Menu sections";"lb14_Menu bölümleri"
"lb14_Middle";"lb14_Middle"
"lb14_No";"lb14_No"
"lb14_Position";"lb14_Position"
"lb14_Re-open banner on users end ?";"son kullanıcılar üzerinde lb14_Re-açık banner ?"
"lb14_Right";"lb14_Right"
"lb14_Right to Left";"lb14_Right için Sol"
"lb14_Save";"lb14_Save"
"lb14_Sections alignment";"lb14_Sections hizalama"
"lb14_Sections background color";"lb14_Sections arka plan rengi"
"lb14_Sections style";"lb14_Sections tarzı"
"lb14_Sections text color";"lb14_Sections metin rengi"
"lb14_See more background";"lb14_See daha fazla arka plan"
"lb14_See more button text";"lb14_See daha fazla düğme metni"
"lb14_See more feature to open (index number in menu)";"menü açmak için lb14_See daha fazla özellik (dizin numarası)"
"lb14_See more text color";"lb14_See daha fazla metin rengi"
"lb14_Skip background";"lb14_Skip arka plan"
"lb14_Skip button text";"lb14_Skip düğme metni"
"lb14_Skip text color";"lb14_Skip metin rengi"
"lb14_Top";"lb14_Top"
"lb14_Yes";"lb14_Yes"
"lb14_background image";"lb14_background resim"
"lb14_dots";"lb14_dots"
"lb14_dots2";"lb14_dots2"
"lb14_halfcircle";"lb14_halfcircle"
"lb14_roundedcorners";"lb14_roundedcorners"
"lb14_roundedges";"lb14_roundedges"
"lb14_roundedsplit";"lb14_roundedsplit"
"lb14_roundedsplit2";"lb14_roundedsplit2"
"lb14_simple";"lb14_simple"
"lb14_slit";"lb14_slit"
"lb14_slit2";"lb14_slit2"
"lb14_transparent";"lb14_transparent"
"lb14_treelines";"lb14_treelines"
"lb14_triangles";"lb14_triangles"
