"%s - Customer Service";"%s – Müşteri hizmetleri"
"(filtered from _MAX_ total entries)";"(max_toplam_girdi den filtrelendi)"
"1 points =";"1 puan ="
"20.00%";"20.00%"
": activate to sort column ascending";":artan sütun sıralamak için etkinleştir"
": activate to sort column descending";": azalan sütunu sıralamak için etkinleştir"
"Add Discount";"İndirim ekle"
"Add a format";"Format ekle"
"Add a picture";"Bir resim ekleyin"
"Add card";"Kart ekle"
"Add gratuity (Optional)";"Hediye ekle (Opsiyonel)"
"Add options";"Seçenekleri ekleyin"
"Add pictures";"Resim ekle"
"Add to cart";"Sepete ekle"
"All fields with a * are required.";"* lı tüm alanlar zorunludur."
"Amount remaining:";"Kalan miktar"
"Amount you will pay";"Ödeyeceğiniz miktar"
"An error occurred during the payment process.";"Ödeme işlemi sırasında bir hata oluştu."
"An error occurred while cancelling. Please try again later.";"İptal edilirken bir hata oluştu. Lütfen tekrar deneyin."
"An error occurred while proceeding the payment. Please, try again later.";"Ödeme devam ederken bir hata oluştu. Daha sonra tekrar deneyin."
"An error occurred while proceeding your order. Please, check the following information:";"Siparişinizi devam ederken bir hata oluştu. Aşağıdaki bilgileri kontrol edin:"
"An error occurred while proceeding your order:";"Siparişiniz oluşturulurken bir hata meydana geldi."
"Are you sure you want to close without saving";"Kaydetmeden kapatmak istediğinizden emin misiniz?"
"Are you sure you want to delete this category and all its subcategories?";"Bu kategori ve tüm alt kategorilerini silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this store?";"Bu mağazayı silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this tax?";"Bu vergi silmek istediğinizden emin misiniz?"
"Are you sure you want to remove this product?";"Bu ürünü kaldırmak istediğinizden emin misiniz?"
"At least one option is required:";"En az bir seçenek gereklidir:"
"Birthday";"Doğum günü"
"CVC";"CVC"
"Calculate the change for the client";"Müşteri için değişikliği kaydet."
"Cancel order";"Siparişi iptal et"
"Cancelled";"İptal edildi"
"Card Number";"Kart numarası"
"Carry Out";"Uygula"
"Cart";"Sepet"
"Cash";"Nakit"
"Category";"Kategori"
"Category successfully saved.";"Kategori başarıyla kaydedildi."
"Check";"Kontrol"
"Choose a delivery method:";"Teslim şekli seçiniz:"
"Choose a payment method:";"Ödeme şekli seçiniz:"
"Choose a store";"Bir mağaza seç"
"Choose a store:";"Bir mağza seçiniz:"
"City";"Şehir"
"Client";"Müşteri"
"Client will pay";"Müşteri ödeyecek."
"Code";"Kod"
"Code used";"Kod kullanıldı."
"Completed";"Tamamlandı"
"Confirmation";"Onay"
"Connected Printers";"Bağlı yazıcılar"
"Continue shopping";"Alışverişe devam"
"Create a new choice list group";"Yeni bir seçim listesi grubu oluştur"
"Create a new discount";"Yeni bir indirim yarat"
"Create a new options group";"Yeni seçenekler grubu oluştur"
"Create a new product";"Yeni ürün oluştur"
"Create a new tax";"Yeni vergi oluştur"
"Create a store";"Mağza oluştur"
"Credit Card by phone";"Kredi kartı (Telefonda)"
"Credit card (online payment)";"Kredi kartı (online ödeme)"
"Credit card (pay upon pickup or delivery)";"Kredi kartı (Ürün tesliminde)"
"Credit card payment";"Kredi kartı ile ödeme"
"Customer";"Müşteri"
"Customer Service";"Müşteri servisi"
"Customer can add tip to a command?";"Müşteri bir komuta ipucu ekleyebilir mi?"
"Date of birth";"Doğum tarihi"
"Deductable";"Düşülebilir"
"Deduction";"Kesinti"
"Delete";"Sil"
"Delivery";"Teslim"
"Delivery Fees";"Nakliye ücreti"
"Delivery Method";"Teslim şekli"
"Delivery address";"Teslimat adresi"
"Delivery area";"Teslim bölgesi"
"Delivery fees";"Nakliye ücreti"
"Delivery fees:";"Nakliye Ücreti:"
"Delivery methods";"Teslim şekilleri"
"Delivery methods:";"Teslim şekilleri:"
"Delivery radius";"Teslim yarıçapı"
"Delivery radius:";"Teslim yarıçapı:"
"Delivery time";"Teslim saati"
"Delivery time:";"Teslim saati:"
"Details";"Detaylar"
"Discound code";"İndirim kodu"
"Discount";"İndirim"
"Discount Settings";"İndirim ayarları"
"Discount amount";"İndirim miktarı"
"Discount amount si very high";"İndirim miktarı çok yüksek"
"Discount code";"İndirim kodu"
"Discount code already exists";"İndirim kodu zaten mevcut"
"Discount code is missing";"İndirim kodu eksik"
"Discount label is missing";"İndirim etiketi eksik"
"Discount minimum amount is missing";"Minimum tutar indirimi eksik"
"Discount no longer available";"İndirim artık mevcut değil"
"Discount only for carts with total more than: ";"Sadece toplamı fazla olan sepetler için indirim:"
"Discount settings";"İndirim ayarları"
"Discount total";"İndirim toplamı"
"Discount type";"İndirim türü"
"Discount type is missing";"İndirim türü eksik"
"Discount used";"İndirim kullanıldı."
"Discount validation date";"İndirim geçerlilik süresi"
"Discounted amount is missing";"İndirimli tutar eksik"
"Discounted amount should be a positive number";"İndirimli tutar pozitif bir sayı olmalıdır"
"Do you confirm you want to remove your card?";"Kartınızı kaldırmak istediğinizi onaylıyor musunuz?"
"Done";"Tamamlandı"
"Duplicate this product";"Bu ürünü kopyala"
"Edit a store";"Bir mağza düzenle"
"Edit the choice list group";"Seçim listesi grubunu düzenle"
"Edit the discount %s";"%s indirimini düzenle"
"Edit the options group %s";"Seçenekler grubu düzenleyin %s"
"Edit the product %s";"Ürün düzenleyin %s"
"Edit the tax %s";"Vergi düzenleyin %s"
"Email";"E-posta"
"Enabled";"Devreye alındı"
"Error while using your points";"Puanlarınız kullanılırken bir hata oluştu."
"Estimated discount:";"Tahmini indirim:"
"First";"İlk"
"First Name";"İsim"
"Firstname";"İsim"
"Format:";"Format:"
"Free delivery starting from";"Başlayarak Ücretsiz teslimat"
"Free delivery starting from:";"Başlayarak Ücretsiz teslimat:"
"Free purchase";"Ücretsiz satın alma"
"From";"den"
"Gratuity";"Hediye"
"Guest Order";"Ziyaretçi siparişi"
"Here is the detail of the order";"Sipariş detayı"
"Here is the detail of your order";"Siparişlerinizin detayı"
"Hidden";"Gizli"
"Hours of operation";"Çalışma saatleri"
"Hours of operation:";"Çalışma saatleri:"
"I will pay";"Ödeyeceğim"
"In store";"Mağzada"
"Incl.";"Dahil"
"Invalid code";"Geçersiz kod"
"Invoicing address";"Fatura adresi"
"Keep card information";"Kart bilgisini kaydet"
"Label";"Etiket"
"Last";"Son"
"Last Name";"Soyisim"
"Lastname";"Soyisim"
"Loading...";"Yükleniyor..."
"Login";"Giriş yap"
"MM";"AA"
"Manage discounts";"İndirimleri yönet"
"Manage user fields";"Kullanıcı alanlarını yönet"
"Mandatory";"Zorunlu"
"Meal Voucher";"Yemek Çeki"
"Merchant ID:";"Satıcı ID'si"
"Minimum amount";"Minimum miktar"
"Minimum amount should be a positive number";"Minimum miktar pozitif bir sayı olmalı"
"Minimum order";"Minimum sipariş"
"Minimum order:";"Minimum sipariş:"
"My Cart";"Sepetim"
"My cart is empty";"Sepetim boş"
"My categories";"Kategorilerim"
"My information";"Bilgilerim"
"My orders";"Siparişlerim"
"My product's categories";"Ürünlerimin kategorileri"
"My product's list choice options";"Ürünlerim lsitesi seçim opsiyonları"
"My product's options";"Ürünlerimin seçenekleri"
"My products";"Ürünlerim"
"My stores";"Mağzalarım"
"My taxes";"Vergilerim"
"Name of the options group:";"Seçenekler grubunun Adı:"
"New order from the application";"Uygulamadan yeni sipariş"
"Next";"Sonraki"
"No data available in table";"Tabloda veri yok"
"No matching records found";"Hiçbir eşleşen kayıt bulunamadı"
"Notes";"Notlar"
"Number";"Sayı"
"Option $1 is required.";"Seçenek 1 $ gerekli."
"Option name";"Seçenek adı"
"Option name:";"Seçenek adı:"
"Optional";"Opsiyonel"
"Options";"Opsiyonlar"
"Options group successfully deleted";"Seçenekler grubu başarıyla silindi"
"Options group successfully saved";"Seçenekler grubu başarıyla kaydedildi"
"Order %s cancelled";"%s siparişi iptal edildi"
"Order Number";"Sipariş numarası"
"Order N°";"Sipariş N°"
"Order Total";"Sipariş toplamı"
"Order confirmation";"Sipariş doğrulaması"
"Order details";"Sipariş detayları"
"Order history";"Sipariş tarihi"
"Order successfully cancelled";"Sipariş başarıyla iptal edildi"
"Order successfully saved";"Sipariş başarıyla kaydedildi"
"Orders";"Siparişler"
"Paid";"Ödendi"
"Paid by the client:";"Müşteri tarafından ödendi:"
"Password";"Şifre"
"Password:";"Şifre:"
"Pay";"Öde"
"Payment";"Ödeme"
"Payment Method";"Ödeme Şekli"
"Payment methods:";"Ödeme şekilleri:"
"Paypal";"Paypal"
"Paypal settings";"Paypal ayarları"
"Pending payment";"Bekleyen ödemeler"
"Percentage is a least 1%, at max 99%";"Yüzde en az% 1, en fazla% 99"
"Percentage must be at least 1 percent, at most 99 percent";"Yüzde en az yüzde 1, en fazla yüzde 99 olmalı"
"Permit unregistered user to make order?";"Kayıtsız kullanıcı sipariş vermek için izin verilsin mi?"
"Phone";"Telefon"
"Phone number";"Telefon numarası"
"Picture";"Resim"
"Please choose a delivery method";"Bir teslim yöntemi seçiniz"
"Please choose a payment method";"Bir ödeme yöntemi seçiniz"
"Please fill in your card information to process Credit card payment:";"Kredi kartı ile ödeme yapmak için lütfen kart bilgilerinizi doldurun:"
"Please, enter an email address for the store %s";"Mağza için bir email adresi seçin %s"
"Points";"Puanlar"
"Points available:";"Mevcut noktalar:"
"Postcode";"Alan kodu"
"Previous";"Önceki"
"Price";"Fiyat"
"Price: %s";"Fiyat: %s"
"Prices";"Fiyatlar"
"Printer successfully saved";"Yazıcı başarıyla kaydedildi"
"Proceed";"Devamet"
"Processing...";"İşleniyor..."
"Product";"Ürün"
"Product formats";"Ürün formatları"
"Product name";"Ürün adı"
"Product name:";"Ürün adı:"
"Product successfully duplicated";"Ürünler başarıyla kopyalandı"
"Product successfully saved";"Ürün başarıyla kaydedildi"
"Publishable Key:";"Yayınlanabilir anahtar:"
"Qty";"Miktar"
"Qty: %s";"Miktar: %s"
"Radius in Km";"Km yarıcap"
"Remaining amount due";"Kalan tutar"
"Remaining due";"Kalan süre"
"Remove card";"Kartı kaldır"
"Return URL:";"Dönüş URL'i:"
"Review";"İncele"
"Search:";"Ara:"
"Secret Key";"Özel anahtar"
"Settings";"Ayarlar"
"Settings successfully saved";"Ayarlar başarıyla kaydedildi."
"Show _MENU_ entries";"Menü_girdilerini_göster"
"Show search fields on product list ?";"Ürün listelerinde arama alanları gösterilsin mi?"
"Showing 0 to 0 of 0 entries";"0 girdiden 0 ile 0 arasındakiler gösteriliyor"
"Showing _START_ to _END_ of _TOTAL_ entries";"girdiler_baştan_sona_gösteriliyor"
"Signature";"İmza"
"Signature:";"İmza:"
"Signup";"Kaydol"
"Some mandatory fields are empty.";"Zorunlu alanlardan bazıları boş."
"Sorry we can't proceed to deliver your order. It has been canceled.";"Üzgünüz, iptal edildiği için siparişinizi teslim edemiyoruz."
"Status";"Statü"
"Store choice";"Mağaza seçimi"
"Store information";"Mağza Bilgisi"
"Store name";"Mağza ismi"
"Store name:";"Mağza ismi:"
"Store successfully deleted";"Mağza başarıyla silindi"
"Store successfully saved";"Mağza başarıyla kaydedildi"
"Stored card information.";"Depolanmış kart bilgisi"
"Stores";"Mağzalar"
"Street";"Sokak"
"Stripe settings";"Stripe ayarları"
"Subtotal";"Alt toplam"
"Subtotal Excl. Tax";"Verginin alt toplamı"
"Subtotal before deduction";"Kesintiden önce alt toplam"
