"An error occurred during process. Please try again later.";"Bir hata işlemi sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"Custom icon";"Özel simge"
"Design";"Tasarım"
"Do you want the Qr/Ean Scanner?";"Qr/5 Tarayıcı ister misin?"
"Enter the Banner Text";"Başlık Metni girin "
"Enter the Iframe URL";"İframe URL girin "
"Enter the Query String";"Sorgu Dizesi girin "
"Loading Spinner Delay (seconds)";"(Saniye)yükleme Spinner Gecikme "
"Migaiframe";"Migaiframe"
"Save";"Kaydet"
"Set the Banner color";"Banner rengini ayarlayın "
"Set the Text color";"Metin rengini ayarlamak "
"Success.";"Başarı."
"The requested migaiframe doesnt exists.";"İstenen migaiframe bu pekte var."
