"Application Tags URL";"Uygulama Etiketleri URL"
"Application Tags URL Short";"Uygulama Etiketleri Kısa URL "
"Application URL";"Uygulama URL"
"Application URL Short";"Uygulama URL Kısa"
"Applications URLs";"Uygulamalar URLs"
"Check this page for robots.txt";"Robots.txt Bu sayfa Check "
"Copy";"Kopya"
"Custom icon";"Özel simge"
"Description";"Açıklama"
"Error shortening url.";"Url kısaltma hata."
"Extra";"Ekstra"
"Google API Key is required to shorten URLs.";"Google API Anahtarı URLs kısaltmak için gereklidir."
"Google URL Shortener API Key";"Google URL Törpüsü API Anahtarı"
"If you are using MigaStone beacons, you can manage them on the following URL.";"Eğer MigaStone işaretleri kullanıyorsanız, aşağıdaki URL yönetebilirsiniz."
"Keywords";"Anahtar kelimeler"
"Manage my Beacons";"İşaretleri benim yönetmek "
"Miga Tags";"Mıga Etiketler"
"MigaStone Beacons (optional)";"(İsteğe bağlı)MigaStone İşaretleri "
"No app.";"Hayır app."
"Only png images are allowed.";"Sadece png resimler izin verilir."
"PNG Only";"PNG Sadece"
"PS: Shortner is working only from nwicode version 4.13.14 or above.";"PS: Shortner sadece 4.13.14 veya yukarıdaki Sibirya sürümünden çalışıyor."
"Remember to change the \'robots.txt\' file in your nwicode root folder and \'allow\' the crawlers of google.";"Sibirya kök klasörünüzde \'robots.txt\' dosya değiştirmeyi unutmayın ve \'google\' tarayıcılarının izin verir."
"Success.";"Başarı."
"Tags Preview";"Etiketler Önizleme"
"Tags Settings";"Etiket Ayarları"
"Title";"Başlık"
"Validate URL";"Doğrulamak URL"
"Validate your Tags URL for physical web and beacons check your URL is ok.";"Fiziksel web ve işaretleri URL kontrol etmek için Etiketleri URL doğrulamak Tamam."
