"%s - Customer Service";"%s - Müşteri Hizmetleri"
"(filtered from _MAX_ total entries)";"(_MAX_ toplam girişleri, süzülmüş)"
"1 points =";"1 puan ="
"2 columns";"2 sütunlar"
"20.00%";"20.00%"
"24 open";"24 açık"
"3 columns";"3 sütun"
"4 columns";"4 sütun"
": activate to sort column ascending";": sıralama için etkinleştirmek sütun artan"
": activate to sort column descending";": etkinleştir sıralamak için sütun azalan"
"Add Discount";"İndirim Ekle "
"Add a format";"Bir biçim Ekle "
"Add card";"Kartı ekleyin "
"Add gratuity (Optional)";"(İsteğe bağlı)Ekle bahşiş "
"Add options";"Seçenekler ekleyin "
"Add order to cart again";"Sepete tekrar sipariş ekleyin "
"Add pictures";"Resim Ekle "
"Add to cart";"Sepete Ekle "
"All fields with a * are required.";"* Tüm alanlar gereklidir."
"Amount remaining:";"Kalan miktar:"
"Amount you will pay";"Ödeyeceğiniz miktar "
"An error occurred during the payment process.";"Ödeme işlemi sırasında bir hata oluştu."
"An error occurred while cancelling. Please try again later.";"İptal sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while proceeding the payment. Please, try again later.";"Ödeme devam ederken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while proceeding your order. Please, check the following information:";"Siparişinizi geçmeden sırasında bir hata oluştu. Lütfen aşağıdaki bilgilere bakın:"
"An error occurred while proceeding your order:";"Siparişinizi geçmeden sırasında bir hata oluştu:"
"Are you sure you want to close without saving";"Kaydetmeden kapatmak istediğinizden emin misiniz "
"Are you sure you want to delete this category and all its subcategories?";"Bu kategori ve alt kategorilerini silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this store?";"Bu mağaza silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this tax?";"Bu vergi silmek istediğinizden emin misiniz?"
"Are you sure you want to remove this product?";"Bu ürünü kaldırmak istediğinizden emin misiniz?"
"At least one option is required:";"En az bir seçenek gereklidir:"
"Auto stiker on products with special price";"Oto ürünleri çok özel fiyat ile stiker "
"Background color";"Arka plan rengi"
"Birthday";"Doğum günü"
"Border color";"Kenarlık rengi"
"CVC";"CVC"
"Calculate the change for the client";"İstemci için değişiklik hesaplamak "
"Can re-order";"Tekrar sipariş"
"Cancel order";"İptal sipariş"
"Cancelled";"İptal"
"Card Number";"Kart Numarası"
"Carry Out";"Yürütmek"
"Cart";"Arabası"
"Cash";"Nakit"
"Category";"Kategori"
"Category list type";"Kategori listesi türü"
"Category successfully saved.";"Kategori başarıyla kaydedildi."
"Check";"Kontrol"
"Choose a delivery method:";"Bir teslim yöntemi seçin:"
"Choose a payment method:";"Bir ödeme yöntemi seçin:"
"Choose a store";"Bir mağaza seçin "
"City";"Şehir"
"Client";"Müşteri"
"Client will pay";"Müşteri ödeyecek "
"Code";"Kod"
"Code used";"Kod kullanılır"
"Completed";"Tamamlandı"
"Confirm";"onaylamak "
"Confirmation";"Onay"
"Connected Printers";"Bağlı Yazıcılar"
"Continue shopping";"Devam alışveriş"
"Create a new choice list group";"Yeni seçim listesi bir grup oluşturun "
"Create a new discount";"Yeni bir indirim oluşturmak "
"Create a new options group";"Yeni seçenekler bir grup oluşturun "
"Create a new product";"Yeni bir ürün yaratmak "
"Create a new tax";"Yeni bir vergi oluşturmak "
"Create a store";"Bir mağaza oluşturun "
"Credit Card by phone";"Telefonla kredi Kartı "
"Credit card (online payment)";"(Online ödeme)kredi kartı "
"Credit card (pay upon pickup or delivery)";"(Pikap veya teslimat esnasında ödeme)kredi kartı "
"Credit card payment";"Kredi kartı ile ödeme"
"Custom stickers";"Özel çıkartmalar"
"Customer";"Müşteri"
"Customer Service";"Müşteri Hizmetleri"
"Customer can add tip to a command?";"Müşteri bir komut için ipucu ekleyebilirsiniz."
"Date of birth";"Doğum tarihi "
"Deductable";"İndirilebilir"
"Deduction";"Tümdengelim"
"Delete";"Sil"
"Delivery";"Teslimat"
"Delivery Fees";"Teslimat Ücretleri"
"Delivery Method";"Teslimat yöntemi"
"Delivery address";"Teslimat adresi"
"Delivery area";"Teslimat alanı"
"Delivery fees";"Teslimat Ücretleri"
"Delivery methods";"Teslimat yöntemleri"
"Delivery radius";"Teslimat yarıçapı"
"Delivery time";"Teslim süresi"
"Description:";"Açıklama:"
"Details";"Detaylar"
