"%s - Customer Service";"%s - Müşteri Hizmetleri"
"Add format
Add pictures";"Ekle biçim 
Resim Ekle "
"Add new choice";"Yeni seçim ekleyin "
"Add new option";"Yeni seçenek ekleyin "
"Add new product";"Yeni ürün eklemek "
"An error occurred during the process. Please try again later.";"Bir hata işlemi sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while saving. Please try again later.";"Kaydedilirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"Birthday";"Doğum günü"
"Categories";"Kategori"
"Choice";"Seçim"
"Choice
Orders\"";"Seçim 
Emir\""
"Customer";"Müşteri"
"Customers";"Müşteriler"
"Dashboard";"Pano"
"Data successfully saved";"Veri başarıyla kaydedildi"
"Date`";"Tarih`"
"Delete selected categories";"Sil seçili kategoriler"
"Delete selected products";"Sil seçili ürünleri"
"Delivery method";"Teslimat yöntemi"
"Description:";"Açıklama:"
"Done order";"Yapılan sipariş"
"Email";"E-posta"
"Exit to Editor";"Editöre çıkış "
"First";"İlk"
"Firstname";"Ad"
"Fixed price";"Sabit fiyat"
"Format";"Biçim"
"Formats";"Biçimleri"
"From module main settings
Price type:\"";"Modülü ana ayarları 
Fiyat tipi:\""
"Image";"Görüntü"
"Invert selection";"Seçimi tersine çevir"
"Is hidden";"Gizli"
"Last";"Son"
"Last 10 customers registered";"Son 10 müşteriler kayıtlı"
"Last 10 orders";"Son 10 emir"
"Lastname";"Soyadı"
"Missing categories.";"Eksik kategoriler."
"Mmobilcartadmin";"Mmobilcartadmin"
"More Info";"Daha Fazla Bilgi"
"Multiselect option
No";"Çoklu seçim seçeneği 
Hayır"
"Name";"Adı"
"Name is undefined
Product list\"";"Adı tanımlanmamış 
Ürün listesi\""
"New users today";"Yeni kullanıcılar bugün"
"Next";"Sonraki"
"No";"HAYIR"
"No data available in table";"Tabloda veri mevcut değil "
"No entries to show";"Hayır girdileri göstermek için "
"Number";"Numarası"
"Online";"çevrimiçi"
"Option";"Seçenek"
"Optional
Mandatory";"İsteğe bağlı 
Zorunlu"
"Order %s cancelled";"Sipariş %s iptal "
"Order date`";"Sipariş tarihi`"
"Order successfully saved";"Sipariş başarıyla kaydedildi"
"Out in stock";"Stok Out "
"Paid summ";"Para summ"
"Payment method";"Ödeme yöntemi"
"Payment orders";"Ödeme emirleri"
"Phone";"Telefon"
"Please fill in the following fields:";"Aşağıdaki alanları doldurun:"
"Previous";"Önceki"
"Price";"Fiyat"
"Product SKU";"Ürün STB"
"Product categories
Product stikers";"Ürün kategorileri 
Ürün stikers"
"Product choices";"Ürün seçenekleri"
"Product choices list";"Ürün seçenek listesi"
"Product formats";"Ürün biçimleri"
"Product item note field:
Hidden";"Ürün madde not alan: 
Gizli"
"Product model
Product SKU:\"";"Ürün modeli 
Ürün STB:\""
"Product name
Product model:\"";"Ürün Adı 
Ürün modeli:\""
"Product name:";"Ürün Adı:"
"Product options";"Ürün seçenekleri"
"Product options list";"Ürün seçenekleri listesi"
"Product with Special";"Özel ürün "
"Products";"Ürünleri"
"Qty";"Miktar"
"Quantity";"Miktar"
"Quantity:";"Miktar:"
"Required";"Gerekli"
"Search";"Arama"
"Select ALL";"TÜMÜNÜ seç"
"Show hidden options";"Gizli seçeneklerini göster "
"Showing page _PAGE_ of _PAGES_";"_PAGES_ gösteren sayfa _PAGE_ "
"Sort Order";"Sıralama düzeni"
"Sort order";"Sıralama düzeni"
"Sort order:";"Sıralama:"
"Special price";"Özel fiyat"
"Status";"Durumu"
"Stores";"Mağaza"
"Summ";"Summ"
"Tax:";"Vergi:"
"This is a deprecated mechanism. We recommend  use options with a multiselect type. Choices mechanism will soon be removed from MobilCart module.";"Bu artık bir mekanizmadır. Görünüyor bir tür ile kullanım seçenekleri öneririz. Seçimler mekanizma yakında MobilCart modülü kaldırılacaktır."
"Time`";"Zaman`"
"Today orders";"Bugün sipariş"
"Total Orders";"Toplam siparişler"
"Total Products";"Toplam Ürünleri"
"Total Users";"Toplam Kullanıcı"
"Total orders";"Toplam siparişler"
"Total summ";"Toplam summ"
"Type";"Yazın"
"Unselect ALL";"TÜM seçimi Kaldır"
"Use Drag&Drop for category movie.";"Sürükle&kategori film için Bırakın."
"with Price";"Fiyat "
"with Qty";"Miktar ile "
"without taxes";"vergiler olmadan "
"without taxes, use if greater than zero";"eğer sıfırdan büyük ise vergi olmadan kullanın "
