"Add new and update existing offers";"Teklifi yenile ya da yeni teklif oluştur."
"All offers";"Tüm teklifler"
"Be careful with this option! Read the manual for details.";"Bu seçeneği kullanırken dikkatli olun! Ayrıntılar için kılavuzu okuyun."
"Categories in file:";"Dosya kategori:"
"Choose location Yandex YML or CSV file";"Seçim yeri Yandex YML veya CSV dosyası"
"Created categories list:";"Oluşturulan kategoriler listesi:"
"Created categories:";"Oluşturulan kategoriler:"
"Created product";"Ürün oluşturuldu"
"Default quantity (if quantity not found in offer";"Varsayılan miktar (teklifte miktar bulunamadığında)"
"Default sort order (if sortorder not found in offer";"(Eğer sortorder varsayılan sıralama düzeni teklif bulunamadı "
"Edit offers:";"Edit sunar:"
"Import, Export and Update Products from remote or uploaded Yandex YML or CSV file.";"Uzak ya da yüklenen Üye YML veya CSV dosyasından içeri al - Dışarı ver  ve Güncelleme Ürünleri."
"Items per request (use 2 if image is uploading or updating)";"Eğer resim yükleme veya güncelleme varsa 2 istek başına öğeleri (kullanmak)"
"Match Fields";"Eşleşen alanlar"
"MmobilCart YML/XML/CSV Import and Export";"MmobilCart YML/XML/CSV İçeri Al - Dışarı Ver"
"MmobilCart field <-> YML File field";"MmobilCart alan <-> YML Dosya alanı"
"Mode";"Mod"
"Model";"Model"
"Name";"Adı"
"New offers:";"Yeni teklif:"
"Offer available";"Mevcut Teklif"
"Offers in file:";"Dosyasında sunar:"
"Offers with model fields:";"Model alanları sunar:"
"Only add new offers";"Sadece yeni teklif ekleyin"
"Only availables";"Sadece mevcut olanlar"
"Only update existing offers";"Sadece teklifte bulunanları güncelle"
"Processed";"İşlendi"
"Processing offers...";"Teklif İşlemde..."
"Remote CSV file";"Uzaktan CSV dosyası"
"Remote XML/YML file";"Uzak XML/YML dosyası"
"Remote Yandex YML file";"Uzaktan Yandex YML dosyası"
"Remote file or upload file";"Dosyaları yönet ya da dosya gönder"
"Results.";"Sonuçlar."
"SKU";"SKU"
"Select all";"TÜMÜNÜ seç"
"Selected categories:";"Seçilen kategori:"
"Selected offers:";"Seçili sunar:"
"Settings.";"Ayarlar."
"Start";"Başlat"
"Step1";"1. Adım"
"Step2";"Adım 2"
"Step3";"3. adım"
"Tax:";"Vergi:"
"Unselect all";"TÜM seçimi Kaldır"
"Update SKU?";"Güncellemesi SKU?"
"Update description?";"Açıklama güncelleme mi?"
"Update format?";"Biçim güncelleniyor?"
"Update images?";"Resimleri güncelleme?"
"Update model?";"Model güncellenecek?"
"Update name?";"Adı güncelleme mi?"
"Update options:";"Güncelleştirme seçenekleri:"
"Update options?";"Güncelleme seçenekleri?"
"Update price?";"Fiyat güncelleniyor?"
"Update quantity?";"Miktar güncellenecek?"
"Update sort order?";"Sıralama güncellensin mi?"
"Update special price?";"Özel fiyat güncellenecek mi?"
"Updated product";"Ürün Güncellendi"
"Upload CSV file";"Upload CSV dosyası"
"Upload XML/YML file";"Upload XML/YML dosyası"
"Upload Yandex YML file";"Upload Üye YML dosyası"
"Use offres from this categories:";"Bu kategoride kullanılacak teklifler;"
