"Access restricted to authorized members only";"Erişim yetkili üyelere sınırlı"
"Allow all the users by default:";"Varsayılan olarak tüm kullanıcılara izin ver:"
"Choose the features to lock:";"Kilitlemek için özellikleri seçin:"
"Lock the entire application?";"Tüm uygulamayı kilitleyin?"
"Restrict Access";"Erişim sınırla"
"Scan now to unlock";"Kilidi açmak için tara."
"Unlock by:";"tarafından kilitlendi."
"We are sorry but your account does not have enough permissions to access this page";"Üzgünüz ama hesabınız bu sayfaya erişmek için yeterli izinlere sahip değil"
"the email address";"e-posta"
"the first name";"ad"
"the gender";"cinsiyet"
"the last name";"soyad"
"the password";"şifre"
