"'Or go to your store<br />and look for \"Apps Company Previewer\"'";"'Ya da mağaza<br />git ve Uygulamalar Şirket için Save As \"bak\"'"
"A 1024x1024px max icon which will be the icon of your app on the user device after installation.";"Yükleme işleminden sonra kullanıcı cihazında uygulamanızın simgesi olacak olan 1024x1024 piksel büyüklüğünde bir simge."
"Action";"Eylem"
"All fields are mandatory.";"Tüm alanlar zorunludur."
"An error occurred during the process. Please try again later.";"İşlem sırasında hata oluştu. Lütfen daha sonra tekrar deneyin."
"Android Version";"Android Versiyon"
"Android version:";"Android sürümü:"
"Apple Store URL:";"Apple Store URL'i"
"Application";"Uygulama"
"Application Icon Settings";"Uygulama İkon Ayarları"
"Application Name:";"Uygulama adı:"
"Background color:";"Arka plan rengi:"
"Bundle ID:";"Bundle kimliği"
"Bundle Id:";"Paket Kimliği:"
"Click here to send your image";"Görselinizi göndermek için buraya tıklayın"
"Configuration Settings";"Yapılandırma Ayarları"
"Connect me!";"Bana Bağlan!"
"Current image:";"Mevcut görsel:"
"Download";"İndir"
"Download our app previewer";"Uygulama ön izleyicimizi indirin"
"Drop your image here";"Görselinizi buraya bırakın"
"Enable modal button in editor";"Düzenleyicide kalıcı düğmeyi etkinleştir"
"File types:";"Dosya tipi:"
"First paragraph:";"İlk paragraf:"
"Font color:";"Yazı tipi rengi:"
"In order to display a QRCode linking to your previewer, please fill in stores URL.";"Ön izleyicinize bağlantı veren bir QR Kodu görüntülemek için lütfen mağaza URL'ini doldurun."
"In order to download your previewer, please fill in all information and images.";"Ön izleyicinizi indirmek için lütfen aşağıdaki tüm bilgi ve görselleri doldurun."
"Information Text, first paragraph:";"Bilgi metni, ilk paragraf:"
"Information Text, second paragraph:";"Bilgi metni, ikinci paragraf:"
"Logo image Settings";"Logo görsel ayarları"
"Missing value_id!";"Eksik value_id!"
"Mobile Source Codes";"Mobil kaynak kodları"
"Modal";"Modal"
"Modal image:";"Modal görseli"
"Name";"İsim"
"No Store text:";"Mağaza yok metni:"
"No application found";"Hiçbir uygulama bulunamadı"
"No previewer found for your device";"Cihazınızda ön izleyici bulunamadı."
"No store Settings";"Mağaza ayarı yok."
"OR";"YA DA"
"Package Name:";"Paket Adı:"
"Play Store URL:";"Play Store URL'i"
"Previewer Modal";"Ön izleyici modal'ı"
"Progress";"İlerleme"
"QRCode Settings";"QR Kod Ayarları"
"Save";"Kaydet"
"Scan this QR Code";"QR Kodu tara"
"Second paragraph:";"İkinci paragraf:"
"Send";"Gönder"
"Size";"Boyut"
"Source files not found.";"Kaynak dosyalar bulunamadı."
"Start-up image 1242x2208:";"Başlangıç görseli 1242x2208:"
"Start-up image 320x480:";"Başlangıç görseli 320x480:"
"Start-up image 640x1136:";"Başlangıç görseli 640x1136:"
"Start-up image 640x960:";"Başlangıç görseli 640x960:"
"Start-up image 750x1334:";"Başlangıç görseli 750x1334:"
"Start-up images Settings";"Başlangıç görseli ayarları"
"Status";"Durum"
"Sync files";"Sync dosyaları"
"The QR Code is not available at this moment";"Şu anda uygun QR kodu yok."
"The entered bundle id is incorrect, it should be like: com.mycompany.previewer";"Girilen bundle kimliği yanlış, şöyle olmalıdır: com.sirketim.onizleyici"
"Triple tap to close the preview";"Üçlü önizlemeyi kapatmak için dokunun "
"When QRCode can't redirect your users (when there are no stores for the user's device, for example), the following text will be displayed on an error page:";"QRCode kullanıcılarınızı yönlendiremiyorsa (örneğin, kullanıcının cihazı için bir mağaza bulunmadığında), hata sayfasında aşağıdaki metin görüntülenir:"
"You can also add an image which will be displayed above the previous text:";"Önceki metnin üzerinde görüntülenecek bir görüntü de ekleyebilirsiniz:"
"You must be connected to use the Application Previewer. Please connect to your account by clicking on the button below.";"Uygulama Önizleme kullanmak için bağlı olmanız gerekir. Hesabınıza aşağıdaki butona tıklayarak bağlayın lütfen."
"You must be logged in to request the list of your applications!";"Uygulamalar listesini istemek için üye olmanız gerekiyor."
"Your %s image has been successfully saved.";"%s görseliniz başarıyla kaydedildi."
"Your account is not associated with an application!";"Hesabınıza bir uygulama ile ilişkili değildir."
"Your image has been successfully saved.";"Görseliniz başarıyla kaydedildi."
"iOS version:";"iOS sürümü:"
"iPhone Version";"iPhone Versiyonu"
