"%s Subscription for %s";"%s için üyelik %s"
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s"">Aplikasyonlar listenize dönmek için</a> tıklayınız"
"Active";"Aktif"
"Address 1";"Adres 1"
"Address 2";"Adres 2"
"An error occurred while processing the payment. For more information, please feel free to contact us.";"Ödeme işlenirken bir hata oluştu. Daha fazla bilgi için, bizimle temas kurmaktan çekinmeyin."
"An error occurred while processing your order. Please, check your 2Checkout credentials or try again later.";"Siparişiniz işlenirken bir hata oluştu. Lütfen 2Checkout bilgilerinizi kontrol edin veya daha sonra tekrar deneyin."
"An error occurred while processing your order. Please, try again later.";"Sipariş işlenirken bir hata oluştu. Daha sonra tekrar deneyin."
"An error occurred while saving. Please try again later";"Kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz"
"An error occurred while saving. The selected subscription is not valid.";"Kaydedilirken bir hata oluştu. Seçilen abonelik geçerli değil."
"An offline payment method will <strong>not</strong> be associated with any online payment method. Users will have to pay you by checks, bank transfer...You'll have to edit your invoices manually.";"Çevrimdışı ödeme yöntemi, herhangi bir çevrimiçi ödeme yöntemiyle <strong>ilişkilendirilemez</strong>. Kullanıcılar çek, banka havalesi ile size ödeme yapmak zorunda kalacaklar ve faturalarınızı manuel düzenlemek zorunda kalacaksınız."
"Are you sure you want to delete this plan?";"Bu planı silmek istediğinizden emin misiniz?"
"Be careful: a 2Checkout stopped recurrence can only be reactivated by a 2Checkout representative.";"Dikkatli olun: 2Checkout durdu. Yineleme sadece 2Checkout temsilcisi tarafından yeniden etkinleştirilebilir."
"Be careful: a Stripe stopped recurrence can only be reactivated manually in your Stripe Admin panel.";"Dikkatli olun: Stripe durdu. Yineleme sadece Stripe Admin panelinizde manuel olarak yeniden etkinleştirilebilir."
"Be sure to fill in Admob settings in Settings > General section of your back office.";"AdMob ayarlarını arka ofisinizin Ayarlar> Genel bölümünde doldurduğunuzdan emin olun."
"Billing Address";"Fatura adresi"
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Kutuyu işaretleyerek <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">koşul ve kurallarımızı kabul etmiş olursunuz</a>"
"CVC";"CVC"
"Card number";"Kart numarası"
"Charged to your client every month";"Aylık ücretlendirin"
"Charged to your client every year";"Yıllık ücretlendirin"
"Charged to your client when placing the order";"Sipariş verildiğinde ücretlendir."
"Choose features";"Özellikleri seç"
"Choose the subscription that suits you best:";"Size en uygun aboneliği seçin:"
"Choose your Payment method";"Ödeme yönteminizi seçin"
"City";"Şehir"
"Click here";"Buraya tıklayın"
"Confirmation";"Onaylama"
"Create a new subscription";"Yeni bir abonelik oluştur"
"Creation";"Oluşturuluş"
"Describe here this plan. Will be displayed on the front end";"Burada bu planı açıklayın. Ön uçta görüntülenir"
"Don't forget to configure your message for offline plans in Settings > Sales > Configuration";"Mesajınızı Ayarlar> Satış> Yapılandırma'da çevrimdışı planlar için yapılandırmayı unutmayın."
"Each price must be entered excluding tax";"Her fiyat vergisi hariç girilmelidir"
"Edit the subscription %s";"Aboneliği düzenleyin %s"
"Expiration";"Bitiş"
"Expiration date";"Bitiş tarihi"
"Give a name to this plan. Will be displayed on the front end";"Bu plana bir isim verin. Ön uçta görüntülenir"
"I'll pay with an offline payment mode";"Çevrimdışı ödeme moduyla ödeme yapacağım"
"If you chose an offline payment, your subscription will be activated by an admin when your payment is received.";"Bir çevrimdışı ödeme seçtiyseniz, ödemeniz alındığında aboneliğiniz bir yönetici tarafından etkinleştirilecektir."
"List of your plans";"Planlarınızın listesi"
"List of your subscriptions";"Aboneleriinizin listesi"
"MM";"AA"
"Monthly";"Aylık"
"New sale on your platform";"Platformunuzda yeni satış"
"No recurring line items to stop.";"Durdurulacak tekrarlanan satır öğesi yok."
"None";"Hiçbiri"
"One-off";"Kapalı"
"Order's details";"Sipariş detayları"
"Payment";"Ödeme"
"Payment Method:";"Ödeme yöntemi"
"Payment Option";"Ödeme seçenekleri"
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Güvenli ödeme <img src=""%s"" width=""100"" title=""Paypal"" />"
"Please choose a payment method for this plan.";"Lütfen bu plan için bir ödeme yöntemi seçin."
"Please fill in your card information in order to pay with Stripe:";"Stripe ile ödeme yapmak için lütfen kart bilgilerinizi doldurun:"
"Please, enter a company";"Bir şirket girin"
"Please, enter a country";"Bir ülke girin"
"Please, enter a description.";"Bir açıklama girin."
"Please, enter a name.";"İsim girin"
"Please, enter an address";"Adres girin"
"Pricing";"Ücretlendirme"
"Proceed to payment?";"Ödeme yapılsın mı?"
"Recurring";"Yenileme"
"Setup Fee";"Kurulum Ücreti"
"Setup fee";"Kurulum Ücreti"
"Sorry, but no payment method was found.";"Üzgünüz, ancak ödeme yöntemi bulunamadı."
"State/Province";"İl"
"Subscription";"Abonelik"
"Subscription for";"için abonelik"
"Subscription successfully saved";"Abonelik başarıyla kaydedildi"
"Subtotal";"Alt toplam"
"Thanks!";"Teşekkürler!"
"The monthly price is not a valid price (e.g. 12.34)";"Aylık fiyat geçerli bir fiyat değil (örneğin 12,34)"
"The setup fee is not a valid price (e.g. 12.34)";"Kurulum ücreti geçerli bir fiyat değil (örneğin 12,34)"
"The user %s requests you to publish the app %s.";"%S kullanıcısı, %s uygulamayı yayınlamanızı istiyor."
"The yearly price is not a valid price (e.g. 12.34)";"Yıllık fiyat geçerli bir fiyat değil (örneğin 12,34)"
"This plan allows offline payments method (manual management)";"Bu plan çevrimdışı ödeme yöntemine izin verir (manuel yönetim)"
"This subscription is active";"Bu abonelik aktif"
"Use Owner AdMob";"Owner Admobkullan"
"VAT Number";"KDV Numarası"
"Verification number:";"Doğrulama numarası"
"We were unable to deactivate their subscription on %s. Please, do it manually.";"Aboneliğini% s üzerinden devre dışı bırakamadık. Lütfen manuel yapın."
"YYYY";"YYY"
"Yearly";"Yıllık"
"You already have a subscription for this application";"Zaten bu uygulama için bir aboneliğiniz var"
"You are almost done! After subscribing, your app can be published on both the AppStore and the Google Play.";"Neredeyse tamam! Abone olduktan sonra uygulamanız hem AppStore hem de Google Play'de yayınlanabilir."
"You can choose which feature will be accessible with your plan. By default, all features are allowed.";"Planınıza hangi özelliklerin erişebileceğini seçebilirsiniz. Varsayılan olarak, tüm özelliklere izin verilir."
"You don't have any subscriptions yet";"Henüz hiç abonelikleri yok"
