"%s must be a numerical value";"%s sayısal bir değer olmalı"
"%s must be a valid date (e.g. dd/mm/yyyy)";"%s geçerli bir tarih olmalıdır (ör. gg / aa / yyyy)"
"%s must be a valid email address";"%s geçerli bir e-posta adresi olmalı"
"%s must be filled";"%s dolu olmalı"
"(This survey can be answered multiple times)";"Bu anket birden çok kez yanıtlanabilir"
"Add Image";"Görsel ekle"
"Add a logic trigger";"Bir mantık tetikleyicisi ekle"
"Add a question";"Bir soru ekle"
"Add a section";"Bölüm ekle"
"Add an option";"Bir seçenek ekle"
"Allow retake";"Tekrar almaya izin ver"
"Always";"Her zaman"
"An error occurred";"Bir hata oluştu"
"An error occurred while saving";"Kaydederken bir hata oluştu"
"An error occurred while saving. A field can\'t be identified.";"Kaydederken bir hata oluştu. Bir alan tanımlanamıyor."
"An error occurred while saving. Please try again later.";"Kaydederken bir hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"An identical published survey already exists!";"Böyle bir anket zaten var!"
"Answer is required";"Bu, anketinizin bir önizlemesidir, mevcut bölümleri ve editörde ayarlanmış soruları gösterir."
"Answer must be a numerical value";"Cevap geçerli bir e-posta olmalı"
"Answer must be a valid date";"Cevap gerekli"
"Answer must be a valid email";"Cevap geçerli bir tarih olmalı"
"Are you sure you want to publish this survey? You will not be able to modify it once it has been published.";"Bu anketi yayınlamak istediğinizden emin misiniz? Yayınlandıktan sonra değiştiremezsiniz."
"Are you sure you want to remove this question?";"Bu soruyu silmek istediğinizden emin misiniz?"
"Are you sure you want to remove this section?";"Bu bölümü kaldırmak istediğinizden emin misiniz?"
"Are you sure you want to remove this trigger?";"Bu tetiği kaldırmak istediğinizden emin misiniz?"
"Cancel";"İptal et"
"Checkbox";"Onay kutusu"
"Choose a question type:";"Bir soru tipi seçin:"
"Close";"Kapat"
"Create a new question";"Yeni soru oluştur"
"Current survey";"Mevcut anket"
"Date/Hour";"Tarih/Saat"
"Delete";"Sil"
"Download CSV";"CSV'yi indir"
"Drop down";"Aşağı aç"
"Edit question %s";"%s sorusunu düzenle"
"Email";"E-posta"
"End survey";"Anketi bitir"
"Error";"Hata"
"Field name:";"Alan adı"
"Geolocation";"Coğrafi konum"
"Hide question:";"Soruyu gizle"
"Home";"Ana sayfa"
"If this option is selected, users will be able to take the survey multiple times.";"Bu seçenek belirlenirse, kullanıcılar anketi birden çok kez alabileceklerdir."
"Image";"Görsel"
"Import from Library";"Kütüphaneden aktar"
"Manage";"Yönet"
"Manage logic triggers:";"Mantık tetikleyicilerini yönetin:"
"Manage model";"Modeli yönet"
"Manage options:";"Seçenekleri yönet:"
"Multiline text";"Çok satırlı metin"
"Name";"İsim"
"Next";"Sonraki"
"No survey at the moment!";"Mevcut anket yok!"
"No uploaded image";"Yüklenen resim yok"
"Number";"Numara"
"OK";"Tamam"
"Option";"Seçenek"
"Please enter a name to publish this survey.";"Bu anketi yayınlamak için lütfen bir ad girin."
"Please enter a thank you message to publish this survey.";"Bu anketi yayınlamak için lütfen bir teşekkür mesajı girin."
"Please select a value";"Lütfen bir değer seçin"
"Previous";"Geri"
"Previous survey(s)";"Geçmiş anketler"
"Publish";"Yayınla"
"Publish survey";"Anketi yayınla"
"Question";"Soru"
"Radio";"Radyo"
"Results";"Sonuçlar"
"Results of published surveys will appear here.";"Yayınlanmış anketlerin sonuçları burada görünecektir."
"Send";"Gönder"
"Skip to question:";"Soruya geç"
"Survey successfully published";"Anket başarıyla yayınlandı"
"Take a picture";"Fotoğraf çek"
"Text";"Metin"
"Thank you message";"Teşekkür mesajı"
"This is a preview of your survey, it shows current sections and questions set in the editor.";"Lütfen bir değer seçin"
"This is the last question. There is no questions you can skip to or hide.";"Bu son soru. Atlayabileceğiniz veya saklayabileceğiniz bir soru yok."
"This name has already been used for a published survey.";"Bu isim daha önce yayınlanan bir anket için kullanıldı."
"This name will not be visible to users, it will be shown in the results view.";"Bu isim kullanıcılar tarafından görülmeyecek, sonuçlarda gösterilecektir."
"This question is required";"Bu soru gerekli"
"Total answers";"Toplam cevaplar"
"Unrecognized image format";"Tanınmayan görüntü formatı"
"View results";"Sonuçları Görüntüle"
"When answer is";"Cevap"
"You have to choose a question type.";"Bir soru tipi seçmelisiniz."
"Your users will see this message once their survey answers sent.";"Kullanıcılarınız anket yanıtlarını gönderdikten sonra bu mesajı göreceklerdir."
"answer(s)";"Cevap(lar)"
"en";"tr"
