"60000 maximum allowed.";"Maksimum 6000 karaktere izin verilir."
"<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>Dosya çeşidi:</b> %s<br /><b>Grekli alan:</b> %s"
"Admob ID";"Admob kimliği"
"Admob type";"Admob tipi"
"Android";"Android"
"App limit for displaying real data";"Gerçek veri göstermek için uygulama limiti"
"Banner";"Banner"
"Below are variables you can use to be replaced in the extent.";"Ölçüde değiştirilmesi için kullanabileceğiniz değişkenler aşağıdaki gibidir."
"Click here to force analytics computing";"Analiz hesaplamasını zorlamak için buraya tıklalyın"
"Click here to send your favicon";"Favicon göndermek için buraya tıklayın"
"Click here to send your logo";"Logonuzu göndermek için buraya tıklayın"
"Communications";"İletişim"
"Current favicon";"Güncel favicon"
"Current logo";"Güncel logos"
"Default privacy policy";"Varsayılan Gizlilik Politikası"
"Default privacy policy section for GDPR";"GDPR için varsayılan Gizlilik Politikası bölüm "
"Display a link to your clients to your support platform";"Destek platformu için müşterilerine bir bağlantı görüntüler"
"Drop your favicon here";"Buraya favicon bırakın"
"Drop your logo here";"Buraya logo bırakın"
"Duration of the free trial period of your platform (in days, 0 for no free trial).";"Platformunuzun ücretsiz deneme süresi (gün içinde, ücretsiz deneme için 0)."
"Editor's Design";"Editörün tasarımı"
"Enter here your terms & conditions";"Buraya Hükümler&Koşullar'ı girin"
"Enter the javascript code provided by your Chat provider in order to display a Chat from the editor.";"Editörden Sohbet görüntülemek için Sohbe"
"European <b>General Data Protection Regulation (GDPR)</b>.";"(GDPR) Avrupa <b>Genel Veri Koruma Yönetmeliği</b>."
"Favicon";"Site ikonu"
"Flat";"Düz"
"Force all app to use Owner AdMob";"Tüm uygulamaları Admob kullanmaya zorla"
"Free trial period";"Ücretsiz deneme süresi"
"Full platform owner contact";"Tam platform yöneticisi ile irtibata geçin"
"Interstitial";"İnterstisyel"
"Invalid license key";"Geçersiz lisans anahtarı"
"Ios";"iOS"
"License has no more activation left";"Lisansın aktivasyonu kalmadı"
"License is valid";"Lisans geçerli"
"Logo";"Logo"
"None = no sign-up form, validation = admin must validate created account, full = free sign-up";"Hiçbiri = kayıt formu yok, doğrulama = yönetici oluşturulan hesabı doğrulamalıdır, tam = ücretsiz kayıt"
"Number of typed characters:";"Girilen karakterlerin sayısı"
"Online Chat";"Çevrimiçi sohbet"
"Platform or Whitelabel Company name";"Platform veya Whitelabel Şirket adı"
"Platform or Whitelabel name";"Platform veya Whitelabel adı"
"Privacy Settings";"Gizlilik Ayarları"
"Publication access type";"Yayınlama erişim türü"
"Sales";"Satışlar"
"Sales Email Address";"Satış E-posta Adresi"
"Sender's email address of the emails sent by the site to your clients";"Müşterilerinize site tarafından gönderilen e-postaların Gönderenin e-posta adresi"
"Sender's name of the emails sent by the site to your clients";"Müşterilerinize site tarafından gönderilen e-postaların Gönderenin ismi"
"Nwicode";"Nwicode"
"Sign-up mode";"Kayıt modu"
"Sign-up mode for your platform.";"Platformunuz için kayıt modu"
"Support Email Address";"Destek E-posta Adresi"
"The Application name";"Uygulama adı"
"The european <b>General Data Protection Regulation (GDPR)</b> is applicable to your country, you must enable it in the privacy settings below.";"(GDPR) Avrupa <b>Genel Veri Koruma Tüzüğü</b> ülkeniz için uygun, aşağıdaki gizlilik ayarlarını etkinleştirmeniz gerekir."
"The folder /images/default is not writable.";"Resimler/varsayılan klasörü yazılabilir değil."
"This number will be used to switch between demo mode and real time mode for your analytics on your dashboard";"Bu sayı, kontrol panelinizdeki analizleriniz için demo modu ve gerçek zamanlı mod arasında geçiş yapmak için kullanılacaktır."
"This privacy policy will be used for every new Application created as a template.";"Bu gizlilik politikası, şablon olarak oluşturulan her yeni uygulama için kullanılacaktır."
"This section of the privacy policy is added when the GDPR settings are active.";"Gizlilik Politikası Bu bölümde GDPR ayarları aktif olduğunda eklenir."
"This text will appear in the checkout page. 65,000 characters max.";"Bu metin ödeme sayfasında görünecektir. Maksimum 65.000 karakter."
"Users can download application sources code.";"Kullanıcılar uygulama kaynak kodu indirebilir."
"Users can generate APK";"Kullanıcılar APK üretebilir."
"Users can not generate APK.";"Kullanıcılar APK üretemiyor."
"Users give you the required information to publish applications.";"Kullanıcılar uygulamaları yayınlamak için gereken bilgileri verir."
"We cannot get your license information";"Lisans bilgilerinizi alamıyoruz."
"You can use <b>%s</b> as a dynamic variable for your application name.";"<b>%s</b> i uygulama adınız için dinamik değişken olarak kullanabilirsiniz."
"Your Applications";"Uygulamalarınız"
"Your CMS License Key";"CMS Lisans Anahtarınız"
"Your Location";"Lokasyonunuz"
"Your Platform";"Platformunuz"
"Your company";"Şirketiniz"
