"%MONTH%/%YEAR%";"%AY%YIL%"
"%s change your driver status";"%sürücü durumunu değiştir "
"%s, you finished your ride with %s.";"%s, %s ile yolculuk bitti."
"%s, you finished your ride with <em>%s</em>.";"%s, <em>%s</em>ile yolculuk bitti."
"2Checkout Settings";"2Checkout Ayarları"
"Accept";"Kabul"
"Accept this driver";"Bu sürücü kabul "
"Accepted";"Kabul"
"Add a";"Ekleyin"
"Add a picture";"Bir Resim Ekle "
"Add vehicle type";"Araç türü ekleyin "
"Address";"Adres"
"Address is required";"Adresi gereklidir "
"All";"Tüm"
"Allow drivers to set final price";"Sürücüler son fiyat ayarlamak için izin ver "
"Allowed payment methods";"İzin ödeme yöntemleri"
"Already paid";"Zaten ödedi"
"An error occured while lauching your request. Please try again later.";"İsteğiniz lauching sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occured while saving!";"Kaydedilirken bir hata oluştu!"
"An error occured. Restart app or manage request from history panel.";"Bir hata oluştu. Yeniden tarih panelinden istek yönetmek app ya."
"An error occurred while deleting the vehicle type. Please try again later.";"Araç türü silinirken bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while managing your driver. Please try again later.";"Sürücünüzü yönetme sırasında bir hata oluştu. Lütfen daha sonra tekrar deneyin."
"An error occurred while processing your payment";"Ödeme işleme sırasında bir hata oluştu "
"An error occurred while saving";"Kaydederken bir hata oluştu "
"An error occurred while saving, please try again later";"Kaydedilirken bir hata oluştu, lütfen daha sonra tekrar deneyin"
"Are you a driver or a passenger ?";"Bir sürücü veya Yolcu musun ?"
"Are you sure to cancel ride?";"Yolculuğu iptal etmek istiyor musunuz?"
"Are you sure to delete this driver?";"Bu sürücüyü silmek istiyor musunuz?"
"Are you sure to finish ride?";"Yolculuğu tamamlamak için emin misin?"
"Are you sure to start this ride?";"Bu yolculuk başlatmak istiyor musunuz?"
"Are you sure you want to delete this vehicle type?";"Bu araç türü silmek istediğinizden emin misiniz?"
"Are you sure?";"Emin misin?"
"Authorization Failed";"Yetkilendirme Başarısız Oldu"
"Bad request - missing data";"Hatalı istek - eksik veri"
"Bad request - parameter error";"Kötü istek parametre hatası"
"Base Fare";"Taban ücret"
"Base fare";"Taban ücret"
"Base fare is required";"Taban ücret gereklidir "
"Base fare:";"Taban ücret:"
"Billing method";"Fatura yöntemi"
"CVC";"CVC"
"Cancel";"İptal"
"Cancel ride";"Yolculuk iptal "
