"Astronomy";"Astronomi"
"Atmosphere";"Atmosfer"
"Change location";"Konum değiştir"
"Chill:";"Serin:"
"Click here to view more details on current weather.";"Şu anki hava durumu hakkında bilgi almak için buraya tıklayın."
"Country:";"Ülke:"
"Direction:";"Yön:"
"Fri";"Cuma"
"Humidity:";"Nem:"
"Mon";"Pzt"
"Postal code or city";"Posta kodu veya şehir"
"Pressure:";"Basınç:"
"Rising:";"Artış:"
"Sat";"Cmt"
"Sorry, but the weather service is not available for the moment. Please try again later.";"Üzgünüz, hava durumu servisi şu an kullanılamıyor. Lütfen daha sonra tekrar deneyin."
"Speed:";"Hız:"
"Sun";"Güneş"
"Sunrise:";"Gün doğumu:"
"Sunset:";"Gün batımı:"
"Thu";"Perş"
"Tue";"Salı"
"Units:";"Birimler"
"Use my location";"Konumu kullan"
"Visibility:";"Görünürlük:"
"Weather information";"Hava durumu bilgisi"
"Wed";"Çarşamba"
"Wind";"Rüzgar"
